block,timestamp,from,to,action,amount_eth,contract_balance_eth,participant_count
2,1779888527,0x70997970c51812dc3a010c7d01b50e0d17dc79c8,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit_blocked_below_minimum,0.05,0,0
3,1779888528,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,0x5fbdb2315678afecb367f032d93f642f64180aa3,owner_withdraw_blocked_timelock,0.0,0,0
6,1779888529,0x70997970c51812dc3a010c7d01b50e0d17dc79c8,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.0,1,1
9,1779888530,0x3c44cdddb6a900fa2b585dd299e03d12fa4293bc,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.0,2,2
12,1779888531,0x90f79bf6eb2c4f870365e785982e1f101e93b906,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.0,3,3
15,1779888532,0x15d34aaf54267db7d7c367839aaf71a00a2c6a65,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.0,4,4
18,1779888533,0x9965507d1a55bcc2695c58ba16fb37d819b0a4dc,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.0,5,5
21,1779888534,0x976ea74026e726554db657fa54763abd0c3a0aa9,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.0,6,6
24,1779888535,0x14dc79964da2c08b23698b3d3cc7ca32193d9955,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.0,7,7
27,1779888536,0x23618e81e3f5cdf7f54c3d65f7fbc0abf5b21e8f,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.0,8,8
30,1779888537,0xa0ee7a142d267c1f36714e4a8f75612f20a79720,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.0,9,9
33,1779888538,0xbcd4042de499d14e55001ccbb24a551f3b954096,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.0,10,10
38,1779888543,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,0x5fbdb2315678afecb367f032d93f642f64180aa3,owner_withdraw_blocked_limit,0.0,10,10
