block,timestamp,from,to,action,amount_eth,contract_balance_eth,participant_count,withdraw_success
4,1779888520,0x70997970c51812dc3a010c7d01b50e0d17dc79c8,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.0,1,1,
7,1779888521,0x3c44cdddb6a900fa2b585dd299e03d12fa4293bc,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.0,2,2,
10,1779888522,0x90f79bf6eb2c4f870365e785982e1f101e93b906,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.0,3,3,
13,1779888523,0x15d34aaf54267db7d7c367839aaf71a00a2c6a65,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.0,4,4,
16,1779888524,0x9965507d1a55bcc2695c58ba16fb37d819b0a4dc,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.0,5,5,
19,1779888525,0x976ea74026e726554db657fa54763abd0c3a0aa9,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.0,6,6,
22,1779888526,0x14dc79964da2c08b23698b3d3cc7ca32193d9955,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.0,7,7,
25,1779888527,0x23618e81e3f5cdf7f54c3d65f7fbc0abf5b21e8f,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.0,8,8,
28,1779888530,0xa0ee7a142d267c1f36714e4a8f75612f20a79720,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.0,9,9,
31,1779888531,0xbcd4042de499d14e55001ccbb24a551f3b954096,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.0,10,10,
33,1779888533,0x70997970c51812dc3a010c7d01b50e0d17dc79c8,0x5fbdb2315678afecb367f032d93f642f64180aa3,withdraw_attempt,0.0,10,10,false
35,1779888533,0x3c44cdddb6a900fa2b585dd299e03d12fa4293bc,0x5fbdb2315678afecb367f032d93f642f64180aa3,withdraw_attempt,0.0,10,10,false
37,1779888533,0x90f79bf6eb2c4f870365e785982e1f101e93b906,0x5fbdb2315678afecb367f032d93f642f64180aa3,withdraw_attempt,0.0,10,10,false
39,1779888533,0x15d34aaf54267db7d7c367839aaf71a00a2c6a65,0x5fbdb2315678afecb367f032d93f642f64180aa3,withdraw_attempt,0.0,10,10,false
41,1779888533,0x9965507d1a55bcc2695c58ba16fb37d819b0a4dc,0x5fbdb2315678afecb367f032d93f642f64180aa3,withdraw_attempt,0.0,10,10,false
44,1779888532,0x5fbdb2315678afecb367f032d93f642f64180aa3,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,owner_collect,10,0.0,10,
