block,timestamp,from,to,action,amount_eth,contract_balance_eth,participant_count
2,1778100001,0x70997970c51812dc3a010c7d01b50e0d17dc79c8,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.0,1.0,1
4,1778100002,0x3c44cdddb6a900fa2b585dd299e03d12fa4293bc,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.0,2.0,2
6,1778100003,0x90f79bf6eb2c4f870365e785982e1f101e93b906,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.0,3.0,3
8,1778100004,0x15d34aaf54267db7d7c367839aaf71a00a2c6a65,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.0,4.0,4
10,1778100005,0x9965507d1a55bcc2695c58ba16fb37d819b0a4dc,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.0,5.0,5
12,1778100006,0x5fbdb2315678afecb367f032d93f642f64180aa3,0x70997970c51812dc3a010c7d01b50e0d17dc79c8,withdraw,0,5.0,5
14,1778100007,0x5fbdb2315678afecb367f032d93f642f64180aa3,0x3c44cdddb6a900fa2b585dd299e03d12fa4293bc,withdraw,0,5.0,5
16,1778100008,0x5fbdb2315678afecb367f032d93f642f64180aa3,0x90f79bf6eb2c4f870365e785982e1f101e93b906,withdraw,0,5.0,5
18,1778100009,0x976ea74026e726554db657fa54763abd0c3a0aa9,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.0,6.0,6
20,1778100010,0x14dc79964da2c08b23698b3d3cc7ca32193d9955,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.0,7.0,7
22,1778100011,0x23618e81e3f5cdf7f54c3d65f7fbc0abf5b21e8f,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.0,8.0,8
24,1778100012,0x5fbdb2315678afecb367f032d93f642f64180aa3,0x15d34aaf54267db7d7c367839aaf71a00a2c6a65,withdraw,0,8.0,8
26,1778100013,0x5fbdb2315678afecb367f032d93f642f64180aa3,0x9965507d1a55bcc2695c58ba16fb37d819b0a4dc,withdraw,0,8.0,8
