block,timestamp,from,to,action,amount_eth,contract_balance_eth,participant_count
2,1778120001,0x70997970c51812dc3a010c7d01b50e0d17dc79c8,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,2.0,2.0,1
4,1778120002,0x3c44cdddb6a900fa2b585dd299e03d12fa4293bc,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,2.0,4.0,2
6,1778120003,0x90f79bf6eb2c4f870365e785982e1f101e93b906,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,2.0,6.0,3
8,1778120004,0x5fbdb2315678afecb367f032d93f642f64180aa3,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,withdraw,1.0,5.0,3
10,1778120005,0x5fbdb2315678afecb367f032d93f642f64180aa3,0x70997970c51812dc3a010c7d01b50e0d17dc79c8,withdraw,0,5.0,3
12,1778120006,0x5fbdb2315678afecb367f032d93f642f64180aa3,0x3c44cdddb6a900fa2b585dd299e03d12fa4293bc,withdraw,0,5.0,3
14,1778120007,0x15d34aaf54267db7d7c367839aaf71a00a2c6a65,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,2.0,7.0,4
16,1778120008,0x9965507d1a55bcc2695c58ba16fb37d819b0a4dc,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,2.0,9.0,5
18,1778120009,0x5fbdb2315678afecb367f032d93f642f64180aa3,0x90f79bf6eb2c4f870365e785982e1f101e93b906,withdraw,0,9.0,5
20,1778120010,0x5fbdb2315678afecb367f032d93f642f64180aa3,0x15d34aaf54267db7d7c367839aaf71a00a2c6a65,withdraw,0,9.0,5
22,1778120011,0x5fbdb2315678afecb367f032d93f642f64180aa3,0x9965507d1a55bcc2695c58ba16fb37d819b0a4dc,withdraw,0,9.0,5
