block,timestamp,from,to,action,amount_eth,contract_balance_eth,participant_count
6,1778061487,0x70997970c51812dc3a010c7d01b50e0d17dc79c8,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,4.0,4,1
8,1778061489,0x3c44cdddb6a900fa2b585dd299e03d12fa4293bc,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,4.0,8,2
10,1778061491,0x90f79bf6eb2c4f870365e785982e1f101e93b906,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,4.0,12,3
12,1778061493,0x15d34aaf54267db7d7c367839aaf71a00a2c6a65,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.5,13.5,4
14,1778061495,0x9965507d1a55bcc2695c58ba16fb37d819b0a4dc,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.5,15,5
16,1778061497,0x976ea74026e726554db657fa54763abd0c3a0aa9,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.5,16.5,6
18,1778061499,0x14dc79964da2c08b23698b3d3cc7ca32193d9955,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.5,18,7
20,1778061501,0x23618e81e3f5cdf7f54c3d65f7fbc0abf5b21e8f,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.5,19.5,8
22,1778061503,0x5fbdb2315678afecb367f032d93f642f64180aa3,0x70997970c51812dc3a010c7d01b50e0d17dc79c8,withdraw,6.5,13,8
24,1778061505,0x5fbdb2315678afecb367f032d93f642f64180aa3,0x3c44cdddb6a900fa2b585dd299e03d12fa4293bc,withdraw,6.5,6.5,8
26,1778061507,0x5fbdb2315678afecb367f032d93f642f64180aa3,0x90f79bf6eb2c4f870365e785982e1f101e93b906,withdraw,6.5,0,8
28,1778061509,0x5fbdb2315678afecb367f032d93f642f64180aa3,0x15d34aaf54267db7d7c367839aaf71a00a2c6a65,withdraw,0,0,8
30,1778061511,0x5fbdb2315678afecb367f032d93f642f64180aa3,0x9965507d1a55bcc2695c58ba16fb37d819b0a4dc,withdraw,0,0,8
32,1778061513,0x5fbdb2315678afecb367f032d93f642f64180aa3,0x976ea74026e726554db657fa54763abd0c3a0aa9,withdraw,0,0,8
34,1778061515,0x5fbdb2315678afecb367f032d93f642f64180aa3,0x14dc79964da2c08b23698b3d3cc7ca32193d9955,withdraw,0,0,8
36,1778061517,0x5fbdb2315678afecb367f032d93f642f64180aa3,0x23618e81e3f5cdf7f54c3d65f7fbc0abf5b21e8f,withdraw,0,0,8
