block,timestamp,from,to,action,amount_eth,contract_balance_eth,participant_count
4,1778061473,0x70997970c51812dc3a010c7d01b50e0d17dc79c8,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.0,1,1
7,1778061474,0x3c44cdddb6a900fa2b585dd299e03d12fa4293bc,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.2,2.2,2
10,1778061475,0x90f79bf6eb2c4f870365e785982e1f101e93b906,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.4,3.6,3
13,1778061476,0x15d34aaf54267db7d7c367839aaf71a00a2c6a65,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.6,5.2,4
16,1778061477,0x9965507d1a55bcc2695c58ba16fb37d819b0a4dc,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.8,7,5
19,1778061478,0x976ea74026e726554db657fa54763abd0c3a0aa9,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,2.0,9,6
22,1778061479,0x14dc79964da2c08b23698b3d3cc7ca32193d9955,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,2.2,11.2,7
25,1778061480,0x23618e81e3f5cdf7f54c3d65f7fbc0abf5b21e8f,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,2.4,13.6,8
28,1778061481,0xa0ee7a142d267c1f36714e4a8f75612f20a79720,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,2.6,16.2,9
31,1778061482,0xbcd4042de499d14e55001ccbb24a551f3b954096,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,2.8,19,10
35,1778061484,0x5fbdb2315678afecb367f032d93f642f64180aa3,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,owner_withdraw_all,19,0.0,10
