block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx,deposit_addresses,withdrawal_addresses
11600753,32.99693400,0.00000000,32.99693400,32.99693400,1,32.99693400,0x2b1affafaff87437f461c2784d2e0523a10c4dbd,
11600794,5.64803900,0.00000000,5.64803900,38.64497300,2,5.64803900,0x0577a79cfc63bbc0df38833ff4c4a3bf2095b404,
11600854,0.00000000,38.64261050,-38.64261050,0.00236250,3,38.64261050,,0x4a6b6579cd0263a2843417f132e55a0b8ffa1201
11645469,21.49533089,0.00000000,21.49533089,21.49769339,4,21.49533089,0x12d6a666a90953a796522f8838847433df0684e4,
11646236,0.09950000,0.00000000,0.09950000,21.59719339,5,0.09950000,0xb8001c3ec9aa1985f6c747e25c28324e4a361ec1,
11657220,724.89950000,0.00000000,724.89950000,746.49669339,5,724.89950000,0xb8001c3ec9aa1985f6c747e25c28324e4a361ec1,
11658287,0.00000000,2.06912534,-2.06912534,744.42756805,6,2.06912534,,0xffbc35fdac98ca9f7361177d3a6c1e60d1818082
11658372,0.00000000,1.00000000,-1.00000000,743.42756805,6,1.00000000,,0xffbc35fdac98ca9f7361177d3a6c1e60d1818082
11658421,3.22840000,0.00000000,3.22840000,746.65596805,7,3.22840000,0xb04c0eb29c72cebc467b9d4944d29116fa02c44a,
11660367,0.00000000,1.64679405,-1.64679405,745.00917400,7,1.64679405,,0xffbc35fdac98ca9f7361177d3a6c1e60d1818082
11660884,35.85511619,0.00000000,35.85511619,780.86429019,8,35.85511619,0x086d0c4624c72db30a36e3d2d3005b1870505ecb,
11664208,0.00000000,3.83000000,-3.83000000,777.03429019,8,3.83000000,,0xffbc35fdac98ca9f7361177d3a6c1e60d1818082
11677442,0.00000000,27.00851000,-27.00851000,750.02578019,9,27.00851000,,0xf275ab31a5b4e70fbd3f2c575a0e03f98e0ef722
11677451,0.00142000,0.00000000,0.00142000,750.02720019,9,0.00142000,0xf275ab31a5b4e70fbd3f2c575a0e03f98e0ef722,
11678086,0.00000000,250.00000000,-250.00000000,500.02720019,10,250.00000000,,0xd0bcc295a926e90a1691ecd8b8e17d52fbae80bc
11684922,30.00000000,0.00000000,30.00000000,530.02720019,10,30.00000000,0xf275ab31a5b4e70fbd3f2c575a0e03f98e0ef722,
11690660,0.00000000,9.99700000,-9.99700000,520.03020019,10,9.99700000,,0xf275ab31a5b4e70fbd3f2c575a0e03f98e0ef722
11691225,0.00000000,400.00000000,-400.00000000,120.03020019,11,400.00000000,,0x5378b7906c83ff6eb43a3e115bfd1417fdbe3880
11691921,400.00000000,0.00000000,400.00000000,520.03020019,12,400.00000000,0x97875355ef55ae35613029df8b1c8cf8f89c9066,
11692667,249.99810000,0.00000000,249.99810000,770.02830019,12,249.99810000,0x97875355ef55ae35613029df8b1c8cf8f89c9066,
11697454,0.00000000,4.99575313,-4.99575313,765.03254706,12,4.99575313,,0xf275ab31a5b4e70fbd3f2c575a0e03f98e0ef722
11723489,0.00000000,4.99762700,-4.99762700,760.03492006,12,4.99762700,,0xf275ab31a5b4e70fbd3f2c575a0e03f98e0ef722
11737033,0.00000000,4.99752200,-4.99752200,755.03739806,12,4.99752200,,0xf275ab31a5b4e70fbd3f2c575a0e03f98e0ef722
11748548,0.00000000,4.99580000,-4.99580000,750.04159806,12,4.99580000,,0xf275ab31a5b4e70fbd3f2c575a0e03f98e0ef722
11748740,5.00000000,0.00000000,5.00000000,755.04159806,12,5.00000000,0xf275ab31a5b4e70fbd3f2c575a0e03f98e0ef722,
