block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx,deposit_addresses,withdrawal_addresses
13499611,9.92992320,0.00000000,9.92992320,9.92992320,1,9.92992320,0x910cbd523d972eb0a6f4cae4618ad62622b39dbf,
13499614,9.94348350,0.00000000,9.94348350,19.87340670,1,9.94348350,0x910cbd523d972eb0a6f4cae4618ad62622b39dbf,
13499798,2760.21980580,0.00000000,2760.21980580,2780.09321250,2,2760.21980580,0x961d2b694d9097f35cfffa363ef98823928a330d,
13499994,0.00001000,0.00000000,0.00001000,2780.09322250,3,0.00001000,0x4e577e9ee5f508f8e859f4ecd941797a3e1b6fa2,
13500035,0.00100000,0.00000000,0.00100000,2780.09422250,4,0.00100000,0xf65d7b36d147896a2fdd08a0f6fc59ea5a4ba48b,
13500036,110.08546085,0.00000000,110.08546085,2890.17968336,5,110.08546085,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,
13500044,0.00010000,0.00000000,0.00010000,2890.17978336,6,0.00010000,0xe552e0a7622c5864a34ec2e4c5e2e9718392e257,
13500046,128.74988071,0.00000000,128.74988071,3018.92966406,6,128.74988071,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,
13500060,194.14410370,0.00000000,194.14410370,3213.07376776,6,194.14410370,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,
13500081,0.00100000,0.00000000,0.00100000,3213.07476776,7,0.00100000,0x88ac221156e9c4678df542e9334ec86443160e8d,
13500083,181.73417018,0.00000000,181.73417018,3394.80893794,7,181.73417018,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,
13500092,0.01000000,0.00000000,0.01000000,3394.81893794,8,0.01000000,0x89a520de8925c63077ea4204779f06e48885b4d2,
13500123,821.72387652,0.00000000,821.72387652,4216.54281446,9,821.72387652,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,
13500163,0.00164775,0.00000000,0.00164775,4216.54446221,10,0.00164775,0x98c0086a6e87e6af4f7a7db5fe447acf13b3a22c,
13500247,475.99291695,0.00000000,475.99291695,4692.53737916,10,475.99291695,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,
13500325,1144.50112698,0.00000000,1144.50112698,5837.03850614,10,1144.50112698,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,
13500328,478.92470158,0.00000000,478.92470158,6315.96320772,10,478.92470158,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,
13500423,0.00010000,0.00000000,0.00010000,6315.96330772,11,0.00010000,0x01bffc8dc41e26d98c3cef8b045726726134d1d3,
13500606,0.00001000,0.00000000,0.00001000,6315.96331772,12,0.00001000,0x201b5abfd44a8f9b75f0fe1bae74cdac7675e54b,
13501409,0.00000000,6264.57980300,-6264.57980300,51.38351472,14,3132.28990150,,0x70747df6ac244979a2ae9ca1e1a82899d02bbea4|0x921760e71fb58dcc8de902ce81453e9e3d7fe253
13505669,525.50167535,0.00000000,525.50167535,576.88519006,14,525.50167535,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,
13505685,405.53503088,0.00000000,405.53503088,982.42022094,14,405.53503088,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,
13505744,233.62323718,0.00000000,233.62323718,1216.04345812,14,233.62323718,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,
13505766,189.45695016,0.00000000,189.45695016,1405.50040828,15,189.45695016,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,
13505772,82.82522686,0.00000000,82.82522686,1488.32563515,15,82.82522686,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,
13505789,12.87449712,0.00000000,12.87449712,1501.20013227,15,12.87449712,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,
13506494,0.00000000,715.00000000,-715.00000000,786.20013227,15,715.00000000,,0x70747df6ac244979a2ae9ca1e1a82899d02bbea4
13506501,0.00000000,715.00000000,-715.00000000,71.20013227,15,715.00000000,,0x921760e71fb58dcc8de902ce81453e9e3d7fe253
13512482,0.00000000,29.00000000,-29.00000000,42.20013227,15,29.00000000,,0x70747df6ac244979a2ae9ca1e1a82899d02bbea4
13512495,0.00000000,1.14260552,-1.14260552,41.05752674,16,1.14260552,,0x1648735f471dd42bf1a3d624af778eaad90bbbad
13514043,0.01500000,0.00000000,0.01500000,41.07252674,17,0.01500000,0x630749d64565e9f8a81d92d4917739aea8133909,
13514051,0.01500000,0.00000000,0.01500000,41.08752674,17,0.01500000,0x630749d64565e9f8a81d92d4917739aea8133909,
13514090,0.01400000,0.00000000,0.01400000,41.10152674,17,0.01400000,0x630749d64565e9f8a81d92d4917739aea8133909,
13514094,0.01424000,0.00000000,0.01424000,41.11576674,17,0.01424000,0x630749d64565e9f8a81d92d4917739aea8133909,
13514120,0.01350000,0.00000000,0.01350000,41.12926674,17,0.01350000,0x630749d64565e9f8a81d92d4917739aea8133909,
13514128,0.01410000,0.00000000,0.01410000,41.14336674,17,0.01410000,0x630749d64565e9f8a81d92d4917739aea8133909,
13514141,0.01460000,0.00000000,0.01460000,41.15796674,17,0.01460000,0x630749d64565e9f8a81d92d4917739aea8133909,
13514161,0.01300000,0.00000000,0.01300000,41.17096674,17,0.01300000,0x630749d64565e9f8a81d92d4917739aea8133909,
13514184,0.01250000,0.00000000,0.01250000,41.18346674,17,0.01250000,0x630749d64565e9f8a81d92d4917739aea8133909,
13776951,0.00006900,0.00000000,0.00006900,41.18353574,18,0.00006900,0x49ce3c80fc06cf7097b7e41980caab4e6f2e7053,
13777088,0.00001000,0.00000000,0.00001000,41.18354574,19,0.00001000,0x3d0a62d0b8046c57481535d4747d1e2597dc7190,
15247279,0.00000000,0.00000000,0.00000000,41.18354574,20,0.00000000,0xbfdc515bfdf68f85855907f87e497e1e542c477b,
