block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx,deposit_addresses,withdrawal_addresses
5536436,0.00314900,0.00000000,0.00314900,0.00314900,1,0.00314900,0x2cf90e66efe0987529454125c5ee461cf94381a2,
5536512,0.01000000,0.00000000,0.01000000,0.01314900,2,0.01000000,0xa3cfc5483d626cee7a3bb66a425acbda7796a7d0,
5536545,0.01000000,0.00000000,0.01000000,0.02314900,2,0.01000000,0xa3cfc5483d626cee7a3bb66a425acbda7796a7d0,
5537374,0.00300034,0.00000000,0.00300034,0.02614934,3,0.00300034,0xdf77c66b7b0936281a674e26a02a1d8ea3c84bda,
5537380,0.00801761,0.00000000,0.00801761,0.03416695,4,0.00801761,0xb165da5f40989b684756946b154edce5cf13d127,
5537400,0.00459352,0.00000000,0.00459352,0.03876047,5,0.00459352,0x7ed2ec8799d036c59a630d72b530d5268f179ae5,
5537444,0.00571403,0.00000000,0.00571403,0.04447450,5,0.00571403,0xb165da5f40989b684756946b154edce5cf13d127,
5537445,0.00457136,0.00000000,0.00457136,0.04904586,6,0.00457136,0x48923bed99287429adc39c471b991c0316c13206,
5537448,0.00342842,0.00000000,0.00342842,0.05247428,7,0.00342842,0xe42df85dad0cdc4ffefe9159ab3c1d7dd2e234a4,
5537505,0.00232190,0.00000000,0.00232190,0.05479618,8,0.00232190,0x81cd6eb50b5d929e3fb883971d6b3b8c056fc95e,
5537524,0.00571217,0.00000000,0.00571217,0.06050835,9,0.00571217,0xf4a2eff88a408ff4c4550148151c33c93442619e,
5537532,0.00687602,0.00000000,0.00687602,0.06738437,9,0.00687602,0xf4a2eff88a408ff4c4550148151c33c93442619e,
5537536,0.00459701,0.00000000,0.00459701,0.07198138,10,0.00459701,0xc92f3e5f4814db4204e8c17557bde1616cd18046,
5537542,0.01263010,0.00000000,0.01263010,0.08461148,11,0.00803398,0xf4a2eff88a408ff4c4550148151c33c93442619e|0x1c7784f568057a7ae9fbb6e950a1f6b6d074b8dd,
5537544,0.00573506,0.00000000,0.00573506,0.09034654,12,0.00573506,0x8c1da19bd395ce3cd5b1046cdac8e01b689d992a,
5537551,0.00688576,0.00000000,0.00688576,0.09723230,12,0.00688576,0x8c1da19bd395ce3cd5b1046cdac8e01b689d992a,
5537555,0.00805957,0.00000000,0.00805957,0.10529187,12,0.00805957,0xf4a2eff88a408ff4c4550148151c33c93442619e,
5537558,0.00689841,0.00000000,0.00689841,0.11219028,12,0.00689841,0xf4a2eff88a408ff4c4550148151c33c93442619e,
5537559,0.00344447,0.00000000,0.00344447,0.11563475,13,0.00344447,0xe74aa842c83b6deaa61774b771d6af9a8f588e9f,
10486147,0.00000000,0.10489975,-0.10489975,0.01073500,14,0.10489975,,0x42bdef2cb6cef0ab44a0a341cf216ae72f606b3f
