block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx,deposit_addresses,withdrawal_addresses
13519730,0.16100142,0.00000000,0.16100142,0.16100142,1,0.16100142,0x872254d530ae8983628cb1eaafc51f78d78c86d9,
13519736,0.00000000,0.15506564,-0.15506564,0.00593578,2,0.15506564,,0xd93847e7b31b45021d7e90732b829bd6181f8c5f
13519796,0.25000000,0.00000000,0.25000000,0.25593578,3,0.25000000,0xf8f36a9833f73e5153ee7018dc8b19170258b4b4,
13519989,0.25515000,0.00000000,0.25515000,0.51108578,4,0.25515000,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,
13520004,0.09450000,0.00000000,0.09450000,0.60558578,4,0.09450000,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,
13520014,0.07560000,0.00000000,0.07560000,0.68118578,4,0.07560000,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,
13520017,0.07560000,0.00000000,0.07560000,0.75678578,4,0.07560000,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,
13520021,0.09450000,0.00000000,0.09450000,0.85128578,4,0.09450000,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,
13520023,0.09450000,0.00000000,0.09450000,0.94578578,4,0.09450000,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,
13520028,0.07560000,0.00000000,0.07560000,1.02138578,4,0.07560000,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,
13520030,0.07087500,0.00000000,0.07087500,1.09226078,4,0.07087500,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,
13520034,0.06615000,0.00000000,0.06615000,1.15841078,4,0.06615000,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,
13520036,0.06615000,0.00000000,0.06615000,1.22456078,4,0.06615000,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,
13520044,0.12757500,0.00000000,0.12757500,1.35213578,4,0.06615000,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,
13520048,0.07465500,0.00000000,0.07465500,1.42679078,4,0.07465500,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,
13520050,0.15592500,0.00000000,0.15592500,1.58271578,4,0.08505000,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,
13520052,0.08505000,0.00000000,0.08505000,1.66776578,4,0.08505000,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,
13520053,0.06615000,0.00000000,0.06615000,1.73391578,4,0.06615000,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,
13520056,0.06615000,0.00000000,0.06615000,1.80006578,4,0.06615000,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,
13520057,0.05670000,0.00000000,0.05670000,1.85676578,4,0.05670000,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,
13520060,0.06615000,0.00000000,0.06615000,1.92291578,4,0.06615000,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,
13520239,0.00000000,1.81860289,-1.81860289,0.10431289,5,1.81860289,,0x416bdf61a858521a847bf677483dbb8938542584
