block,timestamp,from,to,amount_eth,direction,kind,hash
13519730,1635614304,0x872254d530ae8983628cb1eaafc51f78d78c86d9,0x3069388b2c7e45a53ebb32c31bc3817304401d9e,0.16100142,deposit,normal,0x71dcfa8e18efab69dfaaab2c752e104138a82b6849677a14dcb8aeecb3c097df
13519736,1635614435,0x3069388b2c7e45a53ebb32c31bc3817304401d9e,0xd93847e7b31b45021d7e90732b829bd6181f8c5f,0.15506564,withdrawal,normal,0x30c21c75a22f1a2bb9c92cb22ee8df6c97e26b04690935c7b220052ed8cfa132
13519796,1635615011,0xf8f36a9833f73e5153ee7018dc8b19170258b4b4,0x3069388b2c7e45a53ebb32c31bc3817304401d9e,0.25000000,deposit,normal,0xafea051025778199fa85eff079de0d7ed76f17d1ac91d6f10da3b87485f89d7a
13519989,1635617407,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0x3069388b2c7e45a53ebb32c31bc3817304401d9e,0.25515000,deposit,internal,0xd70a5d0ad2f6cf6a95c9a3ea3f91b56311f7507a49fe81a3c0ce32f7fd6ce3e3
13520004,1635617627,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0x3069388b2c7e45a53ebb32c31bc3817304401d9e,0.09450000,deposit,internal,0xfcbd23f67a0e5535709cfe22df7c18927d404f14f6d26763787aa59d33805e3f
13520014,1635617745,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0x3069388b2c7e45a53ebb32c31bc3817304401d9e,0.07560000,deposit,internal,0xb421774cfd59024a87ed337e2389d3180fc2b34c77f3cbe757fcf42b8c007cdb
13520017,1635617811,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0x3069388b2c7e45a53ebb32c31bc3817304401d9e,0.07560000,deposit,internal,0x3cc3062bf6a0efec6fccd8ccdd2f7a45284effc903b96964ada23373f7f8e8ad
13520021,1635617904,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0x3069388b2c7e45a53ebb32c31bc3817304401d9e,0.09450000,deposit,internal,0x618eac8d824d72f90af1ee00bbce389944f2ae9ff90e9a84ef287248e311cbf9
13520023,1635617934,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0x3069388b2c7e45a53ebb32c31bc3817304401d9e,0.09450000,deposit,internal,0x615f7ce9a522fe43437b0e9fef4246df3bb25171329e0a25a37a984ddc6f85e7
13520028,1635617986,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0x3069388b2c7e45a53ebb32c31bc3817304401d9e,0.07560000,deposit,internal,0x76b45f30412876319181c62a96d7f1eb2d3b3febb6b28228166571d22d9d992e
13520030,1635618035,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0x3069388b2c7e45a53ebb32c31bc3817304401d9e,0.07087500,deposit,internal,0x6601edc81f38efec2476c2627b792a41305a95364b0ef5d281ad5b041c174a83
13520034,1635618103,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0x3069388b2c7e45a53ebb32c31bc3817304401d9e,0.06615000,deposit,internal,0xd6dd63807c0cfcafe6b68bfa9c67fec3bf7270e4bb60a2a27e102ca0b621f316
13520036,1635618128,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0x3069388b2c7e45a53ebb32c31bc3817304401d9e,0.06615000,deposit,internal,0x34f598aa562903b3438e13a1b4c86f13b2fbdda020d4189953d17d8bd254269a
13520044,1635618237,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0x3069388b2c7e45a53ebb32c31bc3817304401d9e,0.06615000,deposit,internal,0x57a0295b6d4c5ec3cfc6c6a3ce5a79ee7908a1371a8fe5d507f8b6898421b1e4
13520044,1635618237,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0x3069388b2c7e45a53ebb32c31bc3817304401d9e,0.06142500,deposit,internal,0x18b992f8d91dc511800036ef665cefa30f5e270c8f756fcb178f4b12dc8bd285
13520048,1635618305,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0x3069388b2c7e45a53ebb32c31bc3817304401d9e,0.07465500,deposit,internal,0x0a83439e9fc792fea2986d966adbdf906a7893db958ca8bd5cd355f2f8a6a5ce
13520050,1635618359,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0x3069388b2c7e45a53ebb32c31bc3817304401d9e,0.08505000,deposit,internal,0xd159667c9fa711421340c81af3647cc8e86d41e37c72d1be9f2dcbf5fcae008b
13520050,1635618359,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0x3069388b2c7e45a53ebb32c31bc3817304401d9e,0.07087500,deposit,internal,0xb0cce1347751946cbf381f56849f30a23c98899d844c13db4ecb7cffd72e5118
13520052,1635618394,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0x3069388b2c7e45a53ebb32c31bc3817304401d9e,0.08505000,deposit,internal,0x2a5c9cc2569b39254fc4d47da2aa9280829803784ff9114158ada4532765700a
13520053,1635618440,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0x3069388b2c7e45a53ebb32c31bc3817304401d9e,0.06615000,deposit,internal,0x4d42226a118729a348e78ed2a3d1983c63a5440f8e420457b8a6005ecc9e2bfa
13520056,1635618460,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0x3069388b2c7e45a53ebb32c31bc3817304401d9e,0.06615000,deposit,internal,0x8a5b8abac47a6bce120af1f09477aee098b08efc26d68504638eebc042695226
13520057,1635618467,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0x3069388b2c7e45a53ebb32c31bc3817304401d9e,0.05670000,deposit,internal,0x9951e2db4c6e9f5a73145e23509f6c6583f3af866718b99aabe617242ca19f2a
13520060,1635618500,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0x3069388b2c7e45a53ebb32c31bc3817304401d9e,0.06615000,deposit,internal,0xfa24371a9bed40a8d8235eff783983537b55dd1c2166082baf0e68861796a24b
13520239,1635620841,0x3069388b2c7e45a53ebb32c31bc3817304401d9e,0x416bdf61a858521a847bf677483dbb8938542584,1.81860289,withdrawal,normal,0x86fd29ff6bfdbcb16b8b809e19ceb82a6cc63035ba988a92c2443c7717fa5eb3
