block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx,deposit_addresses,withdrawal_addresses
13742304,100.00000000,0.00000000,100.00000000,100.00000000,1,100.00000000,0x68b22215ff74e3606bd5e6c1de8c2d68180c85f7,
13742411,180.08401576,0.00000000,180.08401576,280.08401576,2,180.08401576,0x1111111254fb6c44bac0bed2854e76f90643097d,
13742415,90.71172420,0.00000000,90.71172420,370.79573996,2,90.71172420,0x1111111254fb6c44bac0bed2854e76f90643097d,
13742432,90.43769271,0.00000000,90.43769271,461.23343266,2,90.43769271,0x1111111254fb6c44bac0bed2854e76f90643097d,
13742438,90.32201803,0.00000000,90.32201803,551.55545069,2,90.32201803,0x1111111254fb6c44bac0bed2854e76f90643097d,
13742447,48.87386293,0.00000000,48.87386293,600.42931363,2,48.87386293,0x68b22215ff74e3606bd5e6c1de8c2d68180c85f7,
13742451,90.38318263,0.00000000,90.38318263,690.81249626,2,90.38318263,0x1111111254fb6c44bac0bed2854e76f90643097d,
13742456,90.41946458,0.00000000,90.41946458,781.23196084,2,90.41946458,0x1111111254fb6c44bac0bed2854e76f90643097d,
13742460,134.58706461,0.00000000,134.58706461,915.81902545,2,134.58706461,0x1111111254fb6c44bac0bed2854e76f90643097d,
13742467,107.86965709,0.00000000,107.86965709,1023.68868254,2,107.86965709,0x1111111254fb6c44bac0bed2854e76f90643097d,
13742474,107.28884793,0.00000000,107.28884793,1130.97753047,2,107.28884793,0x1111111254fb6c44bac0bed2854e76f90643097d,
13742479,107.29041765,0.00000000,107.29041765,1238.26794812,2,107.29041765,0x1111111254fb6c44bac0bed2854e76f90643097d,
13742487,107.28884793,0.00000000,107.28884793,1345.55679605,2,107.28884793,0x1111111254fb6c44bac0bed2854e76f90643097d,
13742631,1416.37081264,0.00000000,1416.37081264,2761.92760869,2,1416.37081264,0x1111111254fb6c44bac0bed2854e76f90643097d,
13742648,925.43872006,0.00000000,925.43872006,3687.36632875,2,925.43872006,0x1111111254fb6c44bac0bed2854e76f90643097d,
13742703,1230.74029665,0.00000000,1230.74029665,4918.10662541,2,644.75250671,0x1111111254fb6c44bac0bed2854e76f90643097d,
13742729,822.44822996,0.00000000,822.44822996,5740.55485537,2,822.44822996,0x1111111254fb6c44bac0bed2854e76f90643097d,
13742734,0.00000000,5500.00000000,-5500.00000000,240.55485537,3,5500.00000000,,0x4bb7d80282f5e0616705d7f832acfc59f89f7091
13742741,0.00000000,200.00000000,-200.00000000,40.55485537,3,200.00000000,,0x4bb7d80282f5e0616705d7f832acfc59f89f7091
13742742,811.62309499,0.00000000,811.62309499,852.17795036,3,811.62309499,0x1111111254fb6c44bac0bed2854e76f90643097d,
