block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx,deposit_addresses,withdrawal_addresses
13519136,8.50000000,0.00000000,8.50000000,8.50000000,1,8.50000000,0x872254d530ae8983628cb1eaafc51f78d78c86d9,
13519147,4.50000000,0.00000000,4.50000000,13.00000000,2,4.50000000,0x9fc53c75046900d1f58209f50f534852ae9f912a,
13519188,0.00000000,10.00000000,-10.00000000,3.00000000,3,10.00000000,,0x722122df12d4e14e13ac3b6895a86e84145b6967
13519240,0.00000000,1.00000000,-1.00000000,2.00000000,3,1.00000000,,0x722122df12d4e14e13ac3b6895a86e84145b6967
13519258,0.00000000,1.00000000,-1.00000000,1.00000000,3,1.00000000,,0x722122df12d4e14e13ac3b6895a86e84145b6967
13519348,0.27871142,0.00000000,0.27871142,1.27871142,3,0.27871142,0x9fc53c75046900d1f58209f50f534852ae9f912a,
13519356,0.25000000,0.00000000,0.25000000,1.52871142,3,0.25000000,0x872254d530ae8983628cb1eaafc51f78d78c86d9,
13519366,0.11760231,0.00000000,0.11760231,1.64631373,4,0.11760231,0xd93847e7b31b45021d7e90732b829bd6181f8c5f,
13519380,0.17444881,0.00000000,0.17444881,1.82076254,5,0.17444881,0xe592427a0aece92de3edee1f18e0157c05861564,
13519390,0.00000000,1.00000000,-1.00000000,0.82076254,5,1.00000000,,0x722122df12d4e14e13ac3b6895a86e84145b6967
13519638,0.11692200,0.00000000,0.11692200,0.93768454,6,0.11692200,0x3cd751e6b0078be393132286c442345e5dc49699,
13519663,0.17491753,0.00000000,0.17491753,1.11260207,7,0.17491753,0xeb2629a2734e272bcc07bda959863f316f4bd4cf,
13519698,0.00000000,0.30000000,-0.30000000,0.81260207,7,0.30000000,,0xd93847e7b31b45021d7e90732b829bd6181f8c5f
13520355,0.88614870,0.00000000,0.88614870,1.69875077,8,0.88614870,0x47ce0c6ed5b0ce3d3a51fdb1c52dc66a7c3c2936,
13520358,0.88887480,0.00000000,0.88887480,2.58762557,8,0.88887480,0x47ce0c6ed5b0ce3d3a51fdb1c52dc66a7c3c2936,
13520390,0.00000000,1.79000000,-1.79000000,0.79762557,9,1.79000000,,0x9c479f89c3099c525a02e0a845b9a62c5351a3b8
