block,timestamp,from,to,amount_eth,direction,kind,hash
13519136,1635605909,0x872254d530ae8983628cb1eaafc51f78d78c86d9,0x439c0da3061ef171090e8a723f930bb14bea509c,8.50000000,deposit,normal,0xbf1d69b567d3bd8d6c581ce63a0bbfbbb5fe0b835775fab0eaefba4f625100e8
13519147,1635606152,0x9fc53c75046900d1f58209f50f534852ae9f912a,0x439c0da3061ef171090e8a723f930bb14bea509c,4.50000000,deposit,normal,0x7d2ede91bcb8ddd2abb379ee3c6cf89fbc33d03f47c1515b5294ff0252565b75
13519188,1635606730,0x439c0da3061ef171090e8a723f930bb14bea509c,0x722122df12d4e14e13ac3b6895a86e84145b6967,10.00000000,withdrawal,normal,0xe17295e99e5078240d2c0a195391c4d9368399b510c48a86da5a51f190d62146
13519240,1635607463,0x439c0da3061ef171090e8a723f930bb14bea509c,0x722122df12d4e14e13ac3b6895a86e84145b6967,1.00000000,withdrawal,normal,0xe16948ed680ac78e91e34877d2ac6968cb1ac5a4ee05df3eae25aa859261fb49
13519258,1635607710,0x439c0da3061ef171090e8a723f930bb14bea509c,0x722122df12d4e14e13ac3b6895a86e84145b6967,1.00000000,withdrawal,normal,0xd1a33df6a46564ace3d85b7a6cd2d707c35984390897c6f0f54f8e39ad159e3c
13519348,1635608896,0x9fc53c75046900d1f58209f50f534852ae9f912a,0x439c0da3061ef171090e8a723f930bb14bea509c,0.27871142,deposit,normal,0x49951cbf6ecc016ef9c540b406d4c685b18ca8791eb674ce459655d902913c46
13519356,1635609010,0x872254d530ae8983628cb1eaafc51f78d78c86d9,0x439c0da3061ef171090e8a723f930bb14bea509c,0.25000000,deposit,normal,0x4cbcdbb31d87a112c011d9d046485604615936fa1ec1f646a0b67f847d7b2ecb
13519366,1635609173,0xd93847e7b31b45021d7e90732b829bd6181f8c5f,0x439c0da3061ef171090e8a723f930bb14bea509c,0.11760231,deposit,normal,0x34c91297c751d64b63dc047a6d6b08f15d67af15828e0bdd8443721fe017a65e
13519380,1635609397,0xe592427a0aece92de3edee1f18e0157c05861564,0x439c0da3061ef171090e8a723f930bb14bea509c,0.17444881,deposit,internal,0x01ba1ad4be91c4c0001c93bb12609f8065a49c52399ef4874db96f9ea5046bcd
13519390,1635609551,0x439c0da3061ef171090e8a723f930bb14bea509c,0x722122df12d4e14e13ac3b6895a86e84145b6967,1.00000000,withdrawal,normal,0x174e287c2dc1167baf7d20fca50515d0c4649598f0812877dd913f86201157d9
13519638,1635612858,0x3cd751e6b0078be393132286c442345e5dc49699,0x439c0da3061ef171090e8a723f930bb14bea509c,0.11692200,deposit,normal,0x4dc3d9cb1b85704c3a3c2c1197d3497a87e2edd2a8ba1e06cca204a8568a569c
13519663,1635613185,0xeb2629a2734e272bcc07bda959863f316f4bd4cf,0x439c0da3061ef171090e8a723f930bb14bea509c,0.17491753,deposit,normal,0xec5fbe4532208a3ec512efc1a2abf534f566e392c3c6a4544d15266272f60f8e
13519698,1635613764,0x439c0da3061ef171090e8a723f930bb14bea509c,0xd93847e7b31b45021d7e90732b829bd6181f8c5f,0.30000000,withdrawal,normal,0x0d33f902519902c337cd4502210cc6aec762db6d3e034ab443b3806656b0271b
13520355,1635622593,0x47ce0c6ed5b0ce3d3a51fdb1c52dc66a7c3c2936,0x439c0da3061ef171090e8a723f930bb14bea509c,0.88614870,deposit,internal,0x38e3676f4fa5da03947f7525f3b747bcbef4ce08a5888b9f4ad3f60ce1aa3e80
13520358,1635622643,0x47ce0c6ed5b0ce3d3a51fdb1c52dc66a7c3c2936,0x439c0da3061ef171090e8a723f930bb14bea509c,0.88887480,deposit,internal,0x721c498a71d5d097d4df688372b9e9ec184a4421bdd5688eea973735ee134fdf
13520390,1635622973,0x439c0da3061ef171090e8a723f930bb14bea509c,0x9c479f89c3099c525a02e0a845b9a62c5351a3b8,1.79000000,withdrawal,normal,0x5d6c6db9f098ad173ba517b8732ad89218d3ce40b1009203db528b9c0ca77cfc
