block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx,deposit_addresses,withdrawal_addresses
13742734,5500.00000000,0.00000000,5500.00000000,5500.00000000,1,5500.00000000,0x39fb0dcd13945b835d47410ae0de7181d3edf270,
13742741,200.00000000,0.00000000,200.00000000,5700.00000000,1,200.00000000,0x39fb0dcd13945b835d47410ae0de7181d3edf270,
13742770,0.00000000,100.00000000,-100.00000000,5600.00000000,2,100.00000000,,0x722122df12d4e14e13ac3b6895a86e84145b6967
13742786,0.00000000,100.00000000,-100.00000000,5500.00000000,2,100.00000000,,0x722122df12d4e14e13ac3b6895a86e84145b6967
13742790,0.00000000,100.00000000,-100.00000000,5400.00000000,2,100.00000000,,0x722122df12d4e14e13ac3b6895a86e84145b6967
13742792,0.00000000,100.00000000,-100.00000000,5300.00000000,2,100.00000000,,0x722122df12d4e14e13ac3b6895a86e84145b6967
13742796,0.00000000,100.00000000,-100.00000000,5200.00000000,2,100.00000000,,0x722122df12d4e14e13ac3b6895a86e84145b6967
13742803,0.00000000,100.00000000,-100.00000000,5100.00000000,2,100.00000000,,0x722122df12d4e14e13ac3b6895a86e84145b6967
13742804,0.00000000,100.00000000,-100.00000000,5000.00000000,2,100.00000000,,0x722122df12d4e14e13ac3b6895a86e84145b6967
13742807,0.00000000,100.00000000,-100.00000000,4900.00000000,2,100.00000000,,0x722122df12d4e14e13ac3b6895a86e84145b6967
13742808,0.00000000,100.00000000,-100.00000000,4800.00000000,2,100.00000000,,0x722122df12d4e14e13ac3b6895a86e84145b6967
13742809,0.00000000,100.00000000,-100.00000000,4700.00000000,2,100.00000000,,0x722122df12d4e14e13ac3b6895a86e84145b6967
13742810,0.00000000,100.00000000,-100.00000000,4600.00000000,2,100.00000000,,0x722122df12d4e14e13ac3b6895a86e84145b6967
13742812,0.00000000,100.00000000,-100.00000000,4500.00000000,2,100.00000000,,0x722122df12d4e14e13ac3b6895a86e84145b6967
13742813,0.00000000,100.00000000,-100.00000000,4400.00000000,2,100.00000000,,0x722122df12d4e14e13ac3b6895a86e84145b6967
13742816,0.00000000,100.00000000,-100.00000000,4300.00000000,2,100.00000000,,0x722122df12d4e14e13ac3b6895a86e84145b6967
13742818,0.00000000,100.00000000,-100.00000000,4200.00000000,2,100.00000000,,0x722122df12d4e14e13ac3b6895a86e84145b6967
13742820,0.00000000,100.00000000,-100.00000000,4100.00000000,2,100.00000000,,0x722122df12d4e14e13ac3b6895a86e84145b6967
13742821,0.00000000,100.00000000,-100.00000000,4000.00000000,2,100.00000000,,0x722122df12d4e14e13ac3b6895a86e84145b6967
13742822,0.00000000,100.00000000,-100.00000000,3900.00000000,2,100.00000000,,0x722122df12d4e14e13ac3b6895a86e84145b6967
13742823,0.00000000,100.00000000,-100.00000000,3800.00000000,2,100.00000000,,0x722122df12d4e14e13ac3b6895a86e84145b6967
13742825,0.00000000,100.00000000,-100.00000000,3700.00000000,2,100.00000000,,0x722122df12d4e14e13ac3b6895a86e84145b6967
13742827,0.00000000,100.00000000,-100.00000000,3600.00000000,2,100.00000000,,0x722122df12d4e14e13ac3b6895a86e84145b6967
13742829,0.00000000,100.00000000,-100.00000000,3500.00000000,2,100.00000000,,0x722122df12d4e14e13ac3b6895a86e84145b6967
13742832,0.00000000,100.00000000,-100.00000000,3400.00000000,2,100.00000000,,0x722122df12d4e14e13ac3b6895a86e84145b6967
13742834,0.00000000,100.00000000,-100.00000000,3300.00000000,2,100.00000000,,0x722122df12d4e14e13ac3b6895a86e84145b6967
13742836,0.00000000,100.00000000,-100.00000000,3200.00000000,2,100.00000000,,0x722122df12d4e14e13ac3b6895a86e84145b6967
13742840,0.00000000,100.00000000,-100.00000000,3100.00000000,2,100.00000000,,0x722122df12d4e14e13ac3b6895a86e84145b6967
13742842,0.00000000,100.00000000,-100.00000000,3000.00000000,2,100.00000000,,0x722122df12d4e14e13ac3b6895a86e84145b6967
13742844,0.00000000,100.00000000,-100.00000000,2900.00000000,2,100.00000000,,0x722122df12d4e14e13ac3b6895a86e84145b6967
13742845,0.00000000,100.00000000,-100.00000000,2800.00000000,2,100.00000000,,0x722122df12d4e14e13ac3b6895a86e84145b6967
13742848,0.00000000,100.00000000,-100.00000000,2700.00000000,2,100.00000000,,0x722122df12d4e14e13ac3b6895a86e84145b6967
13742850,0.00000000,100.00000000,-100.00000000,2600.00000000,2,100.00000000,,0x722122df12d4e14e13ac3b6895a86e84145b6967
13742852,0.00000000,100.00000000,-100.00000000,2500.00000000,2,100.00000000,,0x722122df12d4e14e13ac3b6895a86e84145b6967
13742854,0.00000000,100.00000000,-100.00000000,2400.00000000,2,100.00000000,,0x722122df12d4e14e13ac3b6895a86e84145b6967
13742858,0.00000000,100.00000000,-100.00000000,2300.00000000,2,100.00000000,,0x722122df12d4e14e13ac3b6895a86e84145b6967
