block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx,deposit_addresses,withdrawal_addresses
4,1.00000000,0.00000000,1.00000000,1.00000000,1,1.00000000,0x70997970c51812dc3a010c7d01b50e0d17dc79c8,
7,1.20000000,0.00000000,1.20000000,2.20000000,2,1.20000000,0x3c44cdddb6a900fa2b585dd299e03d12fa4293bc,
10,1.40000000,0.00000000,1.40000000,3.60000000,3,1.40000000,0x90f79bf6eb2c4f870365e785982e1f101e93b906,
13,1.60000000,0.00000000,1.60000000,5.20000000,4,1.60000000,0x15d34aaf54267db7d7c367839aaf71a00a2c6a65,
16,1.80000000,0.00000000,1.80000000,7.00000000,5,1.80000000,0x9965507d1a55bcc2695c58ba16fb37d819b0a4dc,
19,2.00000000,0.00000000,2.00000000,9.00000000,6,2.00000000,0x976ea74026e726554db657fa54763abd0c3a0aa9,
22,2.20000000,0.00000000,2.20000000,11.20000000,7,2.20000000,0x14dc79964da2c08b23698b3d3cc7ca32193d9955,
25,2.40000000,0.00000000,2.40000000,13.60000000,8,2.40000000,0x23618e81e3f5cdf7f54c3d65f7fbc0abf5b21e8f,
28,2.60000000,0.00000000,2.60000000,16.20000000,9,2.60000000,0xa0ee7a142d267c1f36714e4a8f75612f20a79720,
31,2.80000000,0.00000000,2.80000000,19.00000000,10,2.80000000,0xbcd4042de499d14e55001ccbb24a551f3b954096,
35,0.00000000,19.00000000,-19.00000000,0.00000000,11,19.00000000,,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266
