block,timestamp,from,to,amount_eth,direction,kind,hash
4,1778061473,0x70997970c51812dc3a010c7d01b50e0d17dc79c8,0x5fbdb2315678afecb367f032d93f642f64180aa3,1.00000000,deposit,normal,
7,1778061474,0x3c44cdddb6a900fa2b585dd299e03d12fa4293bc,0x5fbdb2315678afecb367f032d93f642f64180aa3,1.20000000,deposit,normal,
10,1778061475,0x90f79bf6eb2c4f870365e785982e1f101e93b906,0x5fbdb2315678afecb367f032d93f642f64180aa3,1.40000000,deposit,normal,
13,1778061476,0x15d34aaf54267db7d7c367839aaf71a00a2c6a65,0x5fbdb2315678afecb367f032d93f642f64180aa3,1.60000000,deposit,normal,
16,1778061477,0x9965507d1a55bcc2695c58ba16fb37d819b0a4dc,0x5fbdb2315678afecb367f032d93f642f64180aa3,1.80000000,deposit,normal,
19,1778061478,0x976ea74026e726554db657fa54763abd0c3a0aa9,0x5fbdb2315678afecb367f032d93f642f64180aa3,2.00000000,deposit,normal,
22,1778061479,0x14dc79964da2c08b23698b3d3cc7ca32193d9955,0x5fbdb2315678afecb367f032d93f642f64180aa3,2.20000000,deposit,normal,
25,1778061480,0x23618e81e3f5cdf7f54c3d65f7fbc0abf5b21e8f,0x5fbdb2315678afecb367f032d93f642f64180aa3,2.40000000,deposit,normal,
28,1778061481,0xa0ee7a142d267c1f36714e4a8f75612f20a79720,0x5fbdb2315678afecb367f032d93f642f64180aa3,2.60000000,deposit,normal,
31,1778061482,0xbcd4042de499d14e55001ccbb24a551f3b954096,0x5fbdb2315678afecb367f032d93f642f64180aa3,2.80000000,deposit,normal,
35,1778061484,0x5fbdb2315678afecb367f032d93f642f64180aa3,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,19.00000000,withdrawal,normal,
