block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx,deposit_addresses,withdrawal_addresses
13501409,3132.28990150,0.00000000,3132.28990150,3132.28990150,1,3132.28990150,0x24354d31bc9d90f62fe5f2454709c32049cf866b,
13506494,715.00000000,0.00000000,715.00000000,3847.28990150,1,715.00000000,0x24354d31bc9d90f62fe5f2454709c32049cf866b,
13512482,29.00000000,0.00000000,29.00000000,3876.28990150,1,29.00000000,0x24354d31bc9d90f62fe5f2454709c32049cf866b,
16046935,41.83696515,0.00000000,41.83696515,3918.12686665,2,41.83696515,0x9008d19f58aabd9ed0d60971565aa8510560ab41,
16046948,0.00000000,41.62000000,-41.62000000,3876.50686665,3,41.62000000,,0xdece02a7c930d917d870ec8859434791f86d63c3
16047001,167.17478491,0.00000000,167.17478491,4043.68165156,3,167.17478491,0x9008d19f58aabd9ed0d60971565aa8510560ab41,
16047067,0.00000000,167.00000000,-167.00000000,3876.68165156,3,167.00000000,,0xdece02a7c930d917d870ec8859434791f86d63c3
16047200,419.38738638,0.00000000,419.38738638,4296.06903794,3,419.38738638,0x9008d19f58aabd9ed0d60971565aa8510560ab41,
16047224,0.00000000,419.00000000,-419.00000000,3877.06903794,3,419.00000000,,0xdece02a7c930d917d870ec8859434791f86d63c3
16055382,412.04112932,0.00000000,412.04112932,4289.11016726,3,412.04112932,0x9008d19f58aabd9ed0d60971565aa8510560ab41,
16055481,0.00000000,412.00000000,-412.00000000,3877.11016726,3,412.00000000,,0xdece02a7c930d917d870ec8859434791f86d63c3
16068692,0.00000000,0.00000000,0.00000000,3877.11016726,4,0.00000000,0x91257ad382cd6faa36984e150a0f527643727cbc,
16068725,0.00000000,0.00000000,0.00000000,3877.11016726,4,0.00000000,0x91257ad382cd6faa36984e150a0f527643727cbc,
16085668,0.00000000,400.00000000,-400.00000000,3477.11016726,4,400.00000000,,0xdece02a7c930d917d870ec8859434791f86d63c3
16085687,400.00000000,0.00000000,400.00000000,3877.11016726,4,400.00000000,0x9008d19f58aabd9ed0d60971565aa8510560ab41,
16100135,0.00000000,0.00000000,0.00000000,3877.11016726,4,0.00000000,0x91257ad382cd6faa36984e150a0f527643727cbc,
16112520,395.71872386,0.00000000,395.71872386,4272.82889112,4,395.71872386,0x9008d19f58aabd9ed0d60971565aa8510560ab41,
16112526,0.00000000,393.84000000,-393.84000000,3878.98889112,4,393.84000000,,0xdece02a7c930d917d870ec8859434791f86d63c3
16114188,391.53616981,0.00000000,391.53616981,4270.52506093,4,391.53616981,0x9008d19f58aabd9ed0d60971565aa8510560ab41,
16114197,0.00000000,391.53610000,-391.53610000,3878.98896093,4,391.53610000,,0xdece02a7c930d917d870ec8859434791f86d63c3
16120804,398.34924193,0.00000000,398.34924193,4277.33820286,4,398.34924193,0x9008d19f58aabd9ed0d60971565aa8510560ab41,
16120861,0.00000000,398.34920000,-398.34920000,3878.98900286,4,398.34920000,,0xdece02a7c930d917d870ec8859434791f86d63c3
16134702,405.29436765,0.00000000,405.29436765,4284.28337051,4,405.29436765,0x9008d19f58aabd9ed0d60971565aa8510560ab41,
16134709,0.00000000,405.29430000,-405.29430000,3878.98907051,4,405.29430000,,0xdece02a7c930d917d870ec8859434791f86d63c3
16139025,0.00000000,0.00000000,0.00000000,3878.98907051,5,0.00000000,0x8fbda9f08c7cdc18d18563ceec08af1286e30514,
16147048,774.94508155,0.00000000,774.94508155,4653.93415206,5,774.94508155,0x9008d19f58aabd9ed0d60971565aa8510560ab41,
16147058,0.00000000,774.94508154,-774.94508154,3878.98907052,5,774.94508154,,0xdece02a7c930d917d870ec8859434791f86d63c3
16147860,0.00000000,0.00000000,0.00000000,3878.98907052,5,0.00000000,0x8fbda9f08c7cdc18d18563ceec08af1286e30514,
16147873,0.00000000,0.00000000,0.00000000,3878.98907052,5,0.00000000,0x8fbda9f08c7cdc18d18563ceec08af1286e30514,
16147875,0.00000000,0.00000000,0.00000000,3878.98907052,5,0.00000000,0x8fbda9f08c7cdc18d18563ceec08af1286e30514,
16147881,0.00000000,0.00000000,0.00000000,3878.98907052,5,0.00000000,0x8fbda9f08c7cdc18d18563ceec08af1286e30514,
16147895,0.00000000,0.00000000,0.00000000,3878.98907052,5,0.00000000,0x8fbda9f08c7cdc18d18563ceec08af1286e30514,
16168930,0.00000000,0.00000000,0.00000000,3878.98907052,5,0.00000000,0x8fbda9f08c7cdc18d18563ceec08af1286e30514,
16171408,391.30131881,0.00000000,391.30131881,4270.29038933,5,391.30131881,0x9008d19f58aabd9ed0d60971565aa8510560ab41,
16171425,0.00000000,389.28660000,-389.28660000,3881.00378933,5,389.28660000,,0xdece02a7c930d917d870ec8859434791f86d63c3
16176630,0.00000000,0.00000000,0.00000000,3881.00378933,5,0.00000000,0x8fbda9f08c7cdc18d18563ceec08af1286e30514,
16176645,0.00000000,0.00000000,0.00000000,3881.00378933,5,0.00000000,0x8fbda9f08c7cdc18d18563ceec08af1286e30514,
16176699,0.00000000,0.00000000,0.00000000,3881.00378933,5,0.00000000,0x8fbda9f08c7cdc18d18563ceec08af1286e30514,
16176759,0.00000000,0.00000000,0.00000000,3881.00378933,5,0.00000000,0x8fbda9f08c7cdc18d18563ceec08af1286e30514,
16192703,471.93370305,0.00000000,471.93370305,4352.93749238,5,471.93370305,0x9008d19f58aabd9ed0d60971565aa8510560ab41,
16192708,0.00000000,471.93370000,-471.93370000,3881.00379238,5,471.93370000,,0xdece02a7c930d917d870ec8859434791f86d63c3
16197098,494.39771007,0.00000000,494.39771007,4375.40150245,5,494.39771007,0x9008d19f58aabd9ed0d60971565aa8510560ab41,
16197110,0.00000000,494.39770000,-494.39770000,3881.00380245,5,494.39770000,,0xdece02a7c930d917d870ec8859434791f86d63c3
16370056,376.60758485,0.00000000,376.60758485,4257.61138730,5,376.60758485,0x9008d19f58aabd9ed0d60971565aa8510560ab41,
16370071,0.00000000,376.20430000,-376.20430000,3881.40708730,5,376.20430000,,0xdece02a7c930d917d870ec8859434791f86d63c3
16399501,847.47709398,0.00000000,847.47709398,4728.88418128,5,847.47709398,0x9008d19f58aabd9ed0d60971565aa8510560ab41,
16399507,0.00000000,847.47700000,-847.47700000,3881.40718128,5,847.47700000,,0xdece02a7c930d917d870ec8859434791f86d63c3
16428571,100.00000000,0.00000000,100.00000000,3981.40718128,5,100.00000000,0x9008d19f58aabd9ed0d60971565aa8510560ab41,
16428589,0.00000000,100.00000000,-100.00000000,3881.40718128,5,100.00000000,,0xdece02a7c930d917d870ec8859434791f86d63c3
16495940,0.00000000,381.03090000,-381.03090000,3500.37628128,5,381.03090000,,0xdece02a7c930d917d870ec8859434791f86d63c3
16516011,383.10902449,0.00000000,383.10902449,3883.48530577,6,383.10902449,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,
16516021,365.69435016,0.00000000,365.69435016,4249.17965593,6,365.69435016,0x9008d19f58aabd9ed0d60971565aa8510560ab41,
16516026,0.00000000,365.69430000,-365.69430000,3883.48535593,6,365.69430000,,0xdece02a7c930d917d870ec8859434791f86d63c3
16523738,0.00000000,63.57480000,-63.57480000,3819.91055593,6,63.57480000,,0xdece02a7c930d917d870ec8859434791f86d63c3
16535487,0.00000010,0.00000000,0.00000010,3819.91055603,7,0.00000010,0xd20813c5aef25a62e5e5265eb7b5b07ea0f1466e,
16546258,364.81974006,0.00000000,364.81974006,4184.73029609,7,364.81974006,0x9008d19f58aabd9ed0d60971565aa8510560ab41,
16546261,0.00000000,362.82200000,-362.82200000,3821.90829609,7,362.82200000,,0xdece02a7c930d917d870ec8859434791f86d63c3
16599755,446.05582329,0.00000000,446.05582329,4267.96411937,7,446.05582329,0x9008d19f58aabd9ed0d60971565aa8510560ab41,
16599772,0.00000000,443.68190000,-443.68190000,3824.28221937,7,443.68190000,,0xdece02a7c930d917d870ec8859434791f86d63c3
16603847,329.08856156,0.00000000,329.08856156,4153.37078093,7,329.08856156,0x9008d19f58aabd9ed0d60971565aa8510560ab41,
16603853,329.07349939,0.00000000,329.07349939,4482.44428032,7,329.07349939,0x9008d19f58aabd9ed0d60971565aa8510560ab41,
16603862,0.00000000,329.08850000,-329.08850000,4153.35578032,7,329.08850000,,0xdece02a7c930d917d870ec8859434791f86d63c3
16603883,0.00000000,329.07300000,-329.07300000,3824.28278032,7,329.07300000,,0xdece02a7c930d917d870ec8859434791f86d63c3
16874217,286.43129121,0.00000000,286.43129121,4110.71407154,7,286.43129121,0x9008d19f58aabd9ed0d60971565aa8510560ab41,
16874244,0.00000000,286.43000000,-286.43000000,3824.28407154,7,286.43000000,,0xdece02a7c930d917d870ec8859434791f86d63c3
16879586,277.98461882,0.00000000,277.98461882,4102.26869035,7,277.98461882,0x9008d19f58aabd9ed0d60971565aa8510560ab41,
16879595,0.00000000,277.98000000,-277.98000000,3824.28869035,7,277.98000000,,0xdece02a7c930d917d870ec8859434791f86d63c3
16880265,277.40363970,0.00000000,277.40363970,4101.69233006,7,277.40363970,0x9008d19f58aabd9ed0d60971565aa8510560ab41,
16880276,0.00000000,277.40000000,-277.40000000,3824.29233006,7,277.40000000,,0xdece02a7c930d917d870ec8859434791f86d63c3
16881733,278.70558072,0.00000000,278.70558072,4102.99791078,7,278.70558072,0x9008d19f58aabd9ed0d60971565aa8510560ab41,
16881755,0.00000000,278.70550000,-278.70550000,3824.29241078,7,278.70550000,,0xdece02a7c930d917d870ec8859434791f86d63c3
16882341,279.34249442,0.00000000,279.34249442,4103.63490520,7,279.34249442,0x9008d19f58aabd9ed0d60971565aa8510560ab41,
16882348,0.00000000,279.34240000,-279.34240000,3824.29250520,7,279.34240000,,0xdece02a7c930d917d870ec8859434791f86d63c3
16936708,280.07957338,0.00000000,280.07957338,4104.37207858,7,280.07957338,0x9008d19f58aabd9ed0d60971565aa8510560ab41,
16936748,0.00000000,280.00000000,-280.00000000,3824.37207858,7,280.00000000,,0xdece02a7c930d917d870ec8859434791f86d63c3
17032176,0.00000000,527.00000000,-527.00000000,3297.37207858,7,527.00000000,,0xdece02a7c930d917d870ec8859434791f86d63c3
17109460,266.75680957,0.00000000,266.75680957,3564.12888815,7,266.75680957,0x9008d19f58aabd9ed0d60971565aa8510560ab41,
17109473,0.00000000,266.75680000,-266.75680000,3297.37208815,7,266.75680000,,0xdece02a7c930d917d870ec8859434791f86d63c3
17279519,0.00000000,278.00000000,-278.00000000,3019.37208815,7,278.00000000,,0xdece02a7c930d917d870ec8859434791f86d63c3
17279536,278.00000000,0.00000000,278.00000000,3297.37208815,7,278.00000000,0x9008d19f58aabd9ed0d60971565aa8510560ab41,
17515247,0.00000000,230.00000000,-230.00000000,3067.37208815,7,230.00000000,,0xdece02a7c930d917d870ec8859434791f86d63c3
17565104,0.00000000,268.29980000,-268.29980000,2799.07228815,7,268.29980000,,0xdece02a7c930d917d870ec8859434791f86d63c3
17599909,259.85795132,0.00000000,259.85795132,3058.93023947,7,259.85795132,0x9008d19f58aabd9ed0d60971565aa8510560ab41,
17599917,0.00000000,258.54650000,-258.54650000,2800.38373947,7,258.54650000,,0xdece02a7c930d917d870ec8859434791f86d63c3
17642037,134.09696949,0.00000000,134.09696949,2934.48070896,7,134.09696949,0x9008d19f58aabd9ed0d60971565aa8510560ab41,
17642045,134.05196025,0.00000000,134.05196025,3068.53266921,7,134.05196025,0x9008d19f58aabd9ed0d60971565aa8510560ab41,
17642081,0.00000000,266.87840000,-266.87840000,2801.65426921,7,266.87840000,,0xdece02a7c930d917d870ec8859434791f86d63c3
17866438,0.00000000,273.71000000,-273.71000000,2527.94426921,7,273.71000000,,0xdece02a7c930d917d870ec8859434791f86d63c3
17867538,0.00000000,273.71000000,-273.71000000,2254.23426921,7,273.71000000,,0xdece02a7c930d917d870ec8859434791f86d63c3
17941761,0.00000000,295.56470000,-295.56470000,1958.66956921,7,295.56470000,,0xdece02a7c930d917d870ec8859434791f86d63c3
17957018,0.00000000,297.72830000,-297.72830000,1660.94126921,7,297.72830000,,0xdece02a7c930d917d870ec8859434791f86d63c3
17957029,0.00000000,1.45500000,-1.45500000,1659.48626921,7,1.45500000,,0xdece02a7c930d917d870ec8859434791f86d63c3
18065096,0.00000000,306.58500000,-306.58500000,1352.90126921,7,306.58500000,,0xdece02a7c930d917d870ec8859434791f86d63c3
18228961,0.00000000,314.00000000,-314.00000000,1038.90126921,7,314.00000000,,0xdece02a7c930d917d870ec8859434791f86d63c3
18240803,0.00000000,305.20000000,-305.20000000,733.70126921,7,305.20000000,,0xdece02a7c930d917d870ec8859434791f86d63c3
18264564,0.00000000,730.00000000,-730.00000000,3.70126921,8,730.00000000,,0x40a50cf069e992aa4536211b23f286ef88752187
18403196,307.03349538,0.00000000,307.03349538,310.73476459,8,307.03349538,0x9008d19f58aabd9ed0d60971565aa8510560ab41,
18403220,0.00000000,305.45780000,-305.45780000,5.27696459,8,305.45780000,,0xdece02a7c930d917d870ec8859434791f86d63c3
18543384,0.00000000,1.00000000,-1.00000000,4.27696459,9,1.00000000,,0x25d35fd29330db71a348f0ccb0d65593ef1810a4
