block,timestamp,from,to,amount_eth,direction,kind,hash
13501409,1635364966,0x24354d31bc9d90f62fe5f2454709c32049cf866b,0x70747df6ac244979a2ae9ca1e1a82899d02bbea4,3132.28990150,deposit,normal,0x2b76e20a9c49b53036402964b1459fb7be937855136e0722adad970126cff198
13506494,1635434184,0x24354d31bc9d90f62fe5f2454709c32049cf866b,0x70747df6ac244979a2ae9ca1e1a82899d02bbea4,715.00000000,deposit,normal,0x3cace49b0af17d6b4ecc2aa9d42fe7d0fcd0c4b32acbdd572cef97f64c80d630
13512482,1635516137,0x24354d31bc9d90f62fe5f2454709c32049cf866b,0x70747df6ac244979a2ae9ca1e1a82899d02bbea4,29.00000000,deposit,normal,0x8fab1dc4d2e61c165ddebdf899eea9c7f40aee526d26c0792313bdd33358e406
16046935,1669378499,0x9008d19f58aabd9ed0d60971565aa8510560ab41,0x70747df6ac244979a2ae9ca1e1a82899d02bbea4,41.83696515,deposit,internal,0x085a077e38aca75ba2b9db9da654d47c152bc99b96f2fa96dd85201c96db3359
16046948,1669378667,0x70747df6ac244979a2ae9ca1e1a82899d02bbea4,0xdece02a7c930d917d870ec8859434791f86d63c3,41.62000000,withdrawal,normal,0x19917bdfdf1aac6c18bbf353d4bab8b8dc2d2527d898956514fc840557f4b338
16047001,1669379303,0x9008d19f58aabd9ed0d60971565aa8510560ab41,0x70747df6ac244979a2ae9ca1e1a82899d02bbea4,167.17478491,deposit,internal,0xc6be97ea77be2e0d815703e30d8663f1119f988402df4a8ca3c879955cd8fa1e
16047067,1669380095,0x70747df6ac244979a2ae9ca1e1a82899d02bbea4,0xdece02a7c930d917d870ec8859434791f86d63c3,167.00000000,withdrawal,normal,0x9dc5e9e70657431421ff180d9e785f65849185e0260124752740a96b8fa80079
16047200,1669381703,0x9008d19f58aabd9ed0d60971565aa8510560ab41,0x70747df6ac244979a2ae9ca1e1a82899d02bbea4,419.38738638,deposit,internal,0x7d2d9cc19a1e5e515d3a33e6994e0c17d32fbf67eae86bb13ae7fcb49e31dccc
16047224,1669381991,0x70747df6ac244979a2ae9ca1e1a82899d02bbea4,0xdece02a7c930d917d870ec8859434791f86d63c3,419.00000000,withdrawal,normal,0x6631ff20d58875f1a4dfeba0acb117f490bc1818aa37d804b06d2198e3de3e21
16055382,1669480463,0x9008d19f58aabd9ed0d60971565aa8510560ab41,0x70747df6ac244979a2ae9ca1e1a82899d02bbea4,412.04112932,deposit,internal,0x1551e264cd4acd349d0dd888303500c4465e69b0e5f1ae7bb1f4553a2104dbfc
