block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx,deposit_addresses,withdrawal_addresses
12144049,100.00000000,100.00000000,0.00000000,0.00000000,2,100.00000000,0x8a4a1914df6ed1bbc97a153d0b360c1849dbf14b,0xa160cdab225685da1d56aa342ad8841c3b53f291
12144054,200.00000000,200.00000000,0.00000000,0.00000000,2,100.00000000,0x8a4a1914df6ed1bbc97a153d0b360c1849dbf14b,0xa160cdab225685da1d56aa342ad8841c3b53f291
12144275,100.00000000,100.00000000,0.00000000,0.00000000,3,100.00000000,0x79a98a9f41051e119cad1b9ffefe523cd0be65f0,0xa160cdab225685da1d56aa342ad8841c3b53f291
12144276,100.00000000,100.00000000,0.00000000,0.00000000,3,100.00000000,0x79a98a9f41051e119cad1b9ffefe523cd0be65f0,0xa160cdab225685da1d56aa342ad8841c3b53f291
12144277,100.00000000,100.00000000,0.00000000,0.00000000,3,100.00000000,0x79a98a9f41051e119cad1b9ffefe523cd0be65f0,0xa160cdab225685da1d56aa342ad8841c3b53f291
12144282,100.00000000,100.00000000,0.00000000,0.00000000,3,100.00000000,0x79a98a9f41051e119cad1b9ffefe523cd0be65f0,0xa160cdab225685da1d56aa342ad8841c3b53f291
12144283,100.00000000,100.00000000,0.00000000,0.00000000,3,100.00000000,0x79a98a9f41051e119cad1b9ffefe523cd0be65f0,0xa160cdab225685da1d56aa342ad8841c3b53f291
12144287,100.00000000,100.00000000,0.00000000,0.00000000,3,100.00000000,0x79a98a9f41051e119cad1b9ffefe523cd0be65f0,0xa160cdab225685da1d56aa342ad8841c3b53f291
12144295,100.00000000,100.00000000,0.00000000,0.00000000,3,100.00000000,0x79a98a9f41051e119cad1b9ffefe523cd0be65f0,0xa160cdab225685da1d56aa342ad8841c3b53f291
12144307,200.00000000,200.00000000,0.00000000,0.00000000,3,100.00000000,0x79a98a9f41051e119cad1b9ffefe523cd0be65f0,0xa160cdab225685da1d56aa342ad8841c3b53f291
