block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx,deposit_addresses,withdrawal_addresses
13506456,100.01612640,0.00000000,100.01612640,100.01612640,1,100.01612640,0xf598b81ef8c7b52a7f2a89253436e72ec6dc871f,
13506488,99.89000000,0.00000000,99.89000000,199.90612640,2,99.89000000,0xbd081b5df53b816ae505a50bc072edfc9bd65116,
13506508,99.91998943,0.00000000,99.91998943,299.82611583,3,99.91998943,0x0c90e5ad111285bd75888718f7151bdbe2f5d21d,
13506671,9.93685218,0.00000000,9.93685218,309.76296801,4,9.93685218,0x3f3f3d264ec77ee7762b93f76822122d01cd0e97,
13506676,0.00000000,300.00000000,-300.00000000,9.76296801,5,300.00000000,,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
13519136,0.00000000,8.50000000,-8.50000000,1.26296801,6,8.50000000,,0x439c0da3061ef171090e8a723f930bb14bea509c
13519356,0.00000000,0.25000000,-0.25000000,1.01296801,6,0.25000000,,0x439c0da3061ef171090e8a723f930bb14bea509c
13519675,0.00000000,0.03435508,-0.03435508,0.97861293,7,0.03435508,,0xd93847e7b31b45021d7e90732b829bd6181f8c5f
13519707,0.17514607,0.00000000,0.17514607,1.15375900,7,0.17514607,0xd93847e7b31b45021d7e90732b829bd6181f8c5f,
13519730,0.00000000,0.16100142,-0.16100142,0.99275758,8,0.16100142,,0x3069388b2c7e45a53ebb32c31bc3817304401d9e
20500304,2.10000000,2.00000000,0.10000000,1.09275758,10,2.10000000,0xc4e824ddf7cad2dfbb738bb0ec38b0468d81c4a2,0x6b273ec313724d224fb275257f411f0a167ee10a
20500568,0.00000000,0.09318744,-0.09318744,0.99957014,11,0.09318744,,0x593889178ac483d13c181cc159653579722e357e
20500766,0.00000000,0.00095900,-0.00095900,0.99861113,12,0.00095900,,0x0935cd382813876df77bb9c36492064fc5572a3f
20500932,0.00027084,0.00000000,0.00027084,0.99888197,13,0.00027084,0x5c5cbd763eb80cb8feae18934ea19f287e3c2518,
20500933,0.00002871,0.00000000,0.00002871,0.99891068,14,0.00002871,0xc89808dbfde64a48b70c2e45409067b2b833c2af,
20500937,0.00000000,0.00027101,-0.00027101,0.99863967,15,0.00027101,,0xe2588450dfa9a7b862984c215af88853b15a60a5
21065278,0.00500000,0.00000000,0.00500000,1.00363967,16,0.00500000,0x9335a9b878627ad32f877a0266751559f7de7756,
21065284,0.00000000,0.00431490,-0.00431490,0.99932477,17,0.00431490,,0x6220e08c9d63ab7ba2e566839f429eeefe199b7e
21381248,0.05000000,0.04000000,0.01000000,1.00932477,18,0.05000000,0xf01cc7154e255d20489e091a5aea10bc136696a8,0x6220e08c9d63ab7ba2e566839f429eeefe199b7e
21384037,0.00570000,0.00000000,0.00570000,1.01502477,19,0.00570000,0xfd392c1b242ce26c70d93ef720d32eba757d5706,
21384049,0.00000000,0.00500000,-0.00500000,1.01002477,19,0.00500000,,0xd93847e7b31b45021d7e90732b829bd6181f8c5f
21384092,0.00459449,0.00000000,0.00459449,1.01461927,19,0.00459449,0xfd392c1b242ce26c70d93ef720d32eba757d5706,
21384099,0.00000000,0.00105812,-0.00105812,1.01356115,19,0.00105812,,0x6220e08c9d63ab7ba2e566839f429eeefe199b7e
21384111,0.00099105,0.00000000,0.00099105,1.01455220,20,0.00099105,0xd7a6f5611a341ecd2a5350851b6d560996881ef1,
21384112,0.00060283,0.00000000,0.00060283,1.01515503,20,0.00060283,0xfd392c1b242ce26c70d93ef720d32eba757d5706,
21384206,0.00000000,0.00040000,-0.00040000,1.01475503,21,0.00040000,,0x977f7cc66dc5c2a9d0267cb47006cf3946bdeaa4
21856548,0.00000000,0.00000011,-0.00000011,1.01475492,21,0.00000011,,0x6220e08c9d63ab7ba2e566839f429eeefe199b7e
