block,timestamp,from,to,amount_eth,direction,kind,hash
13506456,1635433758,0xf598b81ef8c7b52a7f2a89253436e72ec6dc871f,0x872254d530ae8983628cb1eaafc51f78d78c86d9,100.01612640,deposit,normal,0xa184d69b162c9ff973faebbb77b5007115c82dd295479fbfc1de3f5c227aba5a
13506488,1635434072,0xbd081b5df53b816ae505a50bc072edfc9bd65116,0x872254d530ae8983628cb1eaafc51f78d78c86d9,99.89000000,deposit,normal,0x069794ebf2528aaf03374ee0b385380b53230e27b2640d11abd31eaee1b071b2
13506508,1635434471,0x0c90e5ad111285bd75888718f7151bdbe2f5d21d,0x872254d530ae8983628cb1eaafc51f78d78c86d9,99.91998943,deposit,normal,0x0fec67f286e9a750deb0d0a4636289352aec2b8302ac7eeb8105fa6fcf448a30
13506671,1635436579,0x3f3f3d264ec77ee7762b93f76822122d01cd0e97,0x872254d530ae8983628cb1eaafc51f78d78c86d9,9.93685218,deposit,normal,0x720c146a97617c0a743d229fd0ec483fdaad9d121cc23d7db695eea21efca997
13506676,1635436634,0x872254d530ae8983628cb1eaafc51f78d78c86d9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,300.00000000,withdrawal,normal,0xf0be14eabfa8e7099b90567690c4b7a28be2d6ac2a5b2998b9ad2b0f4ff0231a
13519136,1635605909,0x872254d530ae8983628cb1eaafc51f78d78c86d9,0x439c0da3061ef171090e8a723f930bb14bea509c,8.50000000,withdrawal,normal,0xbf1d69b567d3bd8d6c581ce63a0bbfbbb5fe0b835775fab0eaefba4f625100e8
13519356,1635609010,0x872254d530ae8983628cb1eaafc51f78d78c86d9,0x439c0da3061ef171090e8a723f930bb14bea509c,0.25000000,withdrawal,normal,0x4cbcdbb31d87a112c011d9d046485604615936fa1ec1f646a0b67f847d7b2ecb
13519675,1635613344,0x872254d530ae8983628cb1eaafc51f78d78c86d9,0xd93847e7b31b45021d7e90732b829bd6181f8c5f,0.03435508,withdrawal,normal,0x8a77883c693cfb32dbf4d443dccf7700b4bd171f64668b9beef102c4fd13db21
13519707,1635613958,0xd93847e7b31b45021d7e90732b829bd6181f8c5f,0x872254d530ae8983628cb1eaafc51f78d78c86d9,0.17514607,deposit,normal,0x2090255137007e6cc5997573670015ca065b71f6b639b55d4cabe365ef75b6b0
13519730,1635614304,0x872254d530ae8983628cb1eaafc51f78d78c86d9,0x3069388b2c7e45a53ebb32c31bc3817304401d9e,0.16100142,withdrawal,normal,0x71dcfa8e18efab69dfaaab2c752e104138a82b6849677a14dcb8aeecb3c097df
