block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx,deposit_addresses,withdrawal_addresses
13501409,3132.28990150,0.00000000,3132.28990150,3132.28990150,1,3132.28990150,0x24354d31bc9d90f62fe5f2454709c32049cf866b,
13506501,715.00000000,0.00000000,715.00000000,3847.28990150,1,715.00000000,0x24354d31bc9d90f62fe5f2454709c32049cf866b,
14835356,0.00000000,5.00000000,-5.00000000,3842.28990150,2,5.00000000,,0x49b9eb77b300014f99b39b35904c2dbc069e428e
15185845,0.00000000,1005.00000000,-1005.00000000,2837.28990150,3,1005.00000000,,0x58a3c68e2d3aaf316239c003779f71acb870ee47
15185858,0.00000000,300.00000000,-300.00000000,2537.28990150,3,300.00000000,,0x58a3c68e2d3aaf316239c003779f71acb870ee47
15264608,0.00000000,500.00000000,-500.00000000,2037.28990150,4,500.00000000,,0x7c0579d0bc9954e935196cccafb3a93eb2d65f2d
15266587,0.00000000,500.00000000,-500.00000000,1537.28990150,4,500.00000000,,0x7c0579d0bc9954e935196cccafb3a93eb2d65f2d
15266634,0.00000000,473.00000000,-473.00000000,1064.28990150,4,473.00000000,,0x7c0579d0bc9954e935196cccafb3a93eb2d65f2d
15277045,0.00000000,63.00000000,-63.00000000,1001.28990150,4,63.00000000,,0x7c0579d0bc9954e935196cccafb3a93eb2d65f2d
15516442,0.00000000,1000.00000000,-1000.00000000,1.28990150,4,1000.00000000,,0x58a3c68e2d3aaf316239c003779f71acb870ee47
24376309,0.00000000,0.90165422,-0.90165422,0.38824728,5,0.90165422,,0x8d8da5b326bd35025adfb441d5f4c2431b2ac2af
24376471,0.00000100,0.00000000,0.00000100,0.38824828,6,0.00000100,0x8d8d936db648d69a3bc8b70305f5948c4ea6c2af,
24379690,0.00000000,0.00000000,0.00000000,0.38824828,7,0.00000000,0x8d8d78a469c55fcaffb707d64bf0d76c8fc8c2af,
24380264,0.00000001,0.00000000,0.00000001,0.38824829,7,0.00000001,0x8d8d936db648d69a3bc8b70305f5948c4ea6c2af,
24380376,0.00000000,0.00000000,0.00000000,0.38824830,7,0.00000000,0x8d8d78a469c55fcaffb707d64bf0d76c8fc8c2af,
24383176,0.00000001,0.00000000,0.00000001,0.38824831,7,0.00000001,0x8d8d936db648d69a3bc8b70305f5948c4ea6c2af,
24401904,0.00000000,0.00000000,0.00000000,0.38824831,7,0.00000000,0x8d8d78a469c55fcaffb707d64bf0d76c8fc8c2af,
24402222,0.00000100,0.00000000,0.00000100,0.38824931,7,0.00000100,0x8d8d936db648d69a3bc8b70305f5948c4ea6c2af,
24402944,0.00000000,0.00000000,0.00000000,0.38824931,7,0.00000000,0x8d8d78a469c55fcaffb707d64bf0d76c8fc8c2af,
24404049,0.00000100,0.00000000,0.00000100,0.38825031,7,0.00000100,0x8d8d936db648d69a3bc8b70305f5948c4ea6c2af,
24404075,0.00000000,0.00000000,0.00000000,0.38825031,7,0.00000000,0x8d8d78a469c55fcaffb707d64bf0d76c8fc8c2af,
24406238,0.00000100,0.00000000,0.00000100,0.38825131,7,0.00000100,0x8d8d936db648d69a3bc8b70305f5948c4ea6c2af,
24406324,0.00000000,0.00000000,0.00000000,0.38825131,7,0.00000000,0x8d8d78a469c55fcaffb707d64bf0d76c8fc8c2af,
24408966,0.00000100,0.00000000,0.00000100,0.38825231,7,0.00000100,0x8d8d936db648d69a3bc8b70305f5948c4ea6c2af,
24408978,0.00000000,0.00000000,0.00000000,0.38825231,7,0.00000000,0x8d8d78a469c55fcaffb707d64bf0d76c8fc8c2af,
24413241,0.00000100,0.00000000,0.00000100,0.38825331,7,0.00000100,0x8d8d936db648d69a3bc8b70305f5948c4ea6c2af,
24435946,0.00000000,0.00000000,0.00000000,0.38825331,7,0.00000000,0x8d8d78a469c55fcaffb707d64bf0d76c8fc8c2af,
