block,timestamp,from,to,amount_eth,direction,kind,hash
13501409,1635364966,0x24354d31bc9d90f62fe5f2454709c32049cf866b,0x921760e71fb58dcc8de902ce81453e9e3d7fe253,3132.28990150,deposit,normal,0x5556f1150807bbe0df10a8551e82b7b83e811658ad36b37e0a39d10242479160
13506501,1635434374,0x24354d31bc9d90f62fe5f2454709c32049cf866b,0x921760e71fb58dcc8de902ce81453e9e3d7fe253,715.00000000,deposit,normal,0x2c2ca18ece3ac5a0dbd32dc8a5b60680e2d76bd9eba7fe26c570375dcd2007f9
14835356,1653389468,0x921760e71fb58dcc8de902ce81453e9e3d7fe253,0x49b9eb77b300014f99b39b35904c2dbc069e428e,5.00000000,withdrawal,normal,0x292f8264de1051a9151d8238d016df01f5cba03bf824216860036e06e00913ea
15185845,1658405814,0x921760e71fb58dcc8de902ce81453e9e3d7fe253,0x58a3c68e2d3aaf316239c003779f71acb870ee47,1005.00000000,withdrawal,normal,0xa32ddeea7c8a3f538a7815b2e899be2c47c2e74e65ae31afc2998ea4fb5de4cc
15185858,1658405944,0x921760e71fb58dcc8de902ce81453e9e3d7fe253,0x58a3c68e2d3aaf316239c003779f71acb870ee47,300.00000000,withdrawal,normal,0xd954c70cd184f8a3df9f1979e207ba6c946d7b1ee2602c34e9ab0732f0f26dd3
15264608,1659463741,0x921760e71fb58dcc8de902ce81453e9e3d7fe253,0x7c0579d0bc9954e935196cccafb3a93eb2d65f2d,500.00000000,withdrawal,normal,0x722b264f9e688614cc3e3c34d112e4f3621a3e96bf9d5c7bd7a69cfb325924a6
15266587,1659490161,0x921760e71fb58dcc8de902ce81453e9e3d7fe253,0x7c0579d0bc9954e935196cccafb3a93eb2d65f2d,500.00000000,withdrawal,normal,0xcf55f6fb459f8d8e6450302d149926e37f30dfbb0cc6dc3eec7f3de6a275eb77
15266634,1659490737,0x921760e71fb58dcc8de902ce81453e9e3d7fe253,0x7c0579d0bc9954e935196cccafb3a93eb2d65f2d,473.00000000,withdrawal,normal,0x867b231660e2fd3fc5809d5d66aed9b7b6fb30d29f62bf8a9684067c7e080d51
15277045,1659631743,0x921760e71fb58dcc8de902ce81453e9e3d7fe253,0x7c0579d0bc9954e935196cccafb3a93eb2d65f2d,63.00000000,withdrawal,normal,0xe2c36bd513f7ab851145defcdaf7b186a6ee1ec8c0c7475767b70836b2bd763a
15516442,1662922591,0x921760e71fb58dcc8de902ce81453e9e3d7fe253,0x58a3c68e2d3aaf316239c003779f71acb870ee47,1000.00000000,withdrawal,normal,0x4d5715b5c3e28a4fdea7fa98d90c90d981391a075670334b31a3a319dbe456ad
