block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx,deposit_addresses,withdrawal_addresses
4753499,1.00000000,0.00000000,1.00000000,1.00000000,1,1.00000000,0x009be56dd91808b2ab35959a65245732c73fe871,
4753504,9.00000000,0.00000000,9.00000000,10.00000000,1,9.00000000,0x009be56dd91808b2ab35959a65245732c73fe871,
4753527,25.00000000,0.00000000,25.00000000,35.00000000,2,25.00000000,0x004075e4d4b1ce6c48c81cc940e2bad24b489e64,
4753531,15.00000000,0.00000000,15.00000000,50.00000000,3,15.00000000,0x0005abcbb9533cf6f9370505ffef25393e0d2852,
4753925,1.00000000,0.00000000,1.00000000,51.00000000,4,1.00000000,0x000dcf36d188714ec52fe527d437c486d4fb24d8,
4754434,100.00000000,0.00000000,100.00000000,151.00000000,5,100.00000000,0x8d44eaae757884f4f8fb4664d07acecee71cfd89,
4754501,0.00500000,0.00000000,0.00500000,151.00500000,6,0.00500000,0xcd5f8fa45e0ca0937f86006b9ee8fe1eedee5fc4,
4754984,0.05000000,0.00000000,0.05000000,151.05500000,7,0.05000000,0x007b9f0cb5226662497e57a65efa6cadb8399532,
4755002,0.50000000,0.00000000,0.50000000,151.55500000,8,0.50000000,0x655a0821de1791c55986b4ba906357d88d7a0c49,
4755142,1.00000000,0.00000000,1.00000000,152.55500000,9,1.00000000,0xc031d5e3822be0335027ecf88afdfd3433a97fe1,
4755298,1.50000000,0.00000000,1.50000000,154.05500000,10,1.50000000,0x11664b75364d51655c01ad169b0a936a92feb12f,
4755330,0.50000000,0.00000000,0.50000000,154.55500000,10,0.50000000,0x007b9f0cb5226662497e57a65efa6cadb8399532,
4755646,0.50000000,0.00000000,0.50000000,155.05500000,11,0.50000000,0x1a40ca0774518d8f7f41df7da070a4aae08184f1,
4755679,0.95000000,0.00000000,0.95000000,156.00500000,12,0.95000000,0x9cefde113e96adbe99b8975bbb25825d4c4d0e77,
4755707,300.00000000,0.00000000,300.00000000,456.00500000,13,300.00000000,0x7c5f6ffad368dbf1a83e6d66b5ace792fac2e7c0,
4755822,0.30000000,0.00000000,0.30000000,456.30500000,14,0.30000000,0xe730b30256bd9d3f5cbfdaad0f584307876acd25,
4755843,100.00000000,0.00000000,100.00000000,556.30500000,15,100.00000000,0xf5c7bcb44ebafc72d46dbc70b717272e19024da4,
4755891,0.08000000,0.00000000,0.08000000,556.38500000,16,0.08000000,0xc7898d042e0f9d96a33ad0bcbca0e69ceb31c918,
4755894,0.00800000,0.00000000,0.00800000,556.39300000,17,0.00800000,0x179f4792401969a8053785917fb000393c72fb49,
