block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx,deposit_addresses,withdrawal_addresses
12990635,0.47485685,0.00000000,0.47485685,0.47485685,1,0.47485685,0x0093e5f2a850268c0ca3093c7ea53731296487eb,
12996671,2857.48634685,0.00000000,2857.48634685,2857.96120370,2,2857.48634685,0x250e76987d838a75310c34bf422ea9f1ac4cc906,
12997811,0.00077700,0.00000000,0.00077700,2857.96198070,3,0.00077700,0x00000000009a41862f3b2b0c688b7c0d1940511e,
12997862,0.00000800,0.00000000,0.00000800,2857.96198870,4,0.00000800,0x99854ba0a00012336fb508c082e5bd974333dbd3,
12997867,0.00000000,13.37000000,-13.37000000,2844.59198870,5,13.37000000,,0xf8b5c45c6388c9ee12546061786026aaeaa4b682
12997880,0.01000000,0.00000000,0.01000000,2844.60198870,6,0.01000000,0x0653441ab038d44e1d8c85f1d0d805e8270ffe4f,
12997885,0.00133700,0.00000000,0.00133700,2844.60332570,7,0.00133700,0xb7242463014108ebeeca2ffd65d4cd450820bd1f,
12997887,0.00017000,0.00000000,0.00017000,2844.60349570,9,0.00010000,0x7c7b99634cd523b4af7722f612f68b063db07e36|0x502828034c43cf0f1fc6c78ae124e100e99032c3,
12997892,0.00031717,0.00000000,0.00031717,2844.60381286,10,0.00031717,0xae9fcfbe7f3e217f378db11160f6e7e858a6a8ec,
12997899,0.00420690,0.00000000,0.00420690,2844.60801976,11,0.00420690,0x15f574311bf3408d413a6a3bab569b3377ac146d,
12997901,0.00079500,0.00000000,0.00079500,2844.60881477,12,0.00079500,0x807bdfefb2836b9543084f720888aa74d9f4da44,
12997910,0.00000100,0.00000000,0.00000100,2844.60881577,13,0.00000100,0xc1129c95d9f16a17f80efcbde4f1b536c484c1d6,
12997920,0.00133200,0.00000000,0.00133200,2844.61014777,16,0.00066600,0xca3d1d06e87822102a0d1b12d672ac482f5bee15|0x0919d2c1c6847d03bf93fdf1c2572a1b272fc674|0x114514655c38c0e039acadcf199991fdbb039a09,
12997922,0.01000000,0.00000000,0.01000000,2844.62014777,17,0.01000000,0x859a8a9d54dcbc039c125fc97c256108b24256b4,
12997926,0.00150000,0.00000000,0.00150000,2844.62164777,19,0.00100000,0x5197a22a944591aadc3c0e9c769feaabbc469739|0x33929665820e1e66b53a3480722fa618a172a145,
12997929,0.00100000,0.00000000,0.00100000,2844.62264777,20,0.00100000,0x7b5c6f7ab8c0506e3ba5753805473cd488ff4e9c,
12997931,0.00079000,0.00000000,0.00079000,2844.62343777,22,0.00069000,0x10a8bda4459b8ed79529b59c5c9a6b6a530bc5e5|0xe9d2e0bc8c8d62048948ee9847b3606702cc1abe,
12997933,0.00001000,0.00000000,0.00001000,2844.62344777,23,0.00001000,0x9a35f582ad41e6b09c50a4cf25426d774a5e0621,
12997934,0.00132878,0.00000000,0.00132878,2844.62477655,24,0.00132878,0x9652baba3c9f6040db65ee534cceb671cc13a81b,
