block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx,deposit_addresses,withdrawal_addresses
4168588,0.11000000,0.00000000,0.11000000,0.11000000,1,0.11000000,0xe06aa58eea20d165ad7d5b770abd28544ac899b6,
4719497,10.00000000,0.00000000,10.00000000,10.11000000,2,10.00000000,0x5e061742846b9a9d4f5b2544f06c67a1f9fa1689,
4719526,0.00000000,10.00000000,-10.00000000,0.11000000,3,10.00000000,,0x46ba99539f007fac7fef854ced74c7b4f6d4825a
4889022,0.00000000,0.10000000,-0.10000000,0.01000000,4,0.10000000,,0xf16a3de91f44e5495dd8e55e50583369c3876e2e
5012190,0.11080000,0.00000000,0.11080000,0.12080000,5,0.11080000,0x05ee546c1a62f90d7acbffd6d846c9c54c7cf94c,
5059599,0.00000000,0.00100000,-0.00100000,0.11980000,6,0.00100000,,0xd072ae76c053963c1a51ef12892bb418715e0ae7
5059702,0.00000000,0.02000000,-0.02000000,0.09980000,7,0.02000000,,0x330a6b72f842b6b2161151cf400207a1b3239e83
5283369,0.00000000,0.00100000,-0.00100000,0.09880000,8,0.00100000,,0x5cd8319f3a7afa665f7b90ca8249aed05b94fd31
5414818,3.00000000,0.00000000,3.00000000,3.09880000,9,3.00000000,0x939126c5bc21f182eaf9c2fe9ffa64fd74e1f6d0,
5509752,0.00000000,3.00000000,-3.00000000,0.09880000,10,3.00000000,,0x80ecc04b41f7beea80e2ee63b32e2146cbd2bf99
5529787,0.00000000,0.00200000,-0.00200000,0.09680000,10,0.00200000,,0xd072ae76c053963c1a51ef12892bb418715e0ae7
5537925,0.06000000,0.00000000,0.06000000,0.15680000,11,0.06000000,0xf4a2eff88a408ff4c4550148151c33c93442619e,
5592855,0.00000000,0.01000000,-0.01000000,0.14680000,12,0.01000000,,0xc2156b4e6f59b922281f07ad7afb0199a0566e2f
5593379,0.00000000,0.03000000,-0.03000000,0.11680000,13,0.03000000,,0x387b7f61427e154c8e34f9700bd30df42202b7ff
5604491,0.00000000,0.02000000,-0.02000000,0.09680000,14,0.02000000,,0x9bf70231e40ac597e54492bd999fa435342f89e8
5651118,0.00000000,0.01000000,-0.01000000,0.08680000,15,0.01000000,,0x1a0673243452f3b8576b78e4337913d612715474
5661746,0.00000000,0.00800000,-0.00800000,0.07880000,16,0.00800000,,0x6be0e7942cf3baa4c8212cf2d31a71b5507dcb32
5669311,0.03000000,0.00000000,0.03000000,0.10880000,17,0.03000000,0x05a8fa490ba4a41c533d476215ff159a3a47829c,
5702181,0.20000000,0.00000000,0.20000000,0.30880000,18,0.20000000,0xa6c1465e19cfda05dbb1ac1c8ced1a2dd5b71941,
5709128,0.00000000,0.01000000,-0.01000000,0.29880000,19,0.01000000,,0x90cce4840d32a56ce94c44ca19a11c811f5a9305
5709251,0.00000000,0.01000000,-0.01000000,0.28880000,20,0.01000000,,0x400e5258d8b281c989ca6f2a280aabfffe0f7e63
5712085,0.00000000,0.05000000,-0.05000000,0.23880000,21,0.05000000,,0x18e242e2db7b9e3b1bf9a4bf12b9dc4e1ce0542d
5723382,0.40000000,0.00000000,0.40000000,0.63880000,22,0.40000000,0x07254b2896d66fd3c4cefb1b7c97a4e4d6fc5f80,
5734359,0.00000000,0.50000000,-0.50000000,0.13880000,23,0.50000000,,0x6ea66be8fb97c20b1299b930812526f4d6b6161c
5751537,0.00000000,0.01000000,-0.01000000,0.12880000,24,0.01000000,,0xa9cec6496ea1e0356d357bb60c9795deb1ba118b
5752989,0.40000000,0.00000000,0.40000000,0.52880000,25,0.40000000,0x2d306368694de18625544083aba1c38208e6ad3c,
5757197,0.35000000,0.00000000,0.35000000,0.87880000,26,0.35000000,0x8354cb979e1ebdf49d8a4c3a3a44cba4bcfc366f,
5757316,0.00000000,0.24500000,-0.24500000,0.63380000,26,0.24500000,,0x400e5258d8b281c989ca6f2a280aabfffe0f7e63
5768602,0.00000000,0.59000000,-0.59000000,0.04380000,27,0.59000000,,0x95c316a05bbc08407ce891ed18e70228004b40aa
5768823,0.31000000,0.00000000,0.31000000,0.35380000,28,0.31000000,0x3449f137baf63f1def217f26978dde5e7851b3b4,
5780140,0.27000000,0.00000000,0.27000000,0.62380000,29,0.27000000,0xb4e40733db81ce0b17e443425171e4cb0019aba5,
5797196,1.66700000,0.00000000,1.66700000,2.29080000,30,1.66700000,0x0d0707963952f2fba59dd06f2b425ace40b492fe,
5797579,0.00000000,1.50000000,-1.50000000,0.79080000,30,1.50000000,,0x400e5258d8b281c989ca6f2a280aabfffe0f7e63
5797879,0.42200000,0.00000000,0.42200000,1.21280000,31,0.42200000,0x2ca175a5173ff06307ea5e2a2577359ab67563e6,
5798312,0.00000000,1.13000000,-1.13000000,0.08280000,32,1.13000000,,0xde6340fc41a7d3a5d6525c930efa615b118bc4c4
5803094,0.41000000,0.00000000,0.41000000,0.49280000,33,0.41000000,0xe7b10644be273e64cb42c61958aa86ca08b23151,
5815112,0.59000000,0.00000000,0.59000000,1.08280000,34,0.59000000,0xc9d89053648db4dd0e9f6c7e5dd955d00028d293,
5815634,0.30000000,0.00000000,0.30000000,1.38280000,35,0.30000000,0x085c80c821d4577f18750efb784e741f8015b252,
5816213,0.00000000,0.25000000,-0.25000000,1.13280000,35,0.25000000,,0x400e5258d8b281c989ca6f2a280aabfffe0f7e63
5839094,1.01000000,0.00000000,1.01000000,2.14280000,36,1.01000000,0x92b4ee710a474ac593b448d43f34879875782744,
5850187,0.99000000,0.00000000,0.99000000,3.13280000,37,0.99000000,0x87b3c58fb53cb13657424941636f2eb217c4efd4,
5867387,0.00000000,3.00000000,-3.00000000,0.13280000,38,3.00000000,,0xc1143fc6e126b1923f7bb5ec66f96ad4152817c0
5867542,1.00000000,0.00000000,1.00000000,1.13280000,39,1.00000000,0xb1c89e25673e3f84f84a82501d77ddc6b01122d3,
5880147,1.00000000,0.00000000,1.00000000,2.13280000,40,1.00000000,0xeca2c67f9d97bce2b5972b28b5087c816d033ccc,
5885180,1.13000000,0.00000000,1.13000000,3.26280000,40,1.13000000,0xeca2c67f9d97bce2b5972b28b5087c816d033ccc,
5885306,0.00000000,0.80000000,-0.80000000,2.46280000,40,0.80000000,,0x400e5258d8b281c989ca6f2a280aabfffe0f7e63
5890522,0.00000000,1.62000000,-1.62000000,0.84280000,41,1.62000000,,0x0a6c6997f256c95389a859922786e88a02bbe3cc
5891871,0.00000000,0.44600000,-0.44600000,0.39680000,42,0.44600000,,0xd6f0e1f5532b910d372c49f3354f02ba3ed29271
5908343,1.05000000,0.00000000,1.05000000,1.44680000,42,1.05000000,0xeca2c67f9d97bce2b5972b28b5087c816d033ccc,
5920832,0.00000000,1.40000000,-1.40000000,0.04680000,43,1.40000000,,0x91f847283b23ba82942b05f0eb820b522eb8c050
5932344,1.31000000,0.00000000,1.31000000,1.35680000,44,1.31000000,0xa75c909001742a6ab1ede66c6166bd1a2a5c9a8f,
5942000,1.60000000,0.00000000,1.60000000,2.95680000,45,1.60000000,0xae15083b0de3c73add92ba939b9be6bddf350e72,
5942051,0.00000000,1.13000000,-1.13000000,1.82680000,45,1.13000000,,0x400e5258d8b281c989ca6f2a280aabfffe0f7e63
5943513,1.15000000,0.00000000,1.15000000,2.97680000,45,1.15000000,0xa75c909001742a6ab1ede66c6166bd1a2a5c9a8f,
5944178,0.00000000,2.93000000,-2.93000000,0.04680000,46,2.93000000,,0xaa91206a0abd50c4969ff7bc31d2ee4b10825a1c
5955244,1.00000000,0.00000000,1.00000000,1.04680000,46,1.00000000,0xeca2c67f9d97bce2b5972b28b5087c816d033ccc,
5967487,1.12940000,0.00000000,1.12940000,2.17620000,47,1.12940000,0x68c314490f3d0a8333bc5671c5cc409dfdee7ead,
5969880,0.00000000,1.00000000,-1.00000000,1.17620000,48,1.00000000,,0xb8e98e347d3ccbde46c3e3b57f3914513aeea207
5973734,0.00000000,1.00000000,-1.00000000,0.17620000,48,1.00000000,,0x80ecc04b41f7beea80e2ee63b32e2146cbd2bf99
5983836,2.70000000,0.00000000,2.70000000,2.87620000,49,2.70000000,0x3a7c831ceca5413c21e3d61fd3e2406bfd1031d5,
6017181,0.00000000,2.80000000,-2.80000000,0.07620000,49,2.80000000,,0x80ecc04b41f7beea80e2ee63b32e2146cbd2bf99
