block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx,deposit_addresses,withdrawal_addresses
10933499,1994.20950061,0.00000000,1994.20950061,1994.20950061,1,1994.20950061,0x689c56aef474df92d44a1b70850f808488f9769c,
10933501,8709.03324527,0.00000000,8709.03324527,10703.24274588,2,8709.03324527,0x2b5634c42055806a59e9107ed44d43c426e58258,
10933917,595.96751105,0.00000000,595.96751105,11299.21025693,2,595.96751105,0x689c56aef474df92d44a1b70850f808488f9769c,
10934105,186.59785818,0.00000000,186.59785818,11485.80811511,2,186.59785818,0x2b5634c42055806a59e9107ed44d43c426e58258,
10934901,0.00000000,5.00000000,-5.00000000,11480.80811511,3,5.00000000,,0xc6f928cf9431b82c8c9a10fe954df44e66cbed1c
10935325,0.01000000,0.00000000,0.01000000,11480.81811511,4,0.01000000,0xc1aa040c94e9c6e2ba76c6c70d6efa5542550f5e,
10935570,0.00100000,0.00000000,0.00100000,11480.81911511,5,0.00100000,0xafb7cae8038ccc7c88b53ebe976bd62ccdb5332b,
10935571,0.00100000,0.00000000,0.00100000,11480.82011511,6,0.00100000,0x839b18d2256cefdfe6ca917a4f9f982e569730a6,
10935585,0.01000000,0.00000000,0.01000000,11480.83011511,7,0.01000000,0xbb573d6584f8171de46fc0620a95335b149e2951,
10935605,0.01000000,0.00000000,0.01000000,11480.84011511,7,0.01000000,0xafb7cae8038ccc7c88b53ebe976bd62ccdb5332b,
10935631,0.01000000,0.00000000,0.01000000,11480.85011511,8,0.01000000,0xee96caa78bd77ac82562a2f65479440988b95dca,
10935646,0.05000000,0.00000000,0.05000000,11480.90011511,9,0.05000000,0x28b044a342b8f882f9f3c7d771bbf589ece2bc55,
10935693,0.00100000,0.00000000,0.00100000,11480.90111511,10,0.00100000,0x88396cfaf6f0b1e80ae41c39bd9b35c63ed2c492,
10935694,0.00100000,0.00000000,0.00100000,11480.90211511,11,0.00100000,0x917c2b17fec0a2aa7a37f75e44eb100f2caca5e2,
10935709,0.01000000,0.00000000,0.01000000,11480.91211511,12,0.01000000,0xc8c3522fb5161f402036f48bd9bd3505efc5ca8f,
10935763,0.00150000,0.00000000,0.00150000,11480.91361511,13,0.00150000,0x493696cdbda8ab5b42e26a3edfe9ca9ae6718348,
10936002,0.00100000,0.00000000,0.00100000,11480.91461511,14,0.00100000,0xc428a5eec605fda02af8083ad1928b669b81957c,
10936651,0.00010000,0.00000000,0.00010000,11480.91471511,15,0.00010000,0x837fa2f8baffc4bc90aa00e91aefda8739d26c22,
10936805,0.00100000,0.00000000,0.00100000,11480.91571511,16,0.00100000,0x9328e61c641d946a6c971deb22ecc4c79aee19c7,
10936867,0.00010000,0.00000000,0.00010000,11480.91581511,17,0.00010000,0x0e7f4d07acfced542f961f6d4c285bfe841b7c0a,
10937186,0.00010000,0.00000000,0.00010000,11480.91591511,17,0.00010000,0x837fa2f8baffc4bc90aa00e91aefda8739d26c22,
10937915,0.00000010,0.00000000,0.00000010,11480.91591521,18,0.00000010,0xc825145e5fd6874012c4f9e9f64e61a15542e57d,
10938014,0.00000000,0.00000000,0.00000000,11480.91591521,18,0.00000000,0xc825145e5fd6874012c4f9e9f64e61a15542e57d,
10938865,0.01337000,0.00000000,0.01337000,11480.92928521,19,0.01337000,0x70199e772dcfe8a2fda8f82fa94f47eac5a76afb,
10943087,0.00000000,8.00000000,-8.00000000,11472.92928521,20,8.00000000,,0x1c3f856719a91735ccb78506bd504b17907ac814
10944831,0.00300000,0.00000000,0.00300000,11472.93228521,21,0.00300000,0x5ef6ab5300e1a44250944ac7a127e6c976f6ce87,
10946020,0.00690000,0.00000000,0.00690000,11472.93918521,22,0.00690000,0x84db1f3d22784319fc0ceac8dbba603f1053630f,
10946043,0.00009000,0.00000000,0.00009000,11472.93927521,23,0.00009000,0x4a87fd8bad897bc087ca75bbb77c02e2c1f49a9f,
10946578,0.00600000,0.00000000,0.00600000,11472.94527521,24,0.00600000,0xfb49f1728bc3ab6e1676818d02e3225961aca800,
10946605,0.00010000,0.00000000,0.00010000,11472.94537521,25,0.00010000,0x5a09bb1d3c028320a207d7d38e51d22c39e6254c,
10947586,0.00002600,0.00000000,0.00002600,11472.94540121,26,0.00002600,0xe808e96925b0b5f6589f379b49cff2b18b5cbc4f,
10949515,0.00526700,0.00000000,0.00526700,11472.95066821,27,0.00526700,0xcfef9cd9cd0d4a4e832e7c907046fc78376be311,
10949824,0.00100000,0.00000000,0.00100000,11472.95166821,28,0.00100000,0xd0a9a7644333a24b6c24a87f8d8251bd496c7afd,
10949860,0.00208545,0.00000000,0.00208545,11472.95375366,29,0.00208545,0x23a7efcf2f0e58ef762c769c890d927926dd59cb,
10949871,0.00771994,0.00000000,0.00771994,11472.96147361,30,0.00771994,0xc2eb18a6402af503430d41f2302364548d4f2b7c,
10951272,56.72525541,0.00000000,56.72525541,11529.68672902,31,56.72525541,0x710da7a06b0c66a18fed27dfa53d937c69ed3b2c,
10951753,0.00001000,0.00000000,0.00001000,11529.68673902,32,0.00001000,0x3df4f80a1592a125742ef7d69c24cc3f8306afd8,
10952258,0.00100000,0.00000000,0.00100000,11529.68773902,33,0.00100000,0x476d98843bec159e032df29ab3884fc6305efdca,
10952322,0.00008000,0.00000000,0.00008000,11529.68781902,33,0.00008000,0x476d98843bec159e032df29ab3884fc6305efdca,
10955826,0.00001000,0.00000000,0.00001000,11529.68782902,33,0.00001000,0x3df4f80a1592a125742ef7d69c24cc3f8306afd8,
10955915,0.00001000,0.00000000,0.00001000,11529.68783902,34,0.00001000,0x170856d358e32e04898d7880fe8bf64610418faf,
10956594,0.00010000,0.00000000,0.00010000,11529.68793902,35,0.00010000,0x0969372c5f34eab105835a30794df0118bc073bc,
10956634,0.00000067,0.00000000,0.00000067,11529.68793969,35,0.00000067,0x0969372c5f34eab105835a30794df0118bc073bc,
10956904,0.00001000,0.00000000,0.00001000,11529.68794969,36,0.00001000,0x9ed2b6e2772cd2af8ce9c2ef5e1b01b119e31520,
10961567,0.00100001,0.00000000,0.00100001,11529.68894970,37,0.00100001,0x9f7af6583360743ba139e19e4218703d1ce73ff1,
10962166,0.00000010,0.00000000,0.00000010,11529.68894980,37,0.00000010,0x170856d358e32e04898d7880fe8bf64610418faf,
11035006,0.00088657,0.00000000,0.00088657,11529.68983637,38,0.00088657,0xc2ea0584a6b5df8ad2c488a208b2f1ac25f4019f,
11048762,0.00060000,0.00000000,0.00060000,11529.69043637,39,0.00060000,0x1eb0b2fbf6fcdafaab68c463e3ae974dea72fc4b,
11111219,0.00000000,20.00000000,-20.00000000,11509.69043637,40,20.00000000,,0x34a17418cec67b82d08cf77a987941f99dc87c6b
11111233,0.00000000,11500.00000000,-11500.00000000,9.69043637,40,11500.00000000,,0x34a17418cec67b82d08cf77a987941f99dc87c6b
11131625,8.85728579,0.00000000,8.85728579,18.54772216,40,8.85728579,0x34a17418cec67b82d08cf77a987941f99dc87c6b,
11150151,0.00000000,0.00897000,-0.00897000,18.53875216,41,0.00897000,,0x170fdf119d849d18bedd6054429a38a31830490e
11230205,0.07541591,0.00000000,0.07541591,18.61416807,42,0.07541591,0xf2d00e3080e1d9fd5e47f54188434e24cfe54da2,
11424089,0.00000000,1.00000000,-1.00000000,17.61416807,43,1.00000000,,0x6e875aa2458eecf978dc826c72804eeed4aeb456
13034851,0.00000000,2.00000000,-2.00000000,15.61416807,44,2.00000000,,0x58b891a5f94e65f225549acef13a9dc3a33b1942
13035452,0.98587623,0.00000000,0.98587623,16.60004430,45,0.98587623,0xfbc7cdd3b2ae8e2e5cbaf413784530fe697f7a5f,
25637325,0.00001100,0.00000000,0.00001100,16.60005530,46,0.00001100,0x58b892732a6df98f9f34973c2b4a8738a08b1942,
