block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx,deposit_addresses,withdrawal_addresses
5536623,1.00000000,0.00000000,1.00000000,1.00000000,1,1.00000000,0x8c1da19bd395ce3cd5b1046cdac8e01b689d992a,
5537158,20.00000000,0.00000000,20.00000000,21.00000000,2,20.00000000,0x1eeb92cfdd8a6b27357a9fc329616654d101c2e3,
5537524,0.00000000,0.00571217,-0.00571217,20.99428783,3,0.00571217,,0x2d25a4b31ec25894a917e26ae6783b126bd5ae74
5537532,0.00000000,0.00687602,-0.00687602,20.98741181,3,0.00687602,,0x2d25a4b31ec25894a917e26ae6783b126bd5ae74
5537542,0.00000000,0.00803398,-0.00803398,20.97937783,3,0.00803398,,0x2d25a4b31ec25894a917e26ae6783b126bd5ae74
5537551,0.00000000,0.00804406,-0.00804406,20.97133377,4,0.00804406,,0xfc7c49913c5c29c329d95ae585cb4c8f8af0569e
5537555,0.00000000,0.00805957,-0.00805957,20.96327420,4,0.00805957,,0x2d25a4b31ec25894a917e26ae6783b126bd5ae74
5537558,0.00000000,0.00689841,-0.00689841,20.95637579,4,0.00689841,,0x2d25a4b31ec25894a917e26ae6783b126bd5ae74
5537925,0.00000000,0.06000000,-0.06000000,20.89637579,5,0.06000000,,0xd2c17bdaa359d4d94d21bad00c51ef47c7be417e
5537928,0.00000000,0.24400000,-0.24400000,20.65237579,6,0.24400000,,0x743e8e2f0795c73c815d84cf63614d5e8f73686e
5537935,0.00000000,2.40000000,-2.40000000,18.25237579,7,2.40000000,,0xef526b6fa9944aae5fbf270dc63570f7e5f9f23b
5537942,0.00000000,1.20000000,-1.20000000,17.05237579,8,1.20000000,,0x3c6153910cb2864be8be3fcc6fb3965a69fb855f
5538076,0.00000000,0.02000000,-0.02000000,17.03237579,9,0.02000000,,0xe4585cc63a4d7de748453e437c0296ae74ae8994
5538274,0.00000000,0.00010000,-0.00010000,17.03227579,10,0.00010000,,0xa026ec6aaa3c61b52fc69e49b0916627c11efaca
5542339,0.00000000,0.20000000,-0.20000000,16.83227579,10,0.20000000,,0x3c6153910cb2864be8be3fcc6fb3965a69fb855f
5542504,0.00000000,0.00404000,-0.00404000,16.82823579,10,0.00404000,,0xa026ec6aaa3c61b52fc69e49b0916627c11efaca
