block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx,deposit_addresses,withdrawal_addresses
13604049,100.68306898,0.00000000,100.68306898,100.68306898,1,100.68306898,0xb6e8ddeafa766dd4adb54a3754854f462149858c,
13604105,0.00000000,66.00000000,-66.00000000,34.68306898,2,66.00000000,,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
13604118,66.00507470,0.00000000,66.00507470,100.68814369,2,66.00507470,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,
13604142,0.00000000,70.00000000,-70.00000000,30.68814369,2,70.00000000,,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
13604146,0.00000000,1.00000000,-1.00000000,29.68814369,3,1.00000000,,0xdef1c0ded9bec7f1a1670819833240f027b25eff
13604165,0.00000000,1.50000000,-1.50000000,28.18814369,3,1.50000000,,0xdef1c0ded9bec7f1a1670819833240f027b25eff
13604378,74.57978612,0.00000000,74.57978612,102.76792981,3,74.57978612,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,
13604399,0.00000000,66.00000000,-66.00000000,36.76792981,3,66.00000000,,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
13604492,71.55595701,0.00000000,71.55595701,108.32388682,3,71.55595701,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,
13604692,0.00000000,40.00000000,-40.00000000,68.32388682,3,40.00000000,,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
13604704,0.00000000,1.00000000,-1.00000000,67.32388682,3,1.00000000,,0xdef1c0ded9bec7f1a1670819833240f027b25eff
13604759,0.00000000,4.00000000,-4.00000000,63.32388682,3,4.00000000,,0xdef1c0ded9bec7f1a1670819833240f027b25eff
13604767,0.00000000,1.00000000,-1.00000000,62.32388682,3,1.00000000,,0xdef1c0ded9bec7f1a1670819833240f027b25eff
13604791,0.00000000,0.75000000,-0.75000000,61.57388682,3,0.75000000,,0xdef1c0ded9bec7f1a1670819833240f027b25eff
13604826,1.35424257,0.00000000,1.35424257,62.92812939,3,1.35424257,0xdef1c0ded9bec7f1a1670819833240f027b25eff,
13604838,0.00000000,3.00000000,-3.00000000,59.92812939,3,3.00000000,,0xdef1c0ded9bec7f1a1670819833240f027b25eff
13604847,0.00000000,3.00000000,-3.00000000,56.92812939,3,3.00000000,,0xdef1c0ded9bec7f1a1670819833240f027b25eff
