block,timestamp,from,to,amount_eth,direction,kind,hash
13604049,1636757168,0xb6e8ddeafa766dd4adb54a3754854f462149858c,0xf80f6fa4ccb6550c9dc58d58d51fb0928f9b323c,100.68306898,deposit,normal,0x0c30837422bb772610f51c78fbb581cadcec76f99acf864a9d65c0faabf5fe3a
13604105,1636758034,0xf80f6fa4ccb6550c9dc58d58d51fb0928f9b323c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,66.00000000,withdrawal,normal,0x86bda2ed793b518b223e8e580f7feb10d5549bcfad220886c433e84332b8e739
13604118,1636758125,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xf80f6fa4ccb6550c9dc58d58d51fb0928f9b323c,66.00507470,deposit,internal,0x3d8ec4abb4d614d7871ace41653f5c7f23320f0b57f927dc62ca0413afa4f0c7
13604142,1636758463,0xf80f6fa4ccb6550c9dc58d58d51fb0928f9b323c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,70.00000000,withdrawal,normal,0x203f7104c521ce6c3d857164f528f69583474aee030b11660b8fcea855e0b74c
13604146,1636758543,0xf80f6fa4ccb6550c9dc58d58d51fb0928f9b323c,0xdef1c0ded9bec7f1a1670819833240f027b25eff,1.00000000,withdrawal,normal,0x52daf69251be8df34d6ac153825ed53cf70fb8c84f692b5f9e624b10bd7c12a8
13604165,1636758803,0xf80f6fa4ccb6550c9dc58d58d51fb0928f9b323c,0xdef1c0ded9bec7f1a1670819833240f027b25eff,1.50000000,withdrawal,normal,0x7e15aa215c0305582d3aede66f0d04e7f7c91e573f89f4fb308e51e739ed70f0
13604378,1636761461,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xf80f6fa4ccb6550c9dc58d58d51fb0928f9b323c,74.57978612,deposit,internal,0x16f0e392e9fb7854b2540d18c5ab1be0eabc7616ba0fb969b4e69e9eb5e9e34b
13604399,1636761784,0xf80f6fa4ccb6550c9dc58d58d51fb0928f9b323c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,66.00000000,withdrawal,normal,0xa95ed879c62f6671174e1d838b55563ebeab07752609b5a68c79b9e02f2cdd3a
13604492,1636763155,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xf80f6fa4ccb6550c9dc58d58d51fb0928f9b323c,71.55595701,deposit,internal,0x84fec5361aee0703a8668e1bbf23c0e4ee1e2ad3f91ee81208c686cf22985b3f
13604692,1636765905,0xf80f6fa4ccb6550c9dc58d58d51fb0928f9b323c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,40.00000000,withdrawal,normal,0xb640e27e6346ab337cb0ce1bb9c95a221f5ee361965ce010be427cfc4f4074f5
13604704,1636766121,0xf80f6fa4ccb6550c9dc58d58d51fb0928f9b323c,0xdef1c0ded9bec7f1a1670819833240f027b25eff,1.00000000,withdrawal,normal,0x1c1bab757c16fdbfa1a4bcb7a94fcf173f1aea72722265062394e6d325117b1e
13604759,1636766876,0xf80f6fa4ccb6550c9dc58d58d51fb0928f9b323c,0xdef1c0ded9bec7f1a1670819833240f027b25eff,4.00000000,withdrawal,normal,0x80293b286201289097db1e02909078a2886a827248abed1110f5b94ca1e48ced
13604767,1636766973,0xf80f6fa4ccb6550c9dc58d58d51fb0928f9b323c,0xdef1c0ded9bec7f1a1670819833240f027b25eff,1.00000000,withdrawal,normal,0xc18cd4297c7c58afb95df952b164fdd7e69e478164b41619d8899c9fca78ff2a
13604791,1636767261,0xf80f6fa4ccb6550c9dc58d58d51fb0928f9b323c,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0.75000000,withdrawal,normal,0x9dd781699d474d8c63d8ffce0f56fdabb93b4b50a51b7a5f76cb04ae375a49e9
13604826,1636767696,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0xf80f6fa4ccb6550c9dc58d58d51fb0928f9b323c,1.35424257,deposit,internal,0xf0f59b300221a2a7f58daeb2083c034bc022dbdc9a1c39896a06fc273c5b5569
13604838,1636767807,0xf80f6fa4ccb6550c9dc58d58d51fb0928f9b323c,0xdef1c0ded9bec7f1a1670819833240f027b25eff,3.00000000,withdrawal,normal,0x1aa0db9fc6412e0563978c9a4ebf60e5c21181b5e1a560f5e16db3efce96491d
