block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx,deposit_addresses,withdrawal_addresses
11548835,2.03790840,0.00000000,2.03790840,2.03790840,1,2.03790840,0xd551234ae421e3bcba99a0da6d736074f22192ff,
11549179,0.00000000,0.80000000,-0.80000000,1.23790840,2,0.80000000,,0x111111125434b319222cdbf8c261674adb56f3ae
11550286,0.00000000,0.00875000,-0.00875000,1.22915840,2,0.00875000,,0x111111125434b319222cdbf8c261674adb56f3ae
11552239,0.80621000,0.00000000,0.80621000,2.03536840,2,0.80621000,0xd551234ae421e3bcba99a0da6d736074f22192ff,
11554023,0.04728775,0.00000000,0.04728775,2.08265615,3,0.04728775,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,
11555632,1.00000399,0.00000000,1.00000399,3.08266014,4,1.00000399,0x564286362092d8e7936f0549571a803b203aaced,
11563210,2.05424245,0.00000000,2.05424245,5.13690259,5,2.05424245,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,
11563338,0.00000000,0.44000000,-0.44000000,4.69690259,5,0.44000000,,0x111111125434b319222cdbf8c261674adb56f3ae
11566327,0.00035000,0.00420000,-0.00385000,4.69305259,6,0.00420000,0xe069cb01d06ba617bcdf789bf2ff0d5e5ca20c71,0x111111125434b319222cdbf8c261674adb56f3ae
11567526,0.00000000,0.01155000,-0.01155000,4.68150259,6,0.01155000,,0x111111125434b319222cdbf8c261674adb56f3ae
11576263,0.99500000,0.00000000,0.99500000,5.67650259,6,0.99500000,0xd551234ae421e3bcba99a0da6d736074f22192ff,
11578864,18.82836945,0.00000000,18.82836945,24.50487204,6,18.82836945,0xe069cb01d06ba617bcdf789bf2ff0d5e5ca20c71,
11578868,18.82836972,0.00000000,18.82836972,43.33324175,6,18.82836972,0xe069cb01d06ba617bcdf789bf2ff0d5e5ca20c71,
11579440,0.00000000,14.67820000,-14.67820000,28.65504175,6,14.67820000,,0x111111125434b319222cdbf8c261674adb56f3ae
11587847,0.00000000,0.02942000,-0.02942000,28.62562175,7,0.02942000,,0xa9b6fe73555495d6e000c0098c2780970af6ea8a
11599408,0.00000000,0.78830000,-0.78830000,27.83732175,7,0.78830000,,0x111111125434b319222cdbf8c261674adb56f3ae
11625900,2.39500000,0.00000000,2.39500000,30.23232175,8,2.39500000,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,
11638264,0.00000000,0.07305041,-0.07305041,30.15927135,9,0.07305041,,0xc5cb4ea2984ea47f8c9948211b9d75aac1b518bb
11640633,2.00620165,0.00000000,2.00620165,32.16547300,9,2.00620165,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,
11652102,1.99500000,0.00000000,1.99500000,34.16047300,9,1.99500000,0x564286362092d8e7936f0549571a803b203aaced,
11657855,0.00000000,0.00462000,-0.00462000,34.15585300,9,0.00462000,,0x111111125434b319222cdbf8c261674adb56f3ae
