block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx,deposit_addresses,withdrawal_addresses
4215173,0.13105880,0.00000000,0.13105880,0.13105880,1,0.13105880,0xd94c9ff168dc6aebf9b6cc86deff54f3fb0afc33,
4215230,0.00000000,0.13041263,-0.13041263,0.00064617,2,0.13041263,,0x3aae4da9a22d518996031791d3bd61f45def6ac7
4717755,0.00500000,0.00000000,0.00500000,0.00564617,3,0.00500000,0xe9500755ebea975c690f90b794bc763eb60c4881,
4734245,0.00000000,0.00200000,-0.00200000,0.00364617,4,0.00200000,,0x4ae4e5b2273fa76f9cec1ca08da279f35c58e3cf
4794127,0.35665340,0.00000000,0.35665340,0.36029957,5,0.35665340,0x4c34ae54dc716808e94af3d1d638b8ea3a23fa9b,
4794244,0.00000000,0.35000000,-0.35000000,0.01029957,6,0.35000000,,0x8d5b3d7a3e8d2ee91b9cfa75eef98e69b43bbf89
4794937,0.88616773,0.00000000,0.88616773,0.89646730,7,0.88616773,0x296e781bbb0179b032cbcc31e4b6cdab724b2773,
4794969,0.00000000,0.89000000,-0.89000000,0.00646730,7,0.89000000,,0x8d5b3d7a3e8d2ee91b9cfa75eef98e69b43bbf89
4922905,0.00000000,0.00048000,-0.00048000,0.00598730,8,0.00048000,,0x8d1ac8ab5a2e343fd23f6383a05a991122e24248
4928375,0.20300000,0.00000000,0.20300000,0.20898730,9,0.20300000,0xf4c609a74b93948dcc2d79f7be1fd0f13b50215b,
4928607,0.20000000,0.00000000,0.20000000,0.40898730,9,0.20000000,0xf4c609a74b93948dcc2d79f7be1fd0f13b50215b,
4932320,0.00000000,0.38000000,-0.38000000,0.02898730,9,0.38000000,,0x8d5b3d7a3e8d2ee91b9cfa75eef98e69b43bbf89
4932913,0.00000000,0.01000000,-0.01000000,0.01898730,9,0.01000000,,0x8d5b3d7a3e8d2ee91b9cfa75eef98e69b43bbf89
4945514,0.74000000,0.00000000,0.74000000,0.75898730,10,0.74000000,0x6f4d027a2335866e4bf7979e7a3e5bf75495906e,
4945560,0.00000000,0.40000000,-0.40000000,0.35898730,11,0.40000000,,0x51f4e467b94a5d8c93012223b74583aefb1bea7a
4951949,1.48890000,0.00000000,1.48890000,1.84788730,11,1.48890000,0x6f4d027a2335866e4bf7979e7a3e5bf75495906e,
4952173,0.00000000,1.00000000,-1.00000000,0.84788730,12,1.00000000,,0x12cd1927ec6d1978dccd5a510d573df37932662d
4958710,13.49000000,0.00000000,13.49000000,14.33788730,12,13.49000000,0x6f4d027a2335866e4bf7979e7a3e5bf75495906e,
4961295,0.00000000,9.00000000,-9.00000000,5.33788730,13,9.00000000,,0xfa48da28ed9d633138d0c9a01ee216d1f6f2b42b
4962814,0.05612000,0.00000000,0.05612000,5.39400730,14,0.03760000,0xd39c072573581b8224755bc8d7cf0bfcecadf823,
4964020,0.04194446,0.00000000,0.04194446,5.43595176,15,0.04194446,0xf66852bc122fd40bfecc63cd48217e88bda12109,
4966891,0.33300000,0.00000000,0.33300000,5.76895176,16,0.33300000,0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,
4967642,0.00000000,5.75000000,-5.75000000,0.01895176,16,5.75000000,,0x8d5b3d7a3e8d2ee91b9cfa75eef98e69b43bbf89
4987608,8.00000000,0.00000000,8.00000000,8.01895176,16,8.00000000,0xf4c609a74b93948dcc2d79f7be1fd0f13b50215b,
4987804,0.00000000,4.00000000,-4.00000000,4.01895176,17,4.00000000,,0x983c57a29c83a8a7954b48f4f608d51d3222c859
4987816,0.00000000,4.00000000,-4.00000000,0.01895176,17,4.00000000,,0x8d5b3d7a3e8d2ee91b9cfa75eef98e69b43bbf89
5002903,0.13000000,0.00000000,0.13000000,0.14895176,18,0.13000000,0xa30d8157911ef23c46c0eb71889efe6a648a41f7,
5169082,0.00000000,0.00010000,-0.00010000,0.14885176,19,0.00010000,,0x3a60991e72f9b76653c9e524094465c1ebb8e398
5169094,0.00000000,0.00100000,-0.00100000,0.14785176,19,0.00100000,,0x3a60991e72f9b76653c9e524094465c1ebb8e398
5284004,0.00000000,0.00100000,-0.00100000,0.14685176,19,0.00100000,,0x3a60991e72f9b76653c9e524094465c1ebb8e398
5310067,0.00000000,0.13500000,-0.13500000,0.01185176,20,0.13500000,,0xf98a8af97372caa59ccb9b8a5499f6c1b8d44e08
5426499,14.00000000,0.00000000,14.00000000,14.01185176,21,14.00000000,0x2922965d23fa6000835a38f315afdcd670730697,
5426650,0.00000000,12.00000000,-12.00000000,2.01185176,22,12.00000000,,0xf5400945c6e045abb10562c0738602be62125196
5430173,0.00000000,2.00000000,-2.00000000,0.01185176,22,2.00000000,,0x8d5b3d7a3e8d2ee91b9cfa75eef98e69b43bbf89
5495961,0.06380000,0.00000000,0.06380000,0.07565176,22,0.06380000,0x2922965d23fa6000835a38f315afdcd670730697,
5496103,0.00000000,0.06000000,-0.06000000,0.01565176,23,0.06000000,,0xc56bcf159ec8efdcd940712e008a1dceb08fd3cb
