block,timestamp,from,to,amount_eth,direction,kind,hash
4215173,1503981604,0xd94c9ff168dc6aebf9b6cc86deff54f3fb0afc33,0xfc7c49913c5c29c329d95ae585cb4c8f8af0569e,0.13105880,deposit,normal,0xa01478b7b4137942abaa4bff1a281b15722bb5b009203459e316440e5ca19836
4215230,1503983144,0xfc7c49913c5c29c329d95ae585cb4c8f8af0569e,0x3aae4da9a22d518996031791d3bd61f45def6ac7,0.13041263,withdrawal,normal,0x6e35d69f0abdeae9e211ab8317dc855d5ee889c579a8a5e8f92e9975439d0dc8
4717755,1513051730,0xe9500755ebea975c690f90b794bc763eb60c4881,0xfc7c49913c5c29c329d95ae585cb4c8f8af0569e,0.00500000,deposit,normal,0xb5f110e8d30980a572d3f968da01b660d8fe5ea047093237ef6ab3c2f8561341
4734245,1513301455,0xfc7c49913c5c29c329d95ae585cb4c8f8af0569e,0x4ae4e5b2273fa76f9cec1ca08da279f35c58e3cf,0.00200000,withdrawal,normal,0xb377ad083d27d04bd2eb74225a5a464a06310f03bbfb030a55efc73ceff60570
4794127,1514199946,0x4c34ae54dc716808e94af3d1d638b8ea3a23fa9b,0xfc7c49913c5c29c329d95ae585cb4c8f8af0569e,0.35665340,deposit,normal,0x52ae03ea6e5e72ce43403418fae44a3fca47282390c24af4eedc9c58a7f1c409
4794244,1514201689,0xfc7c49913c5c29c329d95ae585cb4c8f8af0569e,0x8d5b3d7a3e8d2ee91b9cfa75eef98e69b43bbf89,0.35000000,withdrawal,normal,0xd082b6516f5ba01b410123ebd2014334c2ec5bfeb183afd1d732efb34a043dc5
4794937,1514211428,0x296e781bbb0179b032cbcc31e4b6cdab724b2773,0xfc7c49913c5c29c329d95ae585cb4c8f8af0569e,0.88616773,deposit,normal,0xc0bcbfd3730a9d0b4e6e670042f9f0918a8c6c0ebedee11dfb29680329f94a8a
4794969,1514211875,0xfc7c49913c5c29c329d95ae585cb4c8f8af0569e,0x8d5b3d7a3e8d2ee91b9cfa75eef98e69b43bbf89,0.89000000,withdrawal,normal,0xb31c3aa7094b819911bcebd16c7b6c089acbf1d2ef54fcbac8d29f822d9cde5d
4922905,1516181914,0xfc7c49913c5c29c329d95ae585cb4c8f8af0569e,0x8d1ac8ab5a2e343fd23f6383a05a991122e24248,0.00048000,withdrawal,normal,0x8550dbf7ecb9039bee4a5613b6e4bca3c2b11792f622dd3005d861a04a2c6c04
4928375,1516267876,0xf4c609a74b93948dcc2d79f7be1fd0f13b50215b,0xfc7c49913c5c29c329d95ae585cb4c8f8af0569e,0.20300000,deposit,normal,0x363702e9353a47bf4d54ac146807adfe1bff64ce12ca8a36f5aa968c5444ce2d
