block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
49987,1.00000000,0.00000000,1.00000000,1.00000000,1,1.00000000
49994,1.00000000,0.00000000,1.00000000,2.00000000,2,1.00000000
50107,1.00000000,1.00000000,0.00000000,2.00000000,3,1.00000000
50111,1.00000000,1.00000000,0.00000000,2.00000000,3,1.00000000
50117,1.00000000,1.00000000,0.00000000,2.00000000,3,1.00000000
50207,1.00000000,0.00000000,1.00000000,3.00000000,4,1.00000000
50233,1.00000000,0.00000000,1.00000000,4.00000000,5,1.00000000
50249,100.00000000,0.00000000,100.00000000,104.00000000,6,100.00000000
50295,1.00000000,3.00000000,-2.00000000,102.00000000,6,1.00000000
50297,1.00000000,0.00000000,1.00000000,103.00000000,7,1.00000000
50303,1.00000000,0.00000000,1.00000000,104.00000000,7,1.00000000
50305,1.00000000,0.00000000,1.00000000,105.00000000,7,1.00000000
50324,1.00000000,4.00000000,-3.00000000,102.00000000,7,1.00000000
50343,1.00000000,0.00000000,1.00000000,103.00000000,8,1.00000000
50426,1.00000000,0.00000000,1.00000000,104.00000000,9,1.00000000
50483,1.00000000,0.00000000,1.00000000,105.00000000,10,1.00000000
50526,1.00000000,0.00000000,1.00000000,106.00000000,11,1.00000000
50559,1.00000000,4.50000000,-3.50000000,102.50000000,11,1.00000000
50588,1.00000000,5.00000000,-4.00000000,98.50000000,12,1.00000000
50609,10.00000000,0.00000000,10.00000000,108.50000000,12,10.00000000
50675,1.00000000,0.00000000,1.00000000,109.50000000,12,1.00000000
50677,1.00000000,0.00000000,1.00000000,110.50000000,12,1.00000000
50688,1.00000000,0.00000000,1.00000000,111.50000000,12,1.00000000
50796,1.00000000,0.00000000,1.00000000,112.50000000,13,1.00000000
50820,1.00000000,8.70000000,-7.70000000,104.80000000,14,2.10000000
50871,1.00000000,15.00000000,-14.00000000,90.80000000,14,2.10000000
50900,1.00000000,0.00000000,1.00000000,91.80000000,14,1.00000000
50907,1.00000000,0.00000000,1.00000000,92.80000000,14,1.00000000
50916,1.00000000,0.00000000,1.00000000,93.80000000,14,1.00000000
50992,1.00000000,0.00000000,1.00000000,94.80000000,15,1.00000000
51025,100.00000000,0.00000000,100.00000000,194.80000000,16,100.00000000
51155,2.00000000,0.00000000,2.00000000,196.80000000,17,1.00000000
51168,1.00000000,106.00000000,-105.00000000,91.80000000,17,16.75000000
51169,1.00000000,0.00000000,1.00000000,92.80000000,17,1.00000000
51200,1.00000000,0.00000000,1.00000000,93.80000000,17,1.00000000
51215,1.00000000,0.00000000,1.00000000,94.80000000,18,1.00000000
51224,1.00000000,0.00000000,1.00000000,95.80000000,19,1.00000000
51225,1.00000000,0.00000000,1.00000000,96.80000000,20,1.00000000
51232,2.00000000,0.00000000,2.00000000,98.80000000,20,1.00000000
51259,1.00000000,7.84693878,-6.84693878,91.95306122,21,1.00000000
51294,1.00000000,7.84693878,-6.84693878,85.10612245,22,1.00000000
51371,3.00000000,0.00000000,3.00000000,88.10612245,22,1.00000000
51378,1.00000000,6.00000000,-5.00000000,83.10612245,22,1.00000000
51383,3.00000000,10.84693878,-7.84693878,75.25918367,23,1.00000000
51384,1.00000000,1.50000000,-0.50000000,74.75918367,23,1.00000000
51390,1.00000000,7.84693878,-6.84693878,67.91224490,23,1.00000000
51391,1.00000000,7.84693878,-6.84693878,61.06530612,23,1.00000000
51392,1.00000000,7.84693878,-6.84693878,54.21836735,23,1.00000000
51402,1.00000000,7.84693878,-6.84693878,47.37142857,23,1.00000000
51406,1.00000000,7.84693878,-6.84693878,40.52448980,24,1.00000000
51407,1.00000000,6.00000000,-5.00000000,35.52448980,25,1.00000000
51409,1.00000000,8.00000000,-7.00000000,28.52448980,25,1.00000000
51416,1.00000000,0.00000000,1.00000000,29.52448980,25,1.00000000
51418,1.00000000,0.00000000,1.00000000,30.52448980,25,1.00000000
51420,1.00000000,0.00000000,1.00000000,31.52448980,25,1.00000000
51449,1.00000000,0.00000000,1.00000000,32.52448980,26,1.00000000
51466,3.00000000,0.00000000,3.00000000,35.52448980,26,1.00000000
51518,1.00000000,0.00000000,1.00000000,36.52448980,27,1.00000000
51522,1.00000000,8.62500000,-7.62500000,28.89948980,27,1.00000000
51523,1.00000000,8.62500000,-7.62500000,21.27448980,27,1.00000000
51531,1.00000000,8.62500000,-7.62500000,13.64948980,28,1.00000000
51532,1.00000000,8.62500000,-7.62500000,6.02448980,28,1.00000000
51533,1.00000000,8.62500000,-7.62500000,-1.60051020,28,1.00000000
51534,1.00000000,8.62500000,-7.62500000,-9.22551020,28,1.00000000
51535,1.00000000,8.62500000,-7.62500000,-16.85051020,28,1.00000000
51536,1.00000000,8.62500000,-7.62500000,-24.47551020,29,1.00000000
51537,1.00000000,8.62500000,-7.62500000,-32.10051020,29,1.00000000
51550,1.00000000,8.62500000,-7.62500000,-39.72551020,30,1.00000000
51552,1.00000000,8.62500000,-7.62500000,-47.35051020,30,1.00000000
51589,1.00000000,8.62500000,-7.62500000,-54.97551020,30,1.00000000
51607,1.00000000,8.62500000,-7.62500000,-62.60051020,30,1.00000000
51609,1.00000000,8.62500000,-7.62500000,-70.22551020,30,1.00000000
51621,1.00000000,7.78125000,-6.78125000,-77.00676020,31,1.00000000
51624,1.00000000,0.00000000,1.00000000,-76.00676020,31,1.00000000
51625,1.00000000,0.00000000,1.00000000,-75.00676020,31,1.00000000
51626,1.00000000,0.00000000,1.00000000,-74.00676020,31,1.00000000
51627,1.00000000,0.00000000,1.00000000,-73.00676020,31,1.00000000
51628,1.00000000,0.00000000,1.00000000,-72.00676020,31,1.00000000
51629,1.00000000,0.00000000,1.00000000,-71.00676020,31,1.00000000
51630,1.00000000,0.00000000,1.00000000,-70.00676020,31,1.00000000
51631,1.00000000,0.00000000,1.00000000,-69.00676020,31,1.00000000
51644,1.00000000,0.00000000,1.00000000,-68.00676020,31,1.00000000
51646,1.00000000,0.00000000,1.00000000,-67.00676020,31,1.00000000
51647,1.00000000,0.00000000,1.00000000,-66.00676020,31,1.00000000
51649,1.00000000,0.00000000,1.00000000,-65.00676020,31,1.00000000
51650,1.00000000,0.00000000,1.00000000,-64.00676020,31,1.00000000
51664,1.00000000,0.00000000,1.00000000,-63.00676020,31,1.00000000
51667,1.00000000,0.00000000,1.00000000,-62.00676020,31,1.00000000
51668,1.00000000,0.00000000,1.00000000,-61.00676020,31,1.00000000
51669,1.00000000,0.00000000,1.00000000,-60.00676020,31,1.00000000
51684,1.00000000,0.00000000,1.00000000,-59.00676020,32,1.00000000
51690,1.00000000,0.00000000,1.00000000,-58.00676020,32,1.00000000
51706,1.00000000,0.00000000,1.00000000,-57.00676020,32,1.00000000
51721,1.00000000,0.00000000,1.00000000,-56.00676020,33,1.00000000
51850,1.00000000,0.00000000,1.00000000,-55.00676020,33,1.00000000
51857,1.00000000,0.00000000,1.00000000,-54.00676020,33,1.00000000
51940,1.00000000,0.00000000,1.00000000,-53.00676020,34,1.00000000
52100,1.00000000,0.00000000,1.00000000,-52.00676020,35,1.00000000
52216,1.00000000,0.00000000,1.00000000,-51.00676020,36,1.00000000
52231,1.00000000,0.00000000,1.00000000,-50.00676020,36,1.00000000
52232,2.00000000,0.00000000,2.00000000,-48.00676020,36,1.00000000
52233,2.00000000,0.00000000,2.00000000,-46.00676020,36,1.00000000
52234,2.00000000,0.00000000,2.00000000,-44.00676020,36,1.00000000
52235,2.00000000,0.00000000,2.00000000,-42.00676020,36,1.00000000
52435,1.00000000,0.00000000,1.00000000,-41.00676020,37,1.00000000
52500,1.00000000,0.00000000,1.00000000,-40.00676020,38,1.00000000
52621,1.00000000,0.00000000,1.00000000,-39.00676020,39,1.00000000
52625,1.00000000,0.00000000,1.00000000,-38.00676020,39,1.00000000
52628,1.00000000,0.00000000,1.00000000,-37.00676020,39,1.00000000
52822,1.00000000,0.00000000,1.00000000,-36.00676020,40,1.00000000
52896,1.00000000,0.00000000,1.00000000,-35.00676020,41,1.00000000
53388,1.00000000,0.00000000,1.00000000,-34.00676020,42,1.00000000
53434,1.00000000,0.00000000,1.00000000,-33.00676020,43,1.00000000
53450,1.00000000,0.00000000,1.00000000,-32.00676020,44,1.00000000
53490,1.00000000,0.00000000,1.00000000,-31.00676020,44,1.00000000
53649,1.00000000,0.00000000,1.00000000,-30.00676020,45,1.00000000
53789,1.00000000,0.00000000,1.00000000,-29.00676020,46,1.00000000
53843,100.00000000,0.00000000,100.00000000,70.99323980,47,100.00000000
53988,1.00000000,0.00000000,1.00000000,71.99323980,48,1.00000000
54027,1.00000000,0.00000000,1.00000000,72.99323980,49,1.00000000
54067,1.00000000,0.00000000,1.00000000,73.99323980,50,1.00000000
