block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
3942170,0.01000000,0.00000000,0.01000000,0.01000000,1,0.01000000
3943066,0.06764840,0.00000000,0.06764840,0.07764840,2,0.06764840
3943104,299.97900000,0.00000000,299.97900000,300.05664840,3,299.97900000
3943182,0.34900000,0.00000000,0.34900000,300.40564840,4,0.34900000
3943225,2.17200000,0.00000000,2.17200000,302.57764840,5,2.17200000
3943238,9.80000000,0.00000000,9.80000000,312.37764840,6,9.80000000
3943248,1.42584542,0.00000000,1.42584542,313.80349382,8,1.30000000
3943278,2.07216540,0.00000000,2.07216540,315.87565922,9,2.00500000
3943300,0.06724140,0.00000000,0.06724140,315.94290062,9,0.06724140
3943309,1.20000000,0.00000000,1.20000000,317.14290062,9,1.20000000
3943479,5.00000000,0.00000000,5.00000000,322.14290062,10,5.00000000
3943522,16.82100000,0.00000000,16.82100000,338.96390062,14,8.12100000
3943525,2.40000000,0.00000000,2.40000000,341.36390062,15,2.40000000
3943526,3.00000000,0.00000000,3.00000000,344.36390062,16,3.00000000
3943528,4.24500000,0.00000000,4.24500000,348.60890062,21,1.00000000
3943529,41.20259432,0.00000000,41.20259432,389.81149494,27,30.00000000
3943531,21.17400037,0.00000000,21.17400037,410.98549531,35,11.00000000
3943534,17.40221086,0.00000000,17.40221086,428.38770617,44,3.40000000
3943535,46.10111974,0.00000000,46.10111974,474.48882591,52,30.00000000
3943536,60.47899000,0.00000000,60.47899000,534.96781591,68,18.00000000
3943537,1.85282990,0.00000000,1.85282990,536.82064581,69,1.85282990
3943538,3.74311800,0.00000000,3.74311800,540.56376381,73,1.00000000
3943539,17.67200000,0.00000000,17.67200000,558.23576381,84,5.00000000
3943541,30.00000000,0.00000000,30.00000000,588.23576381,84,30.00000000
3943542,22.52076900,0.00000000,22.52076900,610.75653281,97,6.67900000
3943544,2.31713507,0.00000000,2.31713507,613.07366788,98,1.30000000
3943546,17.79370086,0.00000000,17.79370086,630.86736875,103,5.00000000
3943547,20.66900037,0.00000000,20.66900037,651.53636912,105,20.00000000
3943548,61.40000000,0.00000000,61.40000000,712.93636912,109,50.00000000
3943549,15.57635000,0.00000000,15.57635000,728.51271912,112,10.00000000
3943550,47.17580000,0.00000000,47.17580000,775.68851912,115,41.00000000
3943551,1.79000000,0.00000000,1.79000000,777.47851912,116,0.99000000
3943552,45.00000000,0.00000000,45.00000000,822.47851912,117,34.00000000
3943553,3.61400037,0.00000000,3.61400037,826.09251950,118,3.00000000
3943554,51.50437934,0.00000000,51.50437934,877.59689883,124,30.00000000
3943555,246.79563987,0.00000000,246.79563987,1124.39253870,141,150.00000000
3943556,139.56209721,0.00000000,139.56209721,1263.95463592,152,100.00000000
3943557,138.63750661,0.00000000,138.63750661,1402.59214253,172,50.00000000
3943558,247.74922377,0.00000000,247.74922377,1650.34136630,196,47.50000000
3943559,12.00100000,0.00000000,12.00100000,1662.34236630,198,8.00000000
3943560,42.87622001,0.00000000,42.87622001,1705.21858631,214,15.00000000
3943561,85.74311038,0.00000000,85.74311038,1790.96169669,221,30.00000000
3943562,2.87298228,0.00000000,2.87298228,1793.83467897,223,1.50000000
3943563,32.96525040,0.00000000,32.96525040,1826.79992937,232,5.00000000
3943564,2.50000000,0.00000000,2.50000000,1829.29992937,233,1.50000000
3943565,84.71235927,0.00000000,84.71235927,1914.01228864,239,41.00000000
3943566,20.65575235,0.00000000,20.65575235,1934.66804100,242,5.60000000
3943567,33.03560301,0.00000000,33.03560301,1967.70364401,244,30.00000000
3943568,89.71116758,0.00000000,89.71116758,2057.41481159,248,30.00000000
3943569,3.82000000,0.00000000,3.82000000,2061.23481159,248,1.83000000
3943570,32.85600000,0.00000000,32.85600000,2094.09081159,256,9.00000000
3943572,304.77300000,0.00000000,304.77300000,2398.86381159,259,300.00000000
3943573,21.17582000,0.00000000,21.17582000,2420.03963159,260,11.00000000
3943574,5.25165338,0.00000000,5.25165338,2425.29128497,262,2.18900000
3943575,68.46495299,0.00000000,68.46495299,2493.75623796,266,30.00000000
3943576,83.93566247,0.00000000,83.93566247,2577.69190043,278,33.00000000
3943577,9.54851800,0.00000000,9.54851800,2587.24041843,280,2.00000000
3943578,25.80000000,0.00000000,25.80000000,2613.04041843,282,17.00000000
3943579,12.37588227,0.00000000,12.37588227,2625.41630070,283,5.00000000
3943580,0.77000000,0.00000000,0.77000000,2626.18630070,285,0.60000000
3943581,5.88595000,0.00000000,5.88595000,2632.07225070,285,5.00000000
3943582,20.76995000,0.00000000,20.76995000,2652.84220070,287,13.00000000
3943583,2.60000000,0.00000000,2.60000000,2655.44220070,289,2.00000000
3943585,5.79679084,0.00000000,5.79679084,2661.23899154,292,2.10000000
3943586,67.70460880,0.00000000,67.70460880,2728.94360034,304,30.00000000
3943589,40.82532147,0.00000000,40.82532147,2769.76892181,322,8.00000000
3943590,431.50530741,0.00000000,431.50530741,3201.27422922,329,300.00000000
3943592,4.26000000,0.00000000,4.26000000,3205.53422922,330,1.20000000
3943593,0.10000000,0.00000000,0.10000000,3205.63422922,331,0.10000000
3943594,9.18400000,0.00000000,9.18400000,3214.81822922,333,3.00000000
3943595,48.37285533,0.00000000,48.37285533,3263.19108455,345,8.00000000
3943596,29.28100000,0.00000000,29.28100000,3292.47208455,345,20.00000000
3943599,2.86000000,0.00000000,2.86000000,3295.33208455,345,1.01000000
3943600,28.24245272,0.00000000,28.24245272,3323.57453727,349,4.99290000
3943601,118.23549708,0.00000000,118.23549708,3441.81003435,357,48.00000000
3943602,23.60545751,0.00000000,23.60545751,3465.41549187,359,16.99489100
3943603,23.07730009,0.00000000,23.07730009,3488.49279196,364,10.00000000
3943604,0.00800000,0.00000000,0.00800000,3488.50079196,365,0.00800000
3943605,3.40000000,0.00000000,3.40000000,3491.90079196,365,2.40000000
3943607,0.06000000,0.00000000,0.06000000,3491.96079196,365,0.06000000
3943608,34.87056651,0.00000000,34.87056651,3526.83135847,368,29.50000000
3943610,17.24711034,0.00000000,17.24711034,3544.07846881,371,12.00000000
3943612,3.03823066,0.00000000,3.03823066,3547.11669948,373,1.59400000
3943613,5.57414177,0.00000000,5.57414177,3552.69084124,377,2.44023489
3943614,19.26512800,0.00000000,19.26512800,3571.95596924,380,9.25000000
3943615,16.43600000,0.00000000,16.43600000,3588.39196924,382,2.60000000
3943617,0.87083249,0.00000000,0.87083249,3589.26280174,383,0.50000000
3943618,17.42695590,0.00000000,17.42695590,3606.68975764,394,4.00000000
3943619,1.42900000,0.00000000,1.42900000,3608.11875764,395,1.00000000
3943620,280.50104234,0.00000000,280.50104234,3888.61979997,396,273.00000000
3943622,69.40500000,0.00000000,69.40500000,3958.02479997,400,29.50000000
3943624,16.81275316,0.00000000,16.81275316,3974.83755313,402,10.00000000
3943625,0.05000000,0.00000000,0.05000000,3974.88755313,402,0.05000000
3943626,4.76654556,0.00000000,4.76654556,3979.65409870,404,1.60000000
3943628,9.18827243,0.00000000,9.18827243,3988.84237113,406,3.00000000
3943631,4.81200000,0.00000000,4.81200000,3993.65437113,409,2.00000000
3943634,13.79300000,0.00000000,13.79300000,4007.44737113,412,8.00000000
3943636,1.79000000,0.00000000,1.79000000,4009.23737113,413,1.00000000
3943640,4.47100000,0.00000000,4.47100000,4013.70837113,414,4.47100000
3943641,27.28490422,0.00000000,27.28490422,4040.99327535,415,10.00000000
3943642,1.06800000,0.00000000,1.06800000,4042.06127535,415,1.01800000
3943643,21.71808255,0.00000000,21.71808255,4063.77935790,418,8.69600000
3943646,3.00000000,0.00000000,3.00000000,4066.77935790,418,3.00000000
3943647,9.37404843,0.00000000,9.37404843,4076.15340633,421,4.99900000
3943649,17.56653143,0.00000000,17.56653143,4093.71993777,425,6.40000000
3943651,1.00000000,0.00000000,1.00000000,4094.71993777,425,1.00000000
3943652,11.65315755,0.00000000,11.65315755,4106.37309532,427,9.00000000
3943653,1.00000000,0.00000000,1.00000000,4107.37309532,427,1.00000000
3943656,10.00000000,0.00000000,10.00000000,4117.37309532,428,10.00000000
3943660,39.58811000,0.00000000,39.58811000,4156.96120532,433,32.00000000
3943661,4.40000000,0.00000000,4.40000000,4161.36120532,435,2.20000000
3943662,52.38567909,0.00000000,52.38567909,4213.74688441,437,36.10000000
3943663,0.16774225,0.00000000,0.16774225,4213.91462666,437,0.16774225
3943667,1.98745900,0.00000000,1.98745900,4215.90208566,440,0.99955900
3943669,26.02000000,0.00000000,26.02000000,4241.92208566,445,20.00000000
3943670,7.15428542,0.00000000,7.15428542,4249.07637108,447,4.98848542
3943671,2.02000000,0.00000000,2.02000000,4251.09637108,448,2.00000000
3943672,3.03890082,0.00000000,3.03890082,4254.13527191,449,2.95000000
3943673,3.00000000,0.00000000,3.00000000,4257.13527191,449,3.00000000
3943675,2.82745900,0.00000000,2.82745900,4259.96273091,450,0.95000000
3943677,12.99123506,0.00000000,12.99123506,4272.95396597,451,10.00000000
3943680,16.08217408,0.00000000,16.08217408,4289.03614005,454,10.00000000
3943686,3.00000000,0.00000000,3.00000000,4292.03614005,455,3.00000000
3943687,8.74071854,0.00000000,8.74071854,4300.77685859,458,8.00000000
3943693,0.54325900,0.00000000,0.54325900,4301.32011759,459,0.49325900
3943695,112.73641583,0.00000000,112.73641583,4414.05653342,461,99.09000000
3943698,2.34500000,0.00000000,2.34500000,4416.40153342,462,2.34500000
3943699,97.00000000,0.00000000,97.00000000,4513.40153342,462,97.00000000
3943701,1.02000000,0.00000000,1.02000000,4514.42153342,463,1.02000000
3943704,1.00000000,0.00000000,1.00000000,4515.42153342,463,1.00000000
3943705,3.00000000,0.00000000,3.00000000,4518.42153342,464,3.00000000
3943708,0.05000000,0.00000000,0.05000000,4518.47153342,465,0.05000000
3943709,0.01273200,0.00000000,0.01273200,4518.48426542,465,0.01273200
3943712,122.51000000,0.00000000,122.51000000,4640.99426542,468,99.80000000
3943718,3.00000000,0.00000000,3.00000000,4643.99426542,469,3.00000000
3943719,8.04280000,0.00000000,8.04280000,4652.03706542,474,5.00000000
3943721,2.98400000,0.00000000,2.98400000,4655.02106542,475,2.00000000
3943722,1.20000000,0.00000000,1.20000000,4656.22106542,476,1.20000000
3943730,1.10000000,0.00000000,1.10000000,4657.32106542,476,1.10000000
3943732,0.15000000,0.00000000,0.15000000,4657.47106542,476,0.10000000
3943733,0.10000000,0.00000000,0.10000000,4657.57106542,476,0.10000000
3943735,4.25955900,0.00000000,4.25955900,4661.83062442,479,1.10000000
3943742,0.50000000,0.00000000,0.50000000,4662.33062442,480,0.50000000
3943747,30.00000000,0.00000000,30.00000000,4692.33062442,480,30.00000000
3943748,0.25000000,0.00000000,0.25000000,4692.58062442,481,0.25000000
3943749,6.40000000,0.00000000,6.40000000,4698.98062442,483,5.00000000
3943751,1.00000000,0.00000000,1.00000000,4699.98062442,483,1.00000000
3943752,36.20538655,0.00000000,36.20538655,4736.18601096,488,22.00000000
3943755,0.23000000,0.00000000,0.23000000,4736.41601096,488,0.23000000
3943766,0.30000000,0.00000000,0.30000000,4736.71601096,488,0.30000000
3943768,1.00000000,0.00000000,1.00000000,4737.71601096,488,1.00000000
3943775,2.00000000,0.00000000,2.00000000,4739.71601096,489,1.00000000
3943777,4.00000000,0.00000000,4.00000000,4743.71601096,489,4.00000000
3943785,0.50000000,0.00000000,0.50000000,4744.21601096,489,0.50000000
3943787,0.30000000,0.00000000,0.30000000,4744.51601096,489,0.30000000
3943790,4.56400000,0.00000000,4.56400000,4749.08001096,490,4.55000000
3943794,0.04000000,0.00000000,0.04000000,4749.12001096,490,0.04000000
3943796,0.10000000,0.00000000,0.10000000,4749.22001096,491,0.10000000
3943799,0.02300000,0.00000000,0.02300000,4749.24301096,491,0.02300000
3943804,10.00000000,0.00000000,10.00000000,4759.24301096,492,10.00000000
3943810,0.10000000,0.00000000,0.10000000,4759.34301096,493,0.10000000
3943811,53.42800000,0.00000000,53.42800000,4812.77101096,495,52.16000000
3943812,72.03000000,0.00000000,72.03000000,4884.80101096,496,72.00000000
3943822,1.00400000,0.00000000,1.00400000,4885.80501096,497,1.00400000
3943829,4.98870000,0.00000000,4.98870000,4890.79371096,497,4.98870000
3943830,0.40000000,0.00000000,0.40000000,4891.19371096,498,0.40000000
3943833,1.00000000,0.00000000,1.00000000,4892.19371096,498,1.00000000
3943834,0.09000000,0.00000000,0.09000000,4892.28371096,498,0.09000000
3943835,3.28000000,0.00000000,3.28000000,4895.56371096,500,2.28000000
3943837,1.00000000,0.00000000,1.00000000,4896.56371096,501,1.00000000
3943838,0.01000000,0.00000000,0.01000000,4896.57371096,501,0.01000000
3943842,10.00000000,0.00000000,10.00000000,4906.57371096,502,10.00000000
3943843,1.41000000,0.00000000,1.41000000,4907.98371096,503,0.90000000
3943847,0.20000000,0.00000000,0.20000000,4908.18371096,504,0.20000000
3943848,4.99340000,0.00000000,4.99340000,4913.17711096,504,4.99340000
3943851,1.06000000,0.00000000,1.06000000,4914.23711096,504,0.55000000
3943853,0.12200000,0.00000000,0.12200000,4914.35911096,505,0.12200000
3943860,0.02160845,0.00000000,0.02160845,4914.38071941,506,0.02160845
3983496,0.00000000,5160.89022683,-5160.89022683,-246.50950742,507,5160.89022683
4003247,0.00000000,587.00102997,-587.00102997,-833.51053739,507,587.00102997
4008119,0.00000000,1088.64489901,-1088.64489901,-1922.15543640,507,1088.64489901
4021299,0.00000000,527.25502521,-527.25502521,-2449.41046162,507,527.25502521
4047367,0.00000000,301.05723123,-301.05723123,-2750.46769285,507,301.05723123
4066832,0.00000000,295.11615941,-295.11615941,-3045.58385226,507,295.11615941
4085236,0.00000000,259.94078397,-259.94078397,-3305.52463623,507,259.94078397
4104838,0.00000000,512.48638525,-512.48638525,-3818.01102148,507,512.48638525
