block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1218584,7.50000000,7.42500000,0.07500000,0.07500000,1,7.50000000
1218627,25.00000000,0.00000000,25.00000000,25.07500000,2,25.00000000
1218669,1.00000000,24.75000000,-23.75000000,1.32500000,2,24.75000000
1218672,1.00000000,0.99000000,0.01000000,1.33500000,2,1.00000000
1218694,100.00000000,0.99000000,99.01000000,100.34500000,2,100.00000000
1218697,100.00000000,99.00000000,1.00000000,101.34500000,2,100.00000000
1218699,100.00000000,99.00000000,1.00000000,102.34500000,2,100.00000000
1218702,25.00000000,0.00000000,25.00000000,127.34500000,2,25.00000000
1218815,30.00000000,99.00000000,-69.00000000,58.34500000,2,99.00000000
1218817,3.25000000,0.00000000,3.25000000,61.59500000,2,3.25000000
1218820,7.31000000,24.75000000,-17.44000000,44.15500000,2,24.75000000
1218850,79.00000000,29.70000000,49.30000000,93.45500000,3,79.00000000
1218853,11.00000000,3.21750000,7.78250000,101.23750000,4,11.00000000
1218857,73.00000000,7.23690000,65.76310000,167.00060000,4,73.00000000
1218863,1.00000000,78.21000000,-77.21000000,89.79060000,4,78.21000000
1220003,15.00000000,10.89000000,4.11000000,93.90060000,4,15.00000000
1220014,17.50000000,0.00000000,17.50000000,111.40060000,4,17.50000000
1220069,13.00000000,0.00000000,13.00000000,124.40060000,4,13.00000000
1220072,40.00000000,72.27000000,-32.27000000,92.13060000,4,72.27000000
1220826,0.00000000,71.70600000,-71.70600000,20.42460000,4,71.70600000
1221084,1.00000000,0.99000000,0.01000000,20.43460000,4,1.00000000
1221104,1.00000000,14.85000000,-13.85000000,6.58460000,4,14.85000000
1221111,1.00000000,0.00000000,1.00000000,7.58460000,4,1.00000000
1221116,1.00000000,0.00000000,1.00000000,8.58460000,4,1.00000000
1221124,1.00000000,17.32500000,-16.32500000,-7.74040000,4,17.32500000
1221131,0.00000000,0.50000000,-0.50000000,-8.24040000,4,0.50000000
