block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
3966704,424.59000000,0.00000000,424.59000000,424.59000000,7,100.00000000
3966705,7.53000000,0.00000000,7.53000000,432.12000000,11,2.33000000
3966706,18.48765900,0.00000000,18.48765900,450.60765900,15,15.00000000
3966707,20.20136899,0.00000000,20.20136899,470.80902799,23,7.29284817
3966708,37.49450578,0.00000000,37.49450578,508.30353377,31,11.00000000
3966709,6.75141072,0.00000000,6.75141072,515.05494449,34,4.00000000
3966711,1.03100000,0.00000000,1.03100000,516.08594449,36,1.01100000
3966713,4.69901221,0.00000000,4.69901221,520.78495670,38,2.34722593
3966715,136.12000000,0.00000000,136.12000000,656.90495670,43,100.00000000
3966718,51.00000000,0.00000000,51.00000000,707.90495670,43,50.00000000
3966719,2.00000000,0.00000000,2.00000000,709.90495670,43,2.00000000
3966720,2.30000000,0.00000000,2.30000000,712.20495670,43,2.30000000
3966721,11.10782742,0.00000000,11.10782742,723.31278412,46,2.33000000
3966722,2.16100000,0.00000000,2.16100000,725.47378412,47,2.00000000
3966724,4.00000000,0.00000000,4.00000000,729.47378412,47,4.00000000
3966727,32.48240717,0.00000000,32.48240717,761.95619129,47,25.00000000
3966730,4.90000000,0.00000000,4.90000000,766.85619129,47,4.00000000
3966733,0.39593320,0.00000000,0.39593320,767.25212449,49,0.21228319
3966734,7.23590293,0.00000000,7.23590293,774.48802742,50,2.33590293
3966735,4.05000000,0.00000000,4.05000000,778.53802742,51,4.00000000
3966745,0.50000000,0.00000000,0.50000000,779.03802742,51,0.50000000
3966747,4.00000000,0.00000000,4.00000000,783.03802742,51,4.00000000
3966753,1.42986897,0.00000000,1.42986897,784.46789639,51,1.40000000
3966754,24.00000000,0.00000000,24.00000000,808.46789639,51,24.00000000
3966756,1.50000000,0.00000000,1.50000000,809.96789639,52,1.50000000
3966759,3.90000000,0.00000000,3.90000000,813.86789639,52,3.90000000
3966763,0.01000000,0.00000000,0.01000000,813.87789639,53,0.01000000
3966764,0.01000000,0.00000000,0.01000000,813.88789639,53,0.01000000
3966767,0.01000000,0.00000000,0.01000000,813.89789639,53,0.01000000
3966775,0.99000000,0.00000000,0.99000000,814.88789639,54,0.99000000
3966777,0.01000000,0.00000000,0.01000000,814.89789639,54,0.01000000
3966779,0.66000000,0.00000000,0.66000000,815.55789639,55,0.66000000
3966780,0.20000000,0.00000000,0.20000000,815.75789639,56,0.20000000
3966781,10.00000000,0.00000000,10.00000000,825.75789639,57,10.00000000
3966788,0.53400000,0.00000000,0.53400000,826.29189639,59,0.34400000
3966792,0.01500000,0.00000000,0.01500000,826.30689639,59,0.01500000
3966794,0.60000000,0.00000000,0.60000000,826.90689639,59,0.60000000
3966796,1.05524572,0.00000000,1.05524572,827.96214211,62,1.00000000
3966799,30.65826844,0.00000000,30.65826844,858.62041056,64,30.00000000
3966805,20.01000000,0.00000000,20.01000000,878.63041056,65,20.00000000
3966809,30.00000000,0.00000000,30.00000000,908.63041056,65,30.00000000
3966811,0.00682744,0.00000000,0.00682744,908.63723800,65,0.00682744
3966812,2.18840078,0.00000000,2.18840078,910.82563878,65,1.68840078
3966814,10.00000000,0.00000000,10.00000000,920.82563878,65,10.00000000
3966817,5.00000000,0.00000000,5.00000000,925.82563878,65,5.00000000
3966819,5.00000000,0.00000000,5.00000000,930.82563878,65,5.00000000
3966837,0.31818594,0.00000000,0.31818594,931.14382472,65,0.31818594
3966844,1.38434500,751.87969925,-750.49535425,180.64847047,67,751.87969925
3966911,0.32299165,0.00000000,0.32299165,180.97146212,68,0.32299165
3966922,0.31299165,0.00000000,0.31299165,181.28445377,68,0.31299165
3967130,0.24500000,0.00000000,0.24500000,181.52945377,69,0.24500000
3967914,0.10000000,0.00000000,0.10000000,181.62945377,70,0.10000000
3968050,0.08700000,0.00000000,0.08700000,181.71645377,71,0.08700000
3968449,0.20000000,0.00000000,0.20000000,181.91645377,72,0.20000000
3968892,0.01000000,0.00000000,0.01000000,181.92645377,73,0.01000000
3969338,0.50000000,0.00000000,0.50000000,182.42645377,74,0.50000000
3969932,0.20000000,0.00000000,0.20000000,182.62645377,75,0.20000000
3969945,0.20000000,0.00000000,0.20000000,182.82645377,75,0.20000000
3969951,0.20000000,0.00000000,0.20000000,183.02645377,75,0.20000000
3969956,0.20000000,0.00000000,0.20000000,183.22645377,75,0.20000000
3970983,0.20000000,0.00000000,0.20000000,183.42645377,76,0.20000000
3978487,0.61377093,0.00000000,0.61377093,184.04022470,77,0.61377093
3979435,0.20000000,0.00000000,0.20000000,184.24022470,78,0.20000000
3979557,0.20000000,0.00000000,0.20000000,184.44022470,78,0.20000000
3988548,0.05000000,0.00000000,0.05000000,184.49022470,79,0.05000000
