block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1303521,5.00000000,0.00000000,5.00000000,5.00000000,1,5.00000000
1303526,5.05000000,0.15150000,4.89850000,9.89850000,2,5.05000000
1303536,5.30000000,10.15900000,-4.85900000,5.03950000,2,10.00000000
1303543,5.10000000,0.15300000,4.94700000,9.98650000,2,5.10000000
1303553,10.20000000,10.40600000,-0.20600000,9.78050000,2,10.20000000
1303561,10.60000000,10.91800000,-0.31800000,9.46250000,3,10.60000000
1303572,10.95000000,10.52850000,0.42150000,9.88400000,3,10.95000000
1303587,11.65600000,20.74968000,-9.09368000,0.79032000,3,20.40000000
1303600,21.03000000,0.63090000,20.39910000,21.18942000,3,21.03000000
1303607,5.00000000,21.35000000,-16.35000000,4.83942000,3,21.20000000
1303618,17.61000000,22.42830000,-4.81830000,0.02112000,3,21.90000000
1307635,8.00000000,3.15000000,4.85000000,4.87112000,5,5.00000000
1307674,5.29300000,0.15879000,5.13421000,10.00533000,5,5.29300000
1307722,0.01000000,0.01000000,0.00000000,10.00533000,5,0.01000000
1307735,5.04000000,0.15120000,4.88880000,14.89413000,5,5.04000000
1307751,8.70000000,23.57300000,-14.87300000,0.02113000,5,23.31200000
