block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
4224251,0.01500000,0.00000000,0.01500000,0.01500000,1,0.01500000
4224259,0.01000000,0.00900000,0.00100000,0.01600000,2,0.01000000
4224263,0.01000000,0.00000000,0.01000000,0.02600000,2,0.01000000
4224322,0.01000000,0.02516636,-0.01516636,0.01083364,3,0.01616636
4225697,0.01000000,0.00000000,0.01000000,0.02083364,3,0.01000000
4225710,0.05000000,0.00000000,0.05000000,0.07083364,3,0.05000000
4225733,0.01000000,0.02516636,-0.01516636,0.05566729,3,0.01616636
4234915,0.01000000,0.00000000,0.01000000,0.06566729,4,0.01000000
4234925,0.01000000,0.02516636,-0.01516636,0.05050093,4,0.01616636
4234938,0.01000000,0.00900000,0.00100000,0.05150093,4,0.01000000
4235006,0.01000000,0.00900000,0.00100000,0.05250093,5,0.01000000
4235015,0.01000000,0.00900000,0.00100000,0.05350093,6,0.01000000
4235162,0.01000000,0.00900000,0.00100000,0.05450093,7,0.01000000
4235478,0.01000000,0.00900000,0.00100000,0.05550093,8,0.01000000
4236198,0.01000000,0.00900000,0.00100000,0.05650093,9,0.01000000
4237073,0.01000000,0.00900000,0.00100000,0.05750093,10,0.01000000
4242257,0.01000000,0.02516636,-0.01516636,0.04233457,11,0.01616636
4242897,0.01000000,0.00000000,0.01000000,0.05233457,11,0.01000000
4242991,0.01000000,0.00900000,0.00100000,0.05333457,11,0.01000000
4243706,0.01000000,0.00900000,0.00100000,0.05433457,11,0.01000000
4245274,0.01000000,0.00900000,0.00100000,0.05533457,11,0.01000000
4248825,0.00000000,0.00533457,-0.00533457,0.05000000,11,0.00533457
