block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
4159206,0.01000000,0.00000000,0.01000000,0.01000000,1,0.01000000
4160917,0.01000000,0.00000000,0.01000000,0.02000000,2,0.01000000
4160922,0.01000000,0.00000000,0.01000000,0.03000000,3,0.01000000
4161160,0.01000000,0.00000000,0.01000000,0.04000000,4,0.01000000
4161468,0.01000000,0.00000000,0.01000000,0.05000000,5,0.01000000
4161477,2.40000000,0.00000000,2.40000000,2.45000000,6,2.40000000
4168110,2.30000000,2.30000000,0.00000000,2.45000000,8,2.30000000
4169301,0.00000000,0.00000000,0.00000000,2.45000000,9,0.00000000
4169679,10.00000000,10.00000000,0.00000000,2.45000000,10,10.00000000
4170272,19.90000000,19.90000000,0.00000000,2.45000000,11,19.90000000
4170861,3.05000000,3.05000000,0.00000000,2.45000000,12,3.05000000
4174193,2.00000000,2.00000000,0.00000000,2.45000000,13,2.00000000
