block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1792916,108.00000000,2.16000000,105.84000000,105.84000000,1,108.00000000
1792952,0.01000000,0.00000000,0.01000000,105.85000000,2,0.01000000
1792955,0.00000000,0.02000000,-0.02000000,105.83000000,2,0.02000000
1792976,0.01000000,0.00000000,0.01000000,105.84000000,3,0.01000000
1792993,0.00000000,0.02000000,-0.02000000,105.82000000,3,0.02000000
1792998,0.13000000,0.00000000,0.13000000,105.95000000,3,0.13000000
1793016,0.00000000,0.26000000,-0.26000000,105.69000000,3,0.26000000
1793017,0.01000000,0.00000000,0.01000000,105.70000000,4,0.01000000
1793034,0.11000000,0.00000000,0.11000000,105.81000000,4,0.11000000
1793041,0.00000000,0.33000000,-0.33000000,105.48000000,4,0.33000000
1793045,0.10000000,0.00000000,0.10000000,105.58000000,5,0.10000000
1793050,0.00000000,0.20000000,-0.20000000,105.38000000,5,0.20000000
1793064,0.03000000,0.00000000,0.03000000,105.41000000,5,0.03000000
1793074,0.00000000,0.06000000,-0.06000000,105.35000000,5,0.06000000
1793077,0.11000000,0.00000000,0.11000000,105.46000000,5,0.11000000
1793088,0.00000000,0.33000000,-0.33000000,105.13000000,5,0.33000000
1793102,0.15000000,0.00000000,0.15000000,105.28000000,5,0.15000000
1793134,0.01000000,0.00000000,0.01000000,105.29000000,5,0.01000000
1793139,0.00000000,0.02000000,-0.02000000,105.27000000,5,0.02000000
1793154,0.09000000,0.00000000,0.09000000,105.36000000,5,0.09000000
1793201,0.08000000,0.00000000,0.08000000,105.44000000,6,0.08000000
1793210,0.00000000,0.16000000,-0.16000000,105.28000000,6,0.16000000
1793218,0.03000000,0.00000000,0.03000000,105.31000000,6,0.03000000
1793227,0.00000000,0.06000000,-0.06000000,105.25000000,6,0.06000000
1793231,0.05000000,0.00000000,0.05000000,105.30000000,7,0.05000000
1793247,0.11000000,0.00000000,0.11000000,105.41000000,7,0.11000000
1793252,0.00000000,0.22000000,-0.22000000,105.19000000,7,0.22000000
1793282,0.05000000,0.00000000,0.05000000,105.24000000,7,0.05000000
1793301,0.15000000,0.00000000,0.15000000,105.39000000,7,0.15000000
1793315,0.00000000,0.30000000,-0.30000000,105.09000000,7,0.30000000
1793323,0.03000000,0.00000000,0.03000000,105.12000000,7,0.03000000
1793336,0.00000000,0.06000000,-0.06000000,105.06000000,7,0.06000000
1793350,0.05000000,0.00000000,0.05000000,105.11000000,7,0.05000000
1793372,0.06000000,0.00000000,0.06000000,105.17000000,7,0.06000000
1793386,0.02000000,0.00000000,0.02000000,105.19000000,7,0.02000000
1793408,0.11000000,0.00000000,0.11000000,105.30000000,7,0.11000000
1793432,0.11000000,0.00000000,0.11000000,105.41000000,7,0.11000000
1793455,0.00000000,0.33000000,-0.33000000,105.08000000,7,0.33000000
1793480,0.01000000,0.00000000,0.01000000,105.09000000,7,0.01000000
1793527,0.08000000,0.00000000,0.08000000,105.17000000,7,0.08000000
1793552,0.03000000,0.00000000,0.03000000,105.20000000,7,0.03000000
1793574,0.09000000,0.00000000,0.09000000,105.29000000,7,0.09000000
1793578,0.00000000,0.18000000,-0.18000000,105.11000000,7,0.18000000
1793582,0.06000000,0.00000000,0.06000000,105.17000000,7,0.06000000
1793607,0.05000000,0.00000000,0.05000000,105.22000000,7,0.05000000
1793627,0.08000000,0.00000000,0.08000000,105.30000000,7,0.08000000
1793641,0.04000000,0.00000000,0.04000000,105.34000000,7,0.04000000
1793646,0.00000000,0.12000000,-0.12000000,105.22000000,7,0.12000000
1793653,0.10000000,0.00000000,0.10000000,105.32000000,7,0.10000000
1793672,0.03000000,0.00000000,0.03000000,105.35000000,7,0.03000000
1793690,0.03000000,0.00000000,0.03000000,105.38000000,7,0.03000000
1793706,0.03000000,0.00000000,0.03000000,105.41000000,7,0.03000000
1793721,0.01000000,0.00000000,0.01000000,105.42000000,7,0.01000000
1793728,0.00000000,0.03000000,-0.03000000,105.39000000,7,0.03000000
1793729,0.09000000,0.00000000,0.09000000,105.48000000,7,0.09000000
1793750,0.04000000,0.00000000,0.04000000,105.52000000,7,0.04000000
1793764,0.12000000,0.00000000,0.12000000,105.64000000,7,0.12000000
1793768,0.00000000,0.24000000,-0.24000000,105.40000000,7,0.24000000
1793785,0.12000000,0.00000000,0.12000000,105.52000000,7,0.12000000
1793800,0.00000000,0.24000000,-0.24000000,105.28000000,7,0.24000000
1793808,0.04000000,0.00000000,0.04000000,105.32000000,7,0.04000000
1793821,0.00000000,0.12000000,-0.12000000,105.20000000,7,0.12000000
1793822,0.05000000,0.00000000,0.05000000,105.25000000,7,0.05000000
1793840,0.09000000,0.00000000,0.09000000,105.34000000,7,0.09000000
1793889,0.12000000,0.00000000,0.12000000,105.46000000,7,0.12000000
1793911,0.09000000,0.00000000,0.09000000,105.55000000,7,0.09000000
1793927,0.00000000,0.18000000,-0.18000000,105.37000000,7,0.18000000
1793929,0.05000000,0.00000000,0.05000000,105.42000000,7,0.05000000
1793947,0.12000000,0.00000000,0.12000000,105.54000000,7,0.12000000
1793970,0.07000000,0.00000000,0.07000000,105.61000000,7,0.07000000
