block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
4100964,0.10000000,0.00000000,0.10000000,0.10000000,1,0.10000000
4209550,0.00200000,0.00000000,0.00200000,0.10200000,2,0.00200000
4210840,0.06700000,0.00000000,0.06700000,0.16900000,3,0.06700000
4217504,0.08000000,0.00000000,0.08000000,0.24900000,4,0.08000000
4217826,0.01000000,0.00000000,0.01000000,0.25900000,5,0.01000000
4220189,0.10000000,0.00000000,0.10000000,0.35900000,6,0.10000000
4220424,0.30000000,0.00000000,0.30000000,0.65900000,7,0.30000000
4220529,0.03000000,0.00000000,0.03000000,0.68900000,8,0.03000000
4220555,1.09000000,0.00000000,1.09000000,1.77900000,8,1.09000000
4221203,0.00800000,0.00000000,0.00800000,1.78700000,9,0.00800000
4221281,0.10000000,0.00000000,0.10000000,1.88700000,10,0.10000000
4225127,0.00000000,1.87700000,-1.87700000,0.01000000,11,1.87700000
