block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1282841,1.00000000,0.00000000,1.00000000,1.00000000,1,1.00000000
1282844,0.80000000,0.00000000,0.80000000,1.80000000,1,0.80000000
1282856,0.80000000,1.80000000,-1.00000000,0.80000000,1,1.80000000
1282870,0.64800000,1.44000000,-0.79200000,0.00800000,1,1.44000000
1282889,3.00000000,2.60640000,0.39360000,0.40160000,3,2.00000000
1282890,12.00000000,5.40000000,6.60000000,7.00160000,5,7.00000000
1282892,1.00000000,0.00000000,1.00000000,8.00160000,5,1.00000000
1282898,2.00000000,9.00000000,-7.00000000,1.00160000,5,9.00000000
1282905,24.00000000,21.60000000,2.40000000,3.40160000,5,22.00000000
1282906,1.00000000,0.00000000,1.00000000,4.40160000,5,1.00000000
1282908,1.00000000,0.00000000,1.00000000,5.40160000,5,1.00000000
1282909,10.00000000,0.00000000,10.00000000,15.40160000,5,10.00000000
1282911,4.00000000,0.00000000,4.00000000,19.40160000,6,3.00000000
1282912,4.00000000,0.00000000,4.00000000,23.40160000,6,4.00000000
1282935,10.00000000,0.00000000,10.00000000,33.40160000,6,10.00000000
1282945,1.00000000,0.00000000,1.00000000,34.40160000,6,1.00000000
1282953,2.00000000,0.00000000,2.00000000,36.40160000,7,2.00000000
1282979,2.20000000,0.00000000,2.20000000,38.60160000,7,2.20000000
1282981,1.00000000,39.60000000,-38.60000000,0.00160000,8,39.60000000
1282982,4.60000000,3.60000000,1.00000000,1.00160000,10,2.00000000
1282987,2.00000000,0.00000000,2.00000000,3.00160000,11,2.00000000
1283010,5.00000000,0.00000000,5.00000000,8.00160000,11,5.00000000
1283011,5.00000000,0.00000000,5.00000000,13.00160000,11,5.00000000
1283029,5.00000000,18.00000000,-13.00000000,0.00160000,11,18.00000000
1283051,2.10000000,1.80000000,0.30000000,0.30160000,11,1.80000000
1283058,5.40000000,5.40000000,0.00000000,0.30160000,11,5.40000000
1283060,6.90000000,7.20000000,-0.30000000,0.00160000,11,7.20000000
1283074,6.00000000,0.00000000,6.00000000,6.00160000,11,6.00000000
1283078,6.00000000,0.00000000,6.00000000,12.00160000,11,6.00000000
1283093,0.10000000,0.00000000,0.10000000,12.10160000,12,0.10000000
1283095,6.00000000,18.00000000,-12.00000000,0.10160000,12,18.00000000
1283100,10.00000000,9.36000000,0.64000000,0.74160000,13,10.00000000
1283110,0.10000000,0.00000000,0.10000000,0.84160000,13,0.10000000
1283136,0.30000000,0.00000000,0.30000000,1.14160000,14,0.30000000
1283191,1.00000000,1.80000000,-0.80000000,0.34160000,14,1.80000000
1283283,2.00000000,0.00000000,2.00000000,2.34160000,14,2.00000000
1283309,2.00000000,3.60000000,-1.60000000,0.74160000,15,3.60000000
