block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
50111,1.00000000,1.00000000,0.00000000,0.00000000,2,1.00000000
50117,1.00000000,1.00000000,0.00000000,0.00000000,3,1.00000000
50207,1.00000000,0.00000000,1.00000000,1.00000000,4,1.00000000
50233,1.00000000,0.00000000,1.00000000,2.00000000,5,1.00000000
50295,1.00000000,3.00000000,-2.00000000,0.00000000,5,1.00000000
50297,1.00000000,0.00000000,1.00000000,1.00000000,6,1.00000000
50303,1.00000000,0.00000000,1.00000000,2.00000000,6,1.00000000
50305,1.00000000,0.00000000,1.00000000,3.00000000,6,1.00000000
50324,1.00000000,4.00000000,-3.00000000,0.00000000,6,1.00000000
50343,1.00000000,0.00000000,1.00000000,1.00000000,7,1.00000000
50426,1.00000000,0.00000000,1.00000000,2.00000000,8,1.00000000
50483,1.00000000,0.00000000,1.00000000,3.00000000,9,1.00000000
50526,1.00000000,0.00000000,1.00000000,4.00000000,10,1.00000000
50588,1.00000000,5.00000000,-4.00000000,0.00000000,11,1.00000000
50609,10.00000000,0.00000000,10.00000000,10.00000000,11,10.00000000
50675,1.00000000,0.00000000,1.00000000,11.00000000,11,1.00000000
50677,1.00000000,0.00000000,1.00000000,12.00000000,11,1.00000000
50688,1.00000000,0.00000000,1.00000000,13.00000000,12,1.00000000
50796,1.00000000,0.00000000,1.00000000,14.00000000,13,1.00000000
50871,1.00000000,15.00000000,-14.00000000,0.00000000,13,2.10000000
50900,1.00000000,0.00000000,1.00000000,1.00000000,13,1.00000000
50907,1.00000000,0.00000000,1.00000000,2.00000000,13,1.00000000
50916,1.00000000,0.00000000,1.00000000,3.00000000,13,1.00000000
50992,1.00000000,0.00000000,1.00000000,4.00000000,14,1.00000000
51025,100.00000000,0.00000000,100.00000000,104.00000000,15,100.00000000
51155,1.00000000,0.00000000,1.00000000,105.00000000,15,1.00000000
51168,1.00000000,106.00000000,-105.00000000,0.00000000,15,16.75000000
51169,1.00000000,0.00000000,1.00000000,1.00000000,15,1.00000000
51200,1.00000000,0.00000000,1.00000000,2.00000000,15,1.00000000
51215,1.00000000,0.00000000,1.00000000,3.00000000,16,1.00000000
51224,1.00000000,0.00000000,1.00000000,4.00000000,17,1.00000000
51225,1.00000000,0.00000000,1.00000000,5.00000000,18,1.00000000
51232,2.00000000,0.00000000,2.00000000,7.00000000,18,1.00000000
51409,1.00000000,8.00000000,-7.00000000,0.00000000,18,1.00000000
51416,1.00000000,0.00000000,1.00000000,1.00000000,18,1.00000000
51418,1.00000000,0.00000000,1.00000000,2.00000000,18,1.00000000
51420,1.00000000,0.00000000,1.00000000,3.00000000,18,1.00000000
51449,1.00000000,0.00000000,1.00000000,4.00000000,19,1.00000000
51466,3.00000000,0.00000000,3.00000000,7.00000000,20,1.00000000
51518,1.00000000,0.00000000,1.00000000,8.00000000,21,1.00000000
53490,1.00000000,0.00000000,1.00000000,9.00000000,22,1.00000000
53649,1.00000000,0.00000000,1.00000000,10.00000000,23,1.00000000
53789,1.00000000,0.00000000,1.00000000,11.00000000,24,1.00000000
53843,100.00000000,0.00000000,100.00000000,111.00000000,25,100.00000000
53988,1.00000000,0.00000000,1.00000000,112.00000000,26,1.00000000
54027,1.00000000,0.00000000,1.00000000,113.00000000,27,1.00000000
54334,1.00000000,0.00000000,1.00000000,114.00000000,28,1.00000000
54450,1.00000000,0.00000000,1.00000000,115.00000000,29,1.00000000
54497,0.10000000,0.00000000,0.10000000,115.10000000,30,0.10000000
54676,1.00000000,0.00000000,1.00000000,116.10000000,31,1.00000000
55086,1.00000000,0.00000000,1.00000000,117.10000000,32,1.00000000
55343,2.00000000,0.00000000,2.00000000,119.10000000,34,1.00000000
55355,1.00000000,0.00000000,1.00000000,120.10000000,34,1.00000000
55371,9.00000000,0.00000000,9.00000000,129.10000000,34,1.00000000
55375,1.00000000,0.00000000,1.00000000,130.10000000,34,1.00000000
55439,1.00000000,0.00000000,1.00000000,131.10000000,35,1.00000000
55506,1.00000000,0.00000000,1.00000000,132.10000000,36,1.00000000
55632,1.00000000,0.00000000,1.00000000,133.10000000,37,1.00000000
55943,1.00000000,0.00000000,1.00000000,134.10000000,38,1.00000000
56375,1.00000000,0.00000000,1.00000000,135.10000000,39,1.00000000
57702,1.00000000,0.00000000,1.00000000,136.10000000,40,1.00000000
57704,1.00000000,0.00000000,1.00000000,137.10000000,40,1.00000000
57864,1.00000000,0.00000000,1.00000000,138.10000000,41,1.00000000
58238,1.00000000,0.00000000,1.00000000,139.10000000,42,1.00000000
60003,1.00000000,0.00000000,1.00000000,140.10000000,43,1.00000000
81058,1.00000000,0.00000000,1.00000000,141.10000000,44,1.00000000
91769,1.00000000,0.00000000,1.00000000,142.10000000,45,1.00000000
92283,1.00000000,0.00000000,1.00000000,143.10000000,46,1.00000000
92550,1.00000000,0.00000000,1.00000000,144.10000000,47,1.00000000
102062,1.00000000,0.00000000,1.00000000,145.10000000,48,1.00000000
110431,1.00000000,0.00000000,1.00000000,146.10000000,49,1.00000000
217589,1.00000000,0.00000000,1.00000000,147.10000000,50,1.00000000
271350,1.00000000,0.00000000,1.00000000,148.10000000,51,1.00000000
271385,1.00000000,0.00000000,1.00000000,149.10000000,52,1.00000000
646824,1.00000000,0.00000000,1.00000000,150.10000000,52,1.00000000
4392866,0.00000000,0.00000000,0.00000000,150.10000000,53,0.00000000
4392871,0.00000000,0.00000000,0.00000000,150.10000000,53,0.00000000
