block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1252651,0.02000000,0.00000000,0.02000000,0.02000000,1,0.02000000
1252658,0.04000000,0.03200000,0.00800000,0.02800000,2,0.04000000
1252665,0.50000000,0.10600000,0.39400000,0.42200000,2,0.50000000
1252855,4.00000000,1.10000000,2.90000000,3.32200000,2,4.00000000
1252867,50.00000000,10.60000000,39.40000000,42.72200000,3,50.00000000
1252877,8.69944399,0.00000000,8.69944399,51.42144399,4,8.69944399
1252884,8.00000000,0.80000000,7.20000000,58.62144399,4,8.00000000
1252905,9.00000000,0.90000000,8.10000000,66.72144399,4,9.00000000
1256053,2.00000000,0.20000000,1.80000000,68.52144399,5,2.00000000
1258864,0.00100000,0.00010000,0.00090000,68.52234399,5,0.00100000
1259311,0.20000000,0.02000000,0.18000000,68.70234399,6,0.20000000
1260783,2.50000000,0.25000000,2.25000000,70.95234399,7,2.50000000
1262185,1.00000000,0.10000000,0.90000000,71.85234399,8,1.00000000
1262373,5.00000000,0.50000000,4.50000000,76.35234399,9,5.00000000
1262848,5.50000000,70.55000000,-65.05000000,11.30234399,9,70.00000000
1262885,20.00000000,13.20000000,6.80000000,18.10234399,9,20.00000000
1263012,5.00000000,13.10000000,-8.10000000,10.00234399,9,12.60000000
1263099,6.50000000,7.23140000,-0.73140000,9.27094399,9,6.50000000
1263150,5.00000000,1.90000000,3.10000000,12.37094399,10,5.00000000
1263218,3.50000000,0.35000000,3.15000000,15.52094399,10,3.50000000
1263258,3.00000000,7.30000000,-4.30000000,11.22094399,10,7.00000000
1263271,10.00000000,8.70000000,1.30000000,12.52094399,11,10.00000000
1263330,4.50000000,0.45000000,4.05000000,16.57094399,11,4.50000000
1263482,0.01000000,0.00100000,0.00900000,16.57994399,12,0.01000000
1263932,3.00000000,0.30000000,2.70000000,19.27994399,13,3.00000000
1264670,10.00000000,1.00000000,9.00000000,28.27994399,13,10.00000000
1265017,0.01000000,0.00100000,0.00900000,28.28894399,14,0.01000000
1265496,3.14159265,0.31415927,2.82743339,31.11637738,15,3.14159265
1265546,1.12358132,0.11235813,1.01122319,32.12760057,15,1.12358132
1265965,0.30000000,0.03000000,0.27000000,32.39760057,16,0.30000000
1265966,3.00000000,0.30000000,2.70000000,35.09760057,16,3.00000000
1266046,3.14159265,28.31415927,-25.17256661,9.92503396,16,28.00000000
1268145,50.00000000,51.20000000,-1.20000000,8.72503396,17,50.00000000
1268189,10.00000000,7.31400000,2.68600000,11.41103396,17,10.00000000
1268269,49.90000000,38.19347328,11.70652672,23.11756068,17,49.90000000
1268409,5.00000000,0.50000000,4.50000000,27.61756068,17,5.00000000
1268417,6.00000000,0.60000000,5.40000000,33.01756068,17,6.00000000
1268978,0.38000000,0.03800000,0.34200000,33.35956068,18,0.38000000
1268998,0.01000000,0.00100000,0.00900000,33.36856068,18,0.01000000
1269142,1.00000000,0.10000000,0.90000000,34.26856068,18,1.00000000
1269226,1.00000000,0.10000000,0.90000000,35.16856068,18,1.00000000
1269837,4.20000000,0.42000000,3.78000000,38.94856068,18,4.20000000
1270474,0.15000000,0.01500000,0.13500000,39.08356068,19,0.15000000
1270511,2.00000000,0.20000000,1.80000000,40.88356068,20,2.00000000
1270561,1.00000000,0.10000000,0.90000000,41.78356068,20,1.00000000
1270910,4.50000000,0.45000000,4.05000000,45.83356068,20,4.50000000
1271083,2.00287299,0.20028730,1.80258569,47.63614637,21,2.00287299
1271147,1.10000000,0.11000000,0.99000000,48.62614637,21,1.10000000
1271277,0.23000000,0.02300000,0.20700000,48.83314637,21,0.23000000
1273571,0.50000000,0.05000000,0.45000000,49.28314637,22,0.50000000
1279280,0.01000000,0.00100000,0.00900000,49.29214637,23,0.01000000
1282324,3.16000000,0.31600000,2.84400000,52.13614637,24,3.16000000
1282569,0.01000000,0.00100000,0.00900000,52.14514637,24,0.01000000
1282570,2.00000000,0.20000000,1.80000000,53.94514637,25,2.00000000
1282605,1.00000000,0.10000000,0.90000000,54.84514637,26,1.00000000
1282615,1.00000000,0.10000000,0.90000000,55.74514637,27,1.00000000
1282654,1.00000000,0.10000000,0.90000000,56.64514637,27,1.00000000
1282677,12.50000000,1.25000000,11.25000000,67.89514637,28,12.50000000
1282691,0.01000000,0.00100000,0.00900000,67.90414637,28,0.01000000
1284023,20.00000000,72.00000000,-52.00000000,15.90414637,29,70.00000000
1284166,7.98930734,0.79893073,7.19037661,23.09452298,30,7.98930734
1284177,35.00000000,17.50000000,17.50000000,40.59452298,31,35.00000000
1284702,0.20000000,0.02000000,0.18000000,40.77452298,32,0.20000000
1285126,0.09000000,0.00900000,0.08100000,40.85552298,32,0.09000000
1285132,28.00000000,2.80000000,25.20000000,66.05552298,32,28.00000000
1285138,22.00000000,72.06000000,-50.06000000,15.99552298,32,69.86000000
1285658,0.50000000,0.05000000,0.45000000,16.44552298,32,0.50000000
1285776,0.50000000,0.05000000,0.45000000,16.89552298,32,0.50000000
1285931,0.10000000,0.01000000,0.09000000,16.98552298,33,0.10000000
1286097,1.00821610,0.00000000,1.00821610,17.99373908,34,1.00821610
1286114,2.00821610,0.00000000,2.00821610,20.00195518,35,2.00821610
1286133,5.00000000,0.50000000,4.50000000,24.50195518,35,5.00000000
1286151,2.00000000,7.20000000,-5.20000000,19.30195518,36,7.00000000
1286181,5.00000000,0.50000000,4.50000000,23.80195518,36,5.00000000
1286184,2.00000000,0.20000000,1.80000000,25.60195518,36,2.00000000
1286186,5.00000000,10.84600000,-5.84600000,19.75595518,37,8.40000000
1286189,1.00000000,1.50000000,-0.50000000,19.25595518,38,1.40000000
1286199,1.00000000,0.10000000,0.90000000,20.15595518,38,1.00000000
1286400,8.00000000,6.89000000,1.11000000,21.26595518,38,5.88000000
1286402,2.00000000,3.00000000,-1.00000000,20.26595518,38,2.80000000
1286403,0.10000000,1.41000000,-1.31000000,18.95595518,38,1.40000000
1286484,50.00000000,45.63202218,4.36797782,23.32393299,38,50.00000000
1286498,6.00000000,0.60000000,5.40000000,28.72393299,38,6.00000000
1286509,15.00000000,1.50000000,13.50000000,42.22393299,38,10.00000000
1286511,2.00000000,0.20000000,1.80000000,44.02393299,38,2.00000000
1286822,4.42000000,28.44200000,-24.02200000,20.00193299,38,28.00000000
1286931,5.00000000,0.50000000,4.50000000,24.50193299,39,5.00000000
1287013,1.00000000,0.10000000,0.90000000,25.40193299,40,1.00000000
1287176,0.50000000,0.05000000,0.45000000,25.85193299,40,0.50000000
1287876,0.10000000,0.01000000,0.09000000,25.94193299,40,0.10000000
1288848,0.01000000,0.00100000,0.00900000,25.95093299,41,0.01000000
1289039,49.90000000,54.39600000,-4.49600000,21.45493299,41,49.90000000
1290010,0.50000000,0.05000000,0.45000000,21.90493299,41,0.50000000
1290968,0.10000000,0.01000000,0.09000000,21.99493299,41,0.10000000
1292759,20.00000000,2.00000000,18.00000000,39.99493299,41,20.00000000
1292850,0.20000000,0.02000000,0.18000000,40.17493299,41,0.20000000
1293296,19.00000000,1.90000000,17.10000000,57.27493299,41,19.00000000
1293828,2.74000000,39.47400000,-36.73400000,20.54093299,42,39.20000000
1294394,0.49000000,0.04900000,0.44100000,20.98193299,43,0.49000000
1295494,5.04950495,0.50495050,4.54455446,25.52648745,44,5.04950495
1295522,4.95498828,0.00000000,4.95498828,30.48147573,44,4.95498828
1297361,0.05000000,0.00500000,0.04500000,30.52647573,44,0.05000000
1297760,3.00000000,0.30000000,2.70000000,33.22647573,44,3.00000000
1298295,30.90000000,35.43000000,-4.53000000,28.69647573,44,30.90000000
1298520,0.10000000,0.01000000,0.09000000,28.78647573,45,0.10000000
1298748,39.00000000,37.50000000,1.50000000,30.28647573,45,39.00000000
1299127,1.00000000,7.10000000,-6.10000000,24.18647573,45,7.00000000
1299828,18.00000000,4.74000000,13.26000000,37.44647573,45,18.00000000
1299832,0.10000000,0.01000000,0.09000000,37.53647573,46,0.10000000
1299835,0.05000000,0.00500000,0.04500000,37.58147573,46,0.05000000
1299846,13.50000000,1.35000000,12.15000000,49.73147573,46,13.50000000
1299855,2.50000000,0.25000000,2.25000000,51.98147573,46,2.50000000
