block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
4071213,0.10000000,0.00000000,0.10000000,0.10000000,1,0.10000000
4071875,3.00000000,0.00000000,3.00000000,3.10000000,2,3.00000000
4072547,0.20000000,0.00000000,0.20000000,3.30000000,3,0.20000000
4072552,0.20000000,0.00000000,0.20000000,3.50000000,3,0.20000000
4073665,1.30000000,0.00000000,1.30000000,4.80000000,4,1.30000000
4074835,0.00200000,0.00000000,0.00200000,4.80200000,5,0.00200000
4075140,0.05000000,0.00000000,0.05000000,4.85200000,6,0.05000000
4075204,1.10000000,0.00000000,1.10000000,5.95200000,7,1.10000000
4075827,0.10000000,0.00000000,0.10000000,6.05200000,8,0.10000000
4081825,0.08488175,0.00000000,0.08488175,6.13688175,9,0.08488175
4081833,0.08344075,0.00000000,0.08344075,6.22032251,9,0.08344075
4081871,0.07899975,0.00000000,0.07899975,6.29932226,9,0.07899975
4081888,0.07000000,0.00000000,0.07000000,6.36932226,9,0.07000000
4081904,0.05000000,0.00000000,0.05000000,6.41932226,9,0.05000000
4081962,0.04000000,0.00000000,0.04000000,6.45932226,9,0.04000000
4081985,0.03000000,0.00000000,0.03000000,6.48932226,9,0.03000000
4082276,0.17000000,0.00000000,0.17000000,6.65932226,9,0.17000000
4082281,0.02000000,0.00000000,0.02000000,6.67932226,9,0.02000000
4082802,0.10000000,0.00000000,0.10000000,6.77932226,10,0.10000000
4083599,0.40000000,0.00000000,0.40000000,7.17932226,10,0.40000000
4085863,0.60482685,0.00000000,0.60482685,7.78414911,11,0.60482685
4086408,0.10000000,0.00000000,0.10000000,7.88414911,12,0.10000000
4086474,0.90000000,0.00000000,0.90000000,8.78414911,12,0.90000000
4086597,0.40000000,0.00000000,0.40000000,9.18414911,12,0.40000000
4087799,0.60000000,0.00000000,0.60000000,9.78414911,12,0.60000000
4088780,1.12000000,0.00000000,1.12000000,10.90414911,13,1.12000000
4092710,0.40000000,0.00000000,0.40000000,11.30414911,13,0.40000000
4094474,2.76800000,0.00000000,2.76800000,14.07214911,13,2.76800000
4094934,0.10000000,0.00000000,0.10000000,14.17214911,14,0.10000000
4096359,3.40000000,0.00000000,3.40000000,17.57214911,14,3.40000000
4096691,1.43200000,0.00000000,1.43200000,19.00414911,15,1.43200000
4097054,0.30000000,0.00000000,0.30000000,19.30414911,15,0.30000000
4099913,1.00000000,0.00000000,1.00000000,20.30414911,16,1.00000000
4099929,0.80000000,0.00000000,0.80000000,21.10414911,16,0.80000000
4099934,0.10000000,0.00000000,0.10000000,21.20414911,16,0.10000000
4102482,0.00000000,18.73682685,-18.73682685,2.46732226,17,18.73682685
4404419,0.00200000,0.00000000,0.00200000,2.46932226,18,0.00200000
5128179,0.00100000,0.00000000,0.00100000,2.47032226,19,0.00100000
