block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1277689,9.01000000,0.00000000,9.01000000,9.01000000,1,9.01000000
1277693,9.01000000,10.00000000,-0.99000000,8.02000000,2,10.00000000
1277705,9.01000000,10.00000000,-0.99000000,7.03000000,3,10.00000000
1277778,9.01000000,10.00000000,-0.99000000,6.04000000,4,10.00000000
1277819,9.01000000,10.00000000,-0.99000000,5.05000000,4,10.00000000
1277824,18.02000000,20.00000000,-1.98000000,3.07000000,4,10.00000000
1277826,9.01000000,10.00000000,-0.99000000,2.08000000,4,10.00000000
1277830,9.01000000,10.00000000,-0.99000000,1.09000000,4,10.00000000
1277832,9.01000000,10.00000000,-0.99000000,0.10000000,4,10.00000000
1277838,9.01000000,0.00000000,9.01000000,9.11000000,4,9.01000000
1277839,18.02000000,20.00000000,-1.98000000,7.13000000,4,10.00000000
1277841,9.01000000,10.00000000,-0.99000000,6.14000000,4,10.00000000
1277842,9.01000000,10.00000000,-0.99000000,5.15000000,4,10.00000000
1277843,18.02000000,20.00000000,-1.98000000,3.17000000,4,10.00000000
1277852,9.01000000,10.00000000,-0.99000000,2.18000000,4,10.00000000
5510791,0.00000100,0.00000000,0.00000100,2.18000100,5,0.00000100
