block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
4328885,0.16991685,0.00000000,0.16991685,0.16991685,1,0.16991685
4328894,0.16466685,0.00000000,0.16466685,0.33458370,1,0.16466685
4329321,0.02000000,0.00000000,0.02000000,0.35458370,2,0.02000000
4329364,0.10000000,0.00000000,0.10000000,0.45458370,3,0.10000000
4340879,0.01000000,0.00000000,0.01000000,0.46458370,4,0.01000000
4343772,0.05000000,0.00000000,0.05000000,0.51458370,5,0.05000000
4380554,0.12000000,0.00000000,0.12000000,0.63458370,6,0.12000000
4453500,0.10000000,0.00000000,0.10000000,0.73458370,7,0.10000000
4596420,0.01000000,0.00000000,0.01000000,0.74458370,8,0.01000000
4597133,0.01000000,0.00000000,0.01000000,0.75458370,8,0.01000000
4604947,0.01200000,0.00000000,0.01200000,0.76658370,9,0.01200000
4604996,0.39013424,0.00000000,0.39013424,1.15671794,9,0.39013424
4654368,0.03000000,0.00000000,0.03000000,1.18671794,10,0.03000000
4654465,0.14500000,0.00000000,0.14500000,1.33171794,10,0.14500000
4801434,0.50000000,0.00000000,0.50000000,1.83171794,11,0.50000000
4834405,0.00000000,1.64180109,-1.64180109,0.18991685,12,1.64180109
