block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1288885,1.50000000,0.69530303,0.80469697,0.80469697,3,1.00000000
1288894,3.00000000,1.42090909,1.57909091,2.38378788,4,3.00000000
1288918,0.50000000,0.01515152,0.48484848,2.86863636,5,0.50000000
1288928,0.10000000,0.00303030,0.09696970,2.96560606,6,0.10000000
1288939,2.80000000,4.87284848,-2.07284848,0.89275758,6,3.99000000
1288943,2.00000000,0.06060606,1.93939394,2.83215152,6,2.00000000
1288945,1.00000000,3.75430303,-2.75430303,0.07784848,7,3.72400000
1289165,0.60564000,0.01835273,0.58728727,0.66513576,8,0.60564000
1289191,0.01000000,0.00030303,0.00969697,0.67483273,8,0.01000000
1289206,2.64000000,2.74000000,-0.10000000,0.57483273,8,2.66000000
1289442,0.50000000,0.01515152,0.48484848,1.05968121,9,0.50000000
