block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
3709058,0.30000000,0.00000000,0.30000000,0.30000000,1,0.30000000
3711770,0.20000000,0.00000000,0.20000000,0.50000000,2,0.20000000
3711825,0.09958000,0.00000000,0.09958000,0.59958000,3,0.09958000
3711853,0.19958000,0.00000000,0.19958000,0.79916000,4,0.19958000
3711893,0.20180000,0.00000000,0.20180000,1.00096000,5,0.20180000
3711897,0.20000000,0.00000000,0.20000000,1.20096000,5,0.20000000
3711969,0.50000000,0.00000000,0.50000000,1.70096000,6,0.50000000
3712010,0.20000000,0.00000000,0.20000000,1.90096000,7,0.20000000
3712029,0.10000000,0.00000000,0.10000000,2.00096000,8,0.10000000
3712140,0.20000000,0.00000000,0.20000000,2.20096000,9,0.20000000
3712149,0.55000000,0.00000000,0.55000000,2.75096000,10,0.55000000
3712340,0.01937200,0.00000000,0.01937200,2.77033200,11,0.01937200
3712615,0.20000000,0.00000000,0.20000000,2.97033200,12,0.20000000
3712620,0.18000000,0.00000000,0.18000000,3.15033200,13,0.18000000
3712804,0.20000000,0.00000000,0.20000000,3.35033200,13,0.20000000
3712835,0.30000000,0.02335478,0.27664522,3.62697722,13,0.30000000
3712869,0.00000000,0.21412099,-0.21412099,3.41285623,13,0.21412099
3713042,0.20000000,0.00000000,0.20000000,3.61285623,14,0.20000000
3714586,9.00000000,0.00000000,9.00000000,12.61285623,15,9.00000000
3715353,0.10000000,0.00000000,0.10000000,12.71285623,16,0.10000000
3715362,0.40000000,0.00000000,0.40000000,13.11285623,17,0.20000000
3715375,0.20000000,0.00000000,0.20000000,13.31285623,18,0.20000000
3716498,0.00000000,1.07686802,-1.07686802,12.23598822,18,1.07686802
3716993,0.00000000,0.20823769,-0.20823769,12.02775052,18,0.20823769
3717223,0.00000000,0.00467503,-0.00467503,12.02307550,18,0.00467503
3718050,0.15000000,0.00000000,0.15000000,12.17307550,19,0.15000000
3719328,0.99958000,0.00000000,0.99958000,13.17265550,20,0.99958000
3719477,0.20000000,0.00000000,0.20000000,13.37265550,21,0.20000000
3721032,0.69000000,0.00000000,0.69000000,14.06265550,22,0.69000000
3721080,3.00000000,0.00000000,3.00000000,17.06265550,22,3.00000000
3721099,0.20000000,0.00000000,0.20000000,17.26265550,23,0.20000000
3721297,1.00000000,0.00000000,1.00000000,18.26265550,24,1.00000000
3722059,1.00000000,0.00000000,1.00000000,19.26265550,25,1.00000000
3722064,0.00000000,0.12387547,-0.12387547,19.13878003,25,0.12387547
3722103,0.99800000,0.00000000,0.99800000,20.13678003,25,0.99800000
3722202,0.70000000,0.00000000,0.70000000,20.83678003,26,0.70000000
3722640,1.00000000,0.00000000,1.00000000,21.83678003,27,1.00000000
3724174,0.00000000,0.00480590,-0.00480590,21.83197413,27,0.00480590
3727303,0.00000000,0.03175995,-0.03175995,21.80021418,27,0.03175995
3730978,0.00000000,2.41405917,-2.41405917,19.38615501,27,2.41405917
3732066,0.00000000,0.09028666,-0.09028666,19.29586835,27,0.09028666
3740758,0.00000000,0.01497874,-0.01497874,19.28088961,27,0.01497874
3750471,0.10000000,0.00000000,0.10000000,19.38088961,28,0.10000000
3755127,0.00000000,0.38877144,-0.38877144,18.99211817,28,0.38877144
3760136,0.00000000,0.02282079,-0.02282079,18.96929739,28,0.02282079
3773282,0.00000000,0.00044581,-0.00044581,18.96885158,28,0.00044581
3791212,0.01000000,0.00000000,0.01000000,18.97885158,29,0.01000000
3792006,0.20000000,0.00000000,0.20000000,19.17885158,30,0.20000000
3805812,0.00958000,0.00000000,0.00958000,19.18843158,31,0.00958000
3807475,0.37000000,0.00000000,0.37000000,19.55843158,32,0.37000000
3808001,0.10000000,0.00000000,0.10000000,19.65843158,33,0.10000000
3821034,0.00000000,0.00207692,-0.00207692,19.65635465,33,0.00207692
3841480,0.00000000,0.20653654,-0.20653654,19.44981812,33,0.20653654
3851401,0.00000000,0.12687539,-0.12687539,19.32294273,33,0.12687539
3904888,0.00000000,1.11085880,-1.11085880,18.21208394,33,1.11085880
3920089,0.10000000,0.00000000,0.10000000,18.31208394,34,0.10000000
3920124,0.10000000,0.00000000,0.10000000,18.41208394,34,0.10000000
3949053,0.20000000,0.00000000,0.20000000,18.61208394,35,0.20000000
4122871,0.60000000,0.00000000,0.60000000,19.21208394,36,0.60000000
4141448,0.00000000,0.00344302,-0.00344302,19.20864091,36,0.00344302
4326557,0.00000000,11.68766414,-11.68766414,7.52097678,36,11.68766414
4499933,0.00000000,0.00192399,-0.00192399,7.51905279,36,0.00192399
4637655,0.00000000,0.49408743,-0.49408743,7.02496535,36,0.49408743
4874548,0.00400000,0.00000000,0.00400000,7.02896535,37,0.00400000
4966871,0.01000000,0.00000000,0.01000000,7.03896535,38,0.01000000
4970589,0.20000000,0.00000000,0.20000000,7.23896535,39,0.20000000
4984451,0.33300000,0.00000000,0.33300000,7.57196535,40,0.33300000
4987940,0.00000000,0.00153878,-0.00153878,7.57042657,40,0.00153878
5054656,0.20000000,0.00000000,0.20000000,7.77042657,41,0.20000000
5413316,0.00000000,0.05253839,-0.05253839,7.71788818,41,0.05253839
9937905,0.01000000,0.00000000,0.01000000,7.72788818,42,0.01000000
9937915,0.01000000,0.00000000,0.01000000,7.73788818,42,0.01000000
10609642,0.00000000,0.37157268,-0.37157268,7.36631550,42,0.37157268
11795171,0.00000000,0.06239398,-0.06239398,7.30392152,42,0.06239398
12075777,0.00000000,1.20416984,-1.20416984,6.09975168,42,1.20416984
