block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
3176173,48.00000000,0.00000000,48.00000000,48.00000000,1,48.00000000
3176759,0.10000000,0.00857995,0.09142005,48.09142005,3,0.10000000
3177451,0.10000000,0.00857995,0.09142005,48.18284010,4,0.10000000
3177456,0.10000000,0.00857995,0.09142005,48.27426014,4,0.10000000
3177464,0.10000000,0.00857995,0.09142005,48.36568019,4,0.10000000
3177471,0.20000000,0.00857995,0.19142005,48.55710024,4,0.20000000
3177475,0.20000000,0.00857995,0.19142005,48.74852029,4,0.20000000
3177480,0.20000000,0.00857995,0.19142005,48.93994033,4,0.20000000
3180167,0.10000000,0.00857995,0.09142005,49.03136038,4,0.10000000
3180177,0.10000000,0.00857995,0.09142005,49.12278043,4,0.10000000
3182936,0.20000000,0.00857995,0.19142005,49.31420048,4,0.20000000
3182942,0.20000000,0.00857995,0.19142005,49.50562053,4,0.20000000
3182954,0.10000000,0.00857995,0.09142005,49.59704057,4,0.10000000
3182963,0.10000000,0.00857995,0.09142005,49.68846062,4,0.10000000
3182966,0.00000000,0.37500000,-0.37500000,49.31346062,4,0.37500000
3182974,0.10000000,0.00857995,0.09142005,49.40488067,4,0.10000000
3182991,0.10000000,0.00857995,0.09142005,49.49630072,4,0.10000000
3183041,0.10000000,0.00857995,0.09142005,49.58772076,5,0.10000000
3183210,0.10000000,0.00857995,0.09142005,49.67914081,5,0.10000000
3183219,0.20000000,0.00857995,0.19142005,49.87056086,5,0.20000000
3183221,0.00000000,0.75000000,-0.75000000,49.12056086,5,0.75000000
3183451,0.20000000,0.00857995,0.19142005,49.31198091,5,0.20000000
3183458,0.20000000,0.00857995,0.19142005,49.50340095,5,0.20000000
3183463,0.20000000,0.00857995,0.19142005,49.69482100,5,0.20000000
3183483,0.20000000,0.00857995,0.19142005,49.88624105,5,0.20000000
3183485,0.00000000,0.75000000,-0.75000000,49.13624105,5,0.75000000
3186241,0.10000000,0.00857995,0.09142005,49.22766110,5,0.10000000
3186249,0.10000000,0.00857995,0.09142005,49.31908115,5,0.10000000
3186253,0.00000000,1.50000000,-1.50000000,47.81908115,5,1.50000000
3186270,0.10000000,0.00857995,0.09142005,47.91050119,6,0.10000000
3188380,0.10000000,0.00857995,0.09142005,48.00192124,7,0.10000000
3188384,0.00000000,0.37500000,-0.37500000,47.62692124,7,0.37500000
3188649,0.10000000,0.00857995,0.09142005,47.71834129,8,0.10000000
3188652,0.00000000,0.37500000,-0.37500000,47.34334129,8,0.37500000
3188658,0.20000000,0.00857995,0.19142005,47.53476134,8,0.20000000
3188678,0.10000000,0.00857995,0.09142005,47.62618138,8,0.10000000
3188684,0.10000000,0.00857995,0.09142005,47.71760143,8,0.10000000
3188690,0.20000000,0.00857995,0.19142005,47.90902148,8,0.20000000
3188697,0.20000000,0.00857995,0.19142005,48.10044153,8,0.20000000
3188701,0.00000000,0.75000000,-0.75000000,47.35044153,8,0.75000000
3188708,0.10000000,0.00857995,0.09142005,47.44186158,8,0.10000000
3188719,0.10000000,0.00857995,0.09142005,47.53328162,8,0.10000000
3188727,0.20000000,0.00857995,0.19142005,47.72470167,8,0.20000000
3188731,0.20000000,0.00857995,0.19142005,47.91612172,8,0.20000000
3188735,0.20000000,0.00857995,0.19142005,48.10754177,8,0.20000000
3188744,0.20000000,0.00857995,0.19142005,48.29896181,8,0.20000000
3188749,0.00000000,0.75000000,-0.75000000,47.54896181,8,0.75000000
3188947,0.10000000,0.00857995,0.09142005,47.64038186,9,0.10000000
3188962,0.10000000,0.00857995,0.09142005,47.73180191,9,0.10000000
