block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
3777311,0.10000000,0.00000000,0.10000000,0.10000000,1,0.10000000
3777337,0.10000000,0.00000000,0.10000000,0.20000000,1,0.10000000
3777366,0.10000000,0.00000000,0.10000000,0.30000000,1,0.10000000
3777408,150.00000000,0.00000000,150.00000000,150.30000000,2,150.00000000
3777416,0.12928574,0.00000000,0.12928574,150.42928574,3,0.12928574
3777604,7.00000000,0.00000000,7.00000000,157.42928574,4,7.00000000
3777607,0.20000000,0.00000000,0.20000000,157.62928574,5,0.20000000
3777611,7.00000000,0.00000000,7.00000000,164.62928574,5,7.00000000
3777616,1.00000000,0.00000000,1.00000000,165.62928574,6,1.00000000
3777664,0.11000000,0.00000000,0.11000000,165.73928574,6,0.11000000
3777706,7.70000000,0.00000000,7.70000000,173.43928574,7,7.70000000
3777710,0.97000000,0.00000000,0.97000000,174.40928574,8,0.97000000
3777717,5.00000000,0.00000000,5.00000000,179.40928574,8,5.00000000
3777718,0.90000000,0.00000000,0.90000000,180.30928574,8,0.90000000
3778043,0.40000000,0.00000000,0.40000000,180.70928574,9,0.40000000
3778050,1.48653469,0.00000000,1.48653469,182.19582043,9,1.48653469
3778144,1.15539000,0.00000000,1.15539000,183.35121043,10,1.15539000
3778455,0.88000000,0.00000000,0.88000000,184.23121043,11,0.88000000
3778681,3.30000000,0.00000000,3.30000000,187.53121043,12,3.30000000
3783538,2.00000000,0.00000000,2.00000000,189.53121043,13,2.00000000
3783634,0.35000000,0.00000000,0.35000000,189.88121043,14,0.35000000
3783733,1.00000000,0.00000000,1.00000000,190.88121043,15,1.00000000
3788466,3.00000000,0.00000000,3.00000000,193.88121043,16,3.00000000
3799658,0.35000000,0.00000000,0.35000000,194.23121043,17,0.35000000
3799774,0.25763991,0.00000000,0.25763991,194.48885034,17,0.25763991
3800120,1.00000000,0.00000000,1.00000000,195.48885034,18,1.00000000
3803608,3.00000000,0.00000000,3.00000000,198.48885034,19,3.00000000
3817533,1.00000000,0.00000000,1.00000000,199.48885034,20,1.00000000
3818803,1.00000000,0.00000000,1.00000000,200.48885034,21,1.00000000
3818828,200.00000000,0.00000000,200.00000000,400.48885034,21,200.00000000
3834075,2.10000000,0.00000000,2.10000000,402.58885034,22,2.10000000
3838622,1.00000000,0.00000000,1.00000000,403.58885034,23,1.00000000
3844109,0.50000000,0.00000000,0.50000000,404.08885034,24,0.50000000
3844213,8.00000000,0.00000000,8.00000000,412.08885034,24,8.00000000
3846952,0.50000000,0.00000000,0.50000000,412.58885034,25,0.50000000
3846953,1.30000000,0.00000000,1.30000000,413.88885034,26,0.80000000
3853725,2.00000000,0.00000000,2.00000000,415.88885034,27,2.00000000
3856512,1.20000000,0.00000000,1.20000000,417.08885034,28,1.20000000
3874536,0.09660778,0.00000000,0.09660778,417.18545812,29,0.09660778
3879501,5.00000000,0.00000000,5.00000000,422.18545812,30,5.00000000
3881137,1.00000000,0.00000000,1.00000000,423.18545812,31,1.00000000
3881430,1.00000000,0.00000000,1.00000000,424.18545812,32,1.00000000
3883937,1.00000000,0.00000000,1.00000000,425.18545812,33,1.00000000
3892173,1.75000000,0.00000000,1.75000000,426.93545812,34,1.75000000
3892197,1.75000000,0.00000000,1.75000000,428.68545812,34,1.75000000
3893967,3.00000000,0.00000000,3.00000000,431.68545812,35,3.00000000
3894399,0.05000000,0.00000000,0.05000000,431.73545812,36,0.05000000
3894547,1.00000000,0.00000000,1.00000000,432.73545812,37,1.00000000
3895555,1.10000000,0.00000000,1.10000000,433.83545812,37,1.10000000
3895565,1.10000000,0.00000000,1.10000000,434.93545812,37,1.10000000
3897605,1.00000000,0.00000000,1.00000000,435.93545812,38,1.00000000
3897863,1.00000000,0.00000000,1.00000000,436.93545812,39,1.00000000
3898292,2.00000000,0.00000000,2.00000000,438.93545812,40,2.00000000
3899079,1.00000000,0.00000000,1.00000000,439.93545812,41,1.00000000
3900512,6.92721620,0.00000000,6.92721620,446.86267433,42,6.92721620
3900727,1.20000000,0.00000000,1.20000000,448.06267433,43,1.20000000
3901880,1.00000000,0.00000000,1.00000000,449.06267433,44,1.00000000
3904969,3.30000000,0.00000000,3.30000000,452.36267433,45,3.30000000
3904977,1.10000000,0.00000000,1.10000000,453.46267433,46,1.10000000
3912146,4.00000000,0.00000000,4.00000000,457.46267433,47,4.00000000
3912328,2.40000000,0.00000000,2.40000000,459.86267433,48,2.40000000
3912701,3.50000000,0.00000000,3.50000000,463.36267433,49,3.50000000
3912777,3.00000000,0.00000000,3.00000000,466.36267433,50,3.00000000
3912836,3.00000000,0.00000000,3.00000000,469.36267433,50,3.00000000
3912865,1.00000000,0.00000000,1.00000000,470.36267433,51,1.00000000
3912925,2.00000000,0.00000000,2.00000000,472.36267433,52,2.00000000
3913602,9.40000000,0.00000000,9.40000000,481.76267433,53,9.40000000
3913913,3.00000000,0.00000000,3.00000000,484.76267433,54,3.00000000
3913966,0.93000000,0.00000000,0.93000000,485.69267433,55,0.93000000
3914098,3.25000000,0.00000000,3.25000000,488.94267433,55,3.25000000
3914108,1.00000000,0.00000000,1.00000000,489.94267433,55,1.00000000
3915289,1.00000000,0.00000000,1.00000000,490.94267433,56,1.00000000
3915305,0.75538215,0.00000000,0.75538215,491.69805647,57,0.75538215
3916984,0.50000000,0.00000000,0.50000000,492.19805647,58,0.50000000
3917177,0.01000000,0.00000000,0.01000000,492.20805647,59,0.01000000
3917219,0.01000000,0.00000000,0.01000000,492.21805647,60,0.01000000
3917228,0.01200000,0.00000000,0.01200000,492.23005647,61,0.01200000
3917243,0.02200000,0.00000000,0.02200000,492.25205647,62,0.02200000
3917526,10.00000000,0.00000000,10.00000000,502.25205647,63,10.00000000
3917924,0.10000000,0.00000000,0.10000000,502.35205647,64,0.10000000
3918301,0.47285693,0.00000000,0.47285693,502.82491340,65,0.47285693
3918634,0.10000000,0.00000000,0.10000000,502.92491340,66,0.10000000
3919018,2.00000000,0.00000000,2.00000000,504.92491340,67,2.00000000
3919477,0.03000000,0.00000000,0.03000000,504.95491340,68,0.03000000
3919777,0.01200000,0.00000000,0.01200000,504.96691340,69,0.01200000
3921166,0.60000000,0.00000000,0.60000000,505.56691340,70,0.60000000
3922572,4.00000000,0.00000000,4.00000000,509.56691340,71,4.00000000
3922718,2.45000000,0.00000000,2.45000000,512.01691340,71,2.45000000
3922792,1.13158836,0.00000000,1.13158836,513.14850176,72,1.13158836
3925415,0.35000000,0.00000000,0.35000000,513.49850176,73,0.35000000
3929094,0.00000000,150.00000000,-150.00000000,363.49850176,73,150.00000000
3929741,0.00000000,7.70000000,-7.70000000,355.79850176,73,7.70000000
3929766,7.70000000,0.00000000,7.70000000,363.49850176,73,7.70000000
3930232,0.00000000,1.15539000,-1.15539000,362.34311176,73,1.15539000
3931996,0.00000000,0.25763991,-0.25763991,362.08547185,73,0.25763991
3932175,0.00000000,6.87000000,-6.87000000,355.21547185,73,6.87000000
3933750,0.00000000,3.45000000,-3.45000000,351.76547185,73,3.45000000
3937166,0.00000000,1.00000000,-1.00000000,350.76547185,73,1.00000000
3937865,0.00000000,7.00000000,-7.00000000,343.76547185,73,7.00000000
3938225,0.00000000,1.88653469,-1.88653469,341.87893716,73,1.88653469
3939415,0.00000000,1.00000000,-1.00000000,340.87893716,73,1.00000000
3956309,5.00000000,0.00000000,5.00000000,345.87893716,74,5.00000000
3957155,0.00000000,201.00000000,-201.00000000,144.87893716,74,201.00000000
3972221,0.00000000,0.21000000,-0.21000000,144.66893716,74,0.21000000
3972563,0.00000000,9.40000000,-9.40000000,135.26893716,74,9.40000000
3972567,0.00000000,3.30000000,-3.30000000,131.96893716,74,3.30000000
3972621,0.00000000,0.20000000,-0.20000000,131.76893716,74,0.20000000
3972639,0.00000000,10.00000000,-10.00000000,121.76893716,74,10.00000000
3972662,0.00000000,1.00000000,-1.00000000,120.76893716,74,1.00000000
3972754,0.00000000,0.47285693,-0.47285693,120.29608023,74,0.47285693
3973235,0.00000000,0.88000000,-0.88000000,119.41608023,74,0.88000000
3973480,0.00000000,1.00000000,-1.00000000,118.41608023,74,1.00000000
3973623,0.00000000,0.10000000,-0.10000000,118.31608023,74,0.10000000
3973762,0.00000000,0.80000000,-0.80000000,117.51608023,74,0.80000000
3975124,0.00000000,2.40000000,-2.40000000,115.11608023,74,2.40000000
3977485,0.00000000,3.00000000,-3.00000000,112.11608023,74,3.00000000
3979882,0.00000000,1.00000000,-1.00000000,111.11608023,74,1.00000000
3982433,0.00000000,2.00000000,-2.00000000,109.11608023,74,2.00000000
3985184,0.00000000,0.35000000,-0.35000000,108.76608023,74,0.35000000
3986843,0.00000000,0.50000000,-0.50000000,108.26608023,74,0.50000000
3986991,0.00000000,1.00000000,-1.00000000,107.26608023,74,1.00000000
3992551,0.00000000,2.00000000,-2.00000000,105.26608023,74,2.00000000
3992623,0.00000000,1.13158836,-1.13158836,104.13449187,74,1.13158836
3993958,0.00000000,1.00000000,-1.00000000,103.13449187,74,1.00000000
3998488,0.01000000,0.00000000,0.01000000,103.14449187,74,0.01000000
4017709,0.00000000,7.25000000,-7.25000000,95.89449187,74,7.25000000
4042728,0.00000000,2.10000000,-2.10000000,93.79449187,74,2.10000000
4048055,0.00000000,10.00000000,-10.00000000,83.79449187,75,10.00000000
4048060,0.00000000,0.00500000,-0.00500000,83.78949187,75,0.00500000
4048068,0.00000000,5.00000000,-5.00000000,78.78949187,75,5.00000000
4048075,0.00000000,48.00000000,-48.00000000,30.78949187,75,48.00000000
4048082,0.00000000,0.73000000,-0.73000000,30.05949187,75,0.73000000
4111670,0.01000000,0.00000000,0.01000000,30.06949187,76,0.01000000
19102026,0.00000000,0.01949187,-0.01949187,30.05000000,77,0.01949187
