block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
2535479,0.10000000,0.00000000,0.10000000,0.10000000,1,0.10000000
2545685,42.70000000,0.00000000,42.70000000,42.80000000,2,42.70000000
2545957,1.10000000,0.00000000,1.10000000,43.90000000,3,1.00000000
2546216,42.70000000,0.00000000,42.70000000,86.60000000,3,42.70000000
2546305,0.10000000,0.00000000,0.10000000,86.70000000,3,0.10000000
2546773,0.30877678,0.00000000,0.30877678,87.00877678,4,0.30877678
2546842,0.40000000,0.00000000,0.40000000,87.40877678,8,0.10000000
2547316,0.50000000,0.00000000,0.50000000,87.90877678,9,0.50000000
2547380,0.70000000,0.00000000,0.70000000,88.60877678,9,0.70000000
2547395,0.70000000,0.00000000,0.70000000,89.30877678,9,0.70000000
2547414,0.50000000,0.00000000,0.50000000,89.80877678,9,0.50000000
2547433,1.00000000,0.00000000,1.00000000,90.80877678,10,1.00000000
2547590,2084.48620000,0.00000000,2084.48620000,2175.29497678,12,1300.00000000
2547592,130.00000000,0.00000000,130.00000000,2305.29497678,12,130.00000000
2547594,434.07000000,0.00000000,434.07000000,2739.36497678,12,100.00000000
2547598,65.28000000,0.00000000,65.28000000,2804.64497678,14,30.28000000
2547603,5.00000000,0.00000000,5.00000000,2809.64497678,15,5.00000000
2547604,129.00000000,0.00000000,129.00000000,2938.64497678,15,129.00000000
2547606,6587.00000000,0.00000000,6587.00000000,9525.64497678,16,6499.00000000
2547610,935.88880000,0.00000000,935.88880000,10461.53377678,18,450.00000000
2547611,382.10500534,0.00000000,382.10500534,10843.63878213,18,102.00000000
2547613,332.90000000,0.00000000,332.90000000,11176.53878213,18,150.00000000
2547614,980.00000000,0.00000000,980.00000000,12156.53878213,20,750.00000000
2547619,147.64277479,0.00000000,147.64277479,12304.18155692,20,76.64277479
2547624,88.00000000,0.00000000,88.00000000,12392.18155692,21,50.00000000
2547633,161.00000000,0.00000000,161.00000000,12553.18155692,21,73.00000000
2547642,30.09292367,0.00000000,30.09292367,12583.27448058,22,26.00000000
2547643,102.00000000,0.00000000,102.00000000,12685.27448058,24,100.00000000
2547655,22.65000000,0.00000000,22.65000000,12707.92448058,24,22.65000000
2547659,51.00000000,0.00000000,51.00000000,12758.92448058,25,28.00000000
2547664,22.65000000,0.00000000,22.65000000,12781.57448058,25,22.65000000
2547667,10.00000000,0.00000000,10.00000000,12791.57448058,25,10.00000000
2547669,95.00000000,0.00000000,95.00000000,12886.57448058,25,90.00000000
2547677,10.00000000,0.00000000,10.00000000,12896.57448058,25,10.00000000
2547679,3.80000000,0.00000000,3.80000000,12900.37448058,25,3.80000000
2547686,294.53000000,0.00000000,294.53000000,13194.90448058,25,200.00000000
2547700,0.18803666,0.00000000,0.18803666,13195.09251724,25,0.18803666
2547701,8.00000000,0.00000000,8.00000000,13203.09251724,25,8.00000000
2547705,10.00000000,0.00000000,10.00000000,13213.09251724,25,10.00000000
2547708,25.50000000,0.00000000,25.50000000,13238.59251724,25,25.50000000
2547717,12.00000000,0.00000000,12.00000000,13250.59251724,26,10.00000000
2547728,0.00000000,10.00000000,-10.00000000,13240.59251724,27,10.00000000
2547740,0.00000000,990.00000000,-990.00000000,12250.59251724,27,990.00000000
2547761,5.00000000,0.00000000,5.00000000,12255.59251724,27,5.00000000
2547775,3.00000000,0.00000000,3.00000000,12258.59251724,27,3.00000000
2547797,1.90000000,0.00000000,1.90000000,12260.49251724,27,1.90000000
2547804,2.00000000,0.00000000,2.00000000,12262.49251724,28,2.00000000
2547832,20.00000000,0.00000000,20.00000000,12282.49251724,29,20.00000000
2547842,2.00000000,0.00000000,2.00000000,12284.49251724,30,2.00000000
2547843,14.86242791,0.00000000,14.86242791,12299.35494516,31,14.86242791
2547848,2.00000000,0.00000000,2.00000000,12301.35494516,31,2.00000000
2547856,1.20000000,0.00000000,1.20000000,12302.55494516,31,1.20000000
