block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
3989410,0.01000000,0.00000000,0.01000000,0.01000000,1,0.01000000
3989451,5.00000000,0.00000000,5.00000000,5.01000000,2,5.00000000
3989458,0.06000000,0.00000000,0.06000000,5.07000000,3,0.06000000
3989462,3.65000000,0.00000000,3.65000000,8.72000000,5,3.45000000
3989466,8.60000000,0.00000000,8.60000000,17.32000000,9,7.00000000
3989471,0.20000000,0.00000000,0.20000000,17.52000000,9,0.20000000
3989477,1.00000000,0.00000000,1.00000000,18.52000000,10,1.00000000
3989479,0.08000000,0.00000000,0.08000000,18.60000000,11,0.08000000
3989493,0.12500000,0.00000000,0.12500000,18.72500000,12,0.12500000
3989502,10.00000000,0.00000000,10.00000000,28.72500000,13,10.00000000
3989518,1.00000000,0.00000000,1.00000000,29.72500000,14,1.00000000
3989549,1.50000000,0.00000000,1.50000000,31.22500000,15,1.50000000
3989569,0.69000000,0.00000000,0.69000000,31.91500000,16,0.69000000
3989575,2.00000000,0.00000000,2.00000000,33.91500000,17,2.00000000
3989596,4.00000000,0.00000000,4.00000000,37.91500000,18,4.00000000
3989638,1.00000000,0.00000000,1.00000000,38.91500000,19,1.00000000
3989639,0.50000000,0.00000000,0.50000000,39.41500000,19,0.50000000
3989713,0.10000000,0.00000000,0.10000000,39.51500000,20,0.10000000
3989730,1.00000000,0.00000000,1.00000000,40.51500000,21,1.00000000
3989745,0.10000000,0.00000000,0.10000000,40.61500000,22,0.10000000
3989819,1.00000000,0.00000000,1.00000000,41.61500000,23,1.00000000
3989829,0.15000000,0.00000000,0.15000000,41.76500000,24,0.15000000
3989863,0.90000000,0.00000000,0.90000000,42.66500000,24,0.90000000
3989900,1.00000000,0.00000000,1.00000000,43.66500000,24,1.00000000
3989903,0.04000000,0.00000000,0.04000000,43.70500000,25,0.04000000
3990074,0.55000000,0.00000000,0.55000000,44.25500000,26,0.55000000
3990086,1.00000000,0.00000000,1.00000000,45.25500000,27,1.00000000
3990189,0.10000000,0.00000000,0.10000000,45.35500000,28,0.10000000
3990276,0.20000000,0.00000000,0.20000000,45.55500000,29,0.20000000
3990298,0.20000000,0.00000000,0.20000000,45.75500000,29,0.20000000
3990352,0.48514645,0.00000000,0.48514645,46.24014645,29,0.48514645
3990450,0.10620000,0.00000000,0.10620000,46.34634645,30,0.10620000
3990678,0.30000000,0.00000000,0.30000000,46.64634645,31,0.30000000
3990695,0.90000000,0.00000000,0.90000000,47.54634645,32,0.90000000
3990883,3.00000000,0.00000000,3.00000000,50.54634645,33,3.00000000
3991191,0.01500000,0.00000000,0.01500000,50.56134645,34,0.01500000
3991610,0.01000000,0.00000000,0.01000000,50.57134645,35,0.01000000
3991648,3.00000000,0.00000000,3.00000000,53.57134645,36,3.00000000
3991770,10.00000000,0.00000000,10.00000000,63.57134645,37,10.00000000
3991795,1.00000000,0.00000000,1.00000000,64.57134645,38,1.00000000
3991838,25.00000000,0.00000000,25.00000000,89.57134645,39,25.00000000
3991886,1.00000000,0.00000000,1.00000000,90.57134645,40,1.00000000
3991915,1.00000000,0.00000000,1.00000000,91.57134645,41,1.00000000
3991935,1.00000000,0.00000000,1.00000000,92.57134645,42,1.00000000
3991952,1.00000000,0.00000000,1.00000000,93.57134645,42,1.00000000
3991975,5.00000000,0.00000000,5.00000000,98.57134645,43,5.00000000
3991980,5.00000000,0.00000000,5.00000000,103.57134645,44,5.00000000
3991996,5.00000000,0.00000000,5.00000000,108.57134645,44,5.00000000
3992005,5.00000000,0.00000000,5.00000000,113.57134645,44,5.00000000
3992010,0.10000000,0.00000000,0.10000000,113.67134645,45,0.10000000
3992015,0.10000000,0.00000000,0.10000000,113.77134645,46,0.10000000
3992030,5.00000000,0.00000000,5.00000000,118.77134645,47,5.00000000
3992042,1.50000000,0.00000000,1.50000000,120.27134645,48,1.50000000
3992050,1.01000000,0.00000000,1.01000000,121.28134645,49,1.01000000
3992081,1.50000000,0.00000000,1.50000000,122.78134645,50,1.50000000
3992248,3.00000000,0.00000000,3.00000000,125.78134645,50,3.00000000
3992272,0.50000000,0.00000000,0.50000000,126.28134645,51,0.50000000
3992399,1.00000000,0.00000000,1.00000000,127.28134645,52,1.00000000
3992492,0.01500000,0.00000000,0.01500000,127.29634645,53,0.01500000
3992797,660.21788674,0.00000000,660.21788674,787.51423319,54,660.21788674
3993004,0.70000000,0.00000000,0.70000000,788.21423319,55,0.70000000
