block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
3661206,0.50000000,0.00000000,0.50000000,0.50000000,1,0.50000000
3674095,0.10000000,0.00000000,0.10000000,0.60000000,2,0.10000000
3674115,19.40000000,0.00000000,19.40000000,20.00000000,2,19.40000000
3815141,0.00000000,0.00000000,-0.00000000,20.00000000,2,0.00000000
3815161,0.00000000,19.98576968,-19.98576968,0.01423032,2,19.98576968
3815172,10.00000000,0.00000000,10.00000000,10.01423032,2,10.00000000
3815194,0.00000000,0.01423152,-0.01423152,9.99999880,2,0.01423152
4014583,0.00000000,0.01000000,-0.01000000,9.98999880,2,0.01000000
4014592,0.01000000,0.00000000,0.01000000,9.99999880,2,0.01000000
4014601,0.00000000,9.98919185,-9.98919185,0.01080695,2,9.98919185
4014606,10.00000000,0.00000000,10.00000000,10.01080695,2,10.00000000
4044909,1.00000000,0.00000000,1.00000000,11.01080695,2,1.00000000
4044916,0.00000000,1.00000000,-1.00000000,10.01080695,2,1.00000000
4216491,0.00000000,1.00000000,-1.00000000,9.01080695,2,1.00000000
4216945,1.00000000,0.00000000,1.00000000,10.01080695,2,1.00000000
4366919,0.00000000,9.97414709,-9.97414709,0.03665986,2,9.97414709
4366925,10.00000000,0.00000000,10.00000000,10.03665986,2,10.00000000
4692158,0.00000000,0.00000000,-0.00000000,10.03665986,2,0.00000000
4692184,0.00000000,1.00000000,-1.00000000,9.03665986,2,1.00000000
5942869,0.00000000,0.00000000,-0.00000000,9.03665986,2,0.00000000
5942890,0.00000000,0.00000000,-0.00000000,9.03665986,2,0.00000000
6351762,0.00000000,8.91524469,-8.91524469,0.12141517,2,8.91524469
