block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1258730,3.00000000,0.00000000,3.00000000,3.00000000,1,3.00000000
2248506,0.98790000,0.00000000,0.98790000,3.98790000,2,0.98790000
2248537,0.98790000,0.00000000,0.98790000,4.97580000,2,0.98790000
2248572,0.00010000,0.00000000,0.00010000,4.97590000,2,0.00010000
2248605,0.50000000,0.00000000,0.50000000,5.47590000,2,0.50000000
4087821,0.01000000,0.00000000,0.01000000,5.48590000,3,0.01000000
4148861,0.00100000,0.00000000,0.00100000,5.48690000,4,0.00100000
23755659,0.10000000,0.00000000,0.10000000,5.58690000,5,0.10000000
23755712,4.00000000,0.00000000,4.00000000,9.58690000,5,3.00000000
23755793,3.38000000,3.00000000,0.38000000,9.96690000,5,3.00000000
