block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1287670,9.00000000,1.00000000,8.00000000,8.00000000,2,9.00000000
1287676,9.00000000,11.00000000,-2.00000000,6.00000000,3,10.00000000
1287685,9.00000000,11.00000000,-2.00000000,4.00000000,3,10.00000000
1287688,9.00000000,11.00000000,-2.00000000,2.00000000,4,10.00000000
1287690,18.00000000,12.00000000,6.00000000,8.00000000,4,10.00000000
1287693,9.00000000,11.00000000,-2.00000000,6.00000000,4,10.00000000
1287698,9.00000000,11.00000000,-2.00000000,4.00000000,4,10.00000000
1287701,9.00000000,11.00000000,-2.00000000,2.00000000,4,10.00000000
1287703,9.00000000,11.00000000,-2.00000000,0.00000000,4,10.00000000
1287713,9.00000000,1.00000000,8.00000000,8.00000000,4,9.00000000
1287730,9.00000000,11.00000000,-2.00000000,6.00000000,4,10.00000000
1287733,9.00000000,11.00000000,-2.00000000,4.00000000,4,10.00000000
1287737,9.00000000,11.00000000,-2.00000000,2.00000000,4,10.00000000
1287742,9.00000000,11.00000000,-2.00000000,0.00000000,4,10.00000000
