block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1374789,1.00000000,0.94000000,0.06000000,0.06000000,1,1.00000000
1374881,1.00000000,0.93000000,0.07000000,0.13000000,2,1.00000000
1374886,0.07500000,0.06750000,0.00750000,0.13750000,3,0.07500000
1374927,1.00000000,0.93000000,0.07000000,0.20750000,3,1.00000000
1374970,1.50000000,1.44000000,0.06000000,0.26750000,4,1.50000000
1375011,0.20000000,0.19200000,0.00800000,0.27550000,5,0.20000000
1375103,0.50000000,0.45500000,0.04500000,0.32050000,5,0.50000000
1375172,0.40000000,0.36000000,0.04000000,0.36050000,5,0.40000000
1375404,1.00000000,0.93000000,0.07000000,0.43050000,6,1.00000000
1375623,0.40000000,0.38000000,0.02000000,0.45050000,6,0.40000000
1375648,1.00000000,0.94000000,0.06000000,0.51050000,6,1.00000000
1375700,0.90000000,0.81000000,0.09000000,0.60050000,7,0.90000000
1375944,1.70000000,1.56400000,0.13600000,0.73650000,7,1.70000000
1377222,3.50000000,3.36000000,0.14000000,0.87650000,8,3.50000000
1377286,3.00000000,2.88000000,0.12000000,0.99650000,8,3.00000000
1377313,2.50000000,2.27500000,0.22500000,1.22150000,8,2.50000000
1378916,1.00000000,0.96000000,0.04000000,1.26150000,8,1.00000000
1378988,3.00000000,2.73000000,0.27000000,1.53150000,8,3.00000000
1379254,5.00000000,4.60000000,0.40000000,1.93150000,9,5.00000000
1379304,5.00000000,4.60000000,0.40000000,2.33150000,10,5.00000000
1379318,4.90000000,4.45900000,0.44100000,2.77250000,11,4.90000000
1379329,4.90000000,4.70400000,0.19600000,2.96850000,11,4.90000000
1380020,4.00000000,3.84000000,0.16000000,3.12850000,11,4.00000000
1380039,1.70000000,1.61500000,0.08500000,3.21350000,11,1.70000000
1380170,0.40000000,0.34400000,0.05600000,3.26950000,11,0.40000000
1380374,3.00000000,2.58000000,0.42000000,3.68950000,11,3.00000000
1380425,2.50000000,2.27500000,0.22500000,3.91450000,12,2.50000000
1380436,0.50000000,0.45000000,0.05000000,3.96450000,12,0.50000000
1380440,5.00000000,4.50000000,0.50000000,4.46450000,12,5.00000000
1380450,0.87000000,0.74820000,0.12180000,4.58630000,12,0.87000000
1380469,1.00000000,0.86000000,0.14000000,4.72630000,12,1.00000000
1380473,0.60655681,0.00000000,0.60655681,5.33285681,12,0.60655681
1380482,5.00000000,4.40000000,0.60000000,5.93285681,12,5.00000000
1380491,1.20000000,1.09200000,0.10800000,6.04085681,12,1.20000000
1380637,0.10000000,0.00000000,0.10000000,6.14085681,13,0.10000000
1381126,0.40000000,0.36800000,0.03200000,6.17285681,13,0.40000000
1381319,0.12500000,0.10625000,0.01875000,6.19160681,14,0.12500000
1382132,4.90000000,4.21400000,0.68600000,6.87760681,14,4.90000000
1382902,0.01000000,0.00890000,0.00110000,6.87870681,14,0.01000000
1382907,0.01000000,0.00900000,0.00100000,6.87970681,14,0.01000000
1382915,0.01000000,0.00880000,0.00120000,6.88090681,14,0.01000000
1382924,0.02000000,0.01730000,0.00270000,6.88360681,14,0.01000000
1382966,0.01000000,0.00890000,0.00110000,6.88470681,14,0.01000000
1383023,0.99000000,0.89100000,0.09900000,6.98370681,14,0.99000000
1383158,0.80000000,0.70400000,0.09600000,7.07970681,15,0.80000000
1383164,0.25000000,0.21250000,0.03750000,7.11720681,16,0.25000000
1383183,0.02000000,0.01720000,0.00280000,7.12000681,17,0.02000000
1383188,0.07000000,0.06230000,0.00770000,7.12770681,18,0.07000000
1383191,0.05000000,0.04450000,0.00550000,7.13320681,19,0.05000000
1383200,0.04000000,0.03520000,0.00480000,7.13800681,19,0.04000000
1383207,0.07000000,0.05950000,0.01050000,7.14850681,20,0.07000000
1383208,0.03100000,0.02666000,0.00434000,7.15284681,21,0.03100000
1383217,0.02000000,0.01780000,0.00220000,7.15504681,21,0.02000000
1383773,0.03000000,0.02670000,0.00330000,7.15834681,22,0.03000000
1383789,0.01000000,0.00880000,0.00120000,7.15954681,22,0.01000000
1384175,0.10000000,0.08500000,0.01500000,7.17454681,23,0.10000000
1385948,1.00000000,0.87000000,0.13000000,7.30454681,23,1.00000000
1386843,0.40000000,0.35600000,0.04400000,7.34854681,23,0.40000000
1394484,0.99000000,0.00000000,0.99000000,8.33854681,24,0.99000000
1395211,2.50000000,2.15000000,0.35000000,8.68854681,24,2.50000000
1404248,0.50000000,0.44500000,0.05500000,8.74354681,24,0.50000000
1404262,1.50000000,0.00000000,1.50000000,10.24354681,24,1.50000000
1404496,0.10000000,0.08700000,0.01300000,10.25654681,24,0.10000000
1406524,0.10000000,0.08800000,0.01200000,10.26854681,25,0.10000000
1418255,0.05000000,0.04550000,0.00450000,10.27304681,25,0.05000000
1423531,0.10000000,0.09100000,0.00900000,10.28204681,25,0.10000000
1436242,0.40000000,0.00000000,0.40000000,10.68204681,25,0.40000000
1459484,0.00000000,8.06549000,-8.06549000,2.61655681,25,8.06549000
1459491,5.00000000,0.00000000,5.00000000,7.61655681,25,5.00000000
1489670,0.50000000,5.50000000,-5.00000000,2.61655681,25,5.50000000
1493672,0.02000000,0.01800000,0.00200000,2.61855681,26,0.02000000
1529256,1.50000000,0.00000000,1.50000000,4.11855681,26,1.50000000
1710663,0.02550000,0.02167500,0.00382500,4.12238181,26,0.02550000
1712509,2.00000000,0.00000000,2.00000000,6.12238181,26,2.00000000
1717762,0.10000000,0.00000000,0.10000000,6.22238181,26,0.10000000
1749010,1.00000000,0.00000000,1.00000000,7.22238181,26,1.00000000
1783838,0.20000000,4.80582500,-4.60582500,2.61655681,26,4.80582500
1783851,3.80000000,0.00000000,3.80000000,6.41655681,26,3.80000000
1839242,0.06000000,3.86000000,-3.80000000,2.61655681,26,3.86000000
2937346,2.35000000,0.00000000,2.35000000,4.96655681,26,2.35000000
5339244,0.00000000,2.35000000,-2.35000000,2.61655681,26,2.35000000
