block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
4002802,83.09000000,0.00000000,83.09000000,83.09000000,1,83.09000000
4003312,1.00000000,0.00000000,1.00000000,84.09000000,2,1.00000000
4003335,1.00000000,0.00000000,1.00000000,85.09000000,2,1.00000000
4003376,1.00000000,0.00000000,1.00000000,86.09000000,2,1.00000000
4003383,1.00000000,0.00000000,1.00000000,87.09000000,2,1.00000000
4003413,2.00000000,0.00000000,2.00000000,89.09000000,2,2.00000000
4003456,912.00000000,0.00000000,912.00000000,1001.09000000,2,912.00000000
4003490,83.09000000,0.00000000,83.09000000,1084.18000000,2,83.09000000
4003511,51.00000000,0.00000000,51.00000000,1135.18000000,3,51.00000000
4007427,0.00000000,1046.09000000,-1046.09000000,89.09000000,4,1046.09000000
