block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
2016952,5.00000000,0.00000000,5.00000000,5.00000000,1,5.00000000
2016955,0.22000000,0.00000000,0.22000000,5.22000000,1,0.22000000
2016961,0.00000000,0.23980000,-0.23980000,4.98020000,1,0.23980000
2039428,0.22000000,0.00738982,0.21261018,5.19281018,2,0.22000000
2039433,0.00000000,0.23174510,-0.23174510,4.96106508,2,0.23174510
2078890,0.55000000,0.00748430,0.54251570,5.50358078,3,0.55000000
2078895,0.00000000,0.59134211,-0.59134211,4.91223867,3,0.59134211
2078902,1.10000000,0.01496861,1.08503139,5.99727006,3,0.55000000
2078908,0.00000000,0.59134211,-0.59134211,5.40592795,3,0.59134211
2078910,0.00000000,0.54251570,-0.54251570,4.86341226,3,0.54251570
2079007,0.55000000,0.00000000,0.55000000,5.41341226,3,0.55000000
2079029,0.55000000,0.00000000,0.55000000,5.96341226,3,0.55000000
2079033,0.55000000,0.00000000,0.55000000,6.51341226,3,0.55000000
2079091,0.55000000,0.00000000,0.55000000,7.06341226,3,0.55000000
2079180,0.55000000,0.00000000,0.55000000,7.61341226,3,0.55000000
2079201,0.55000000,0.00000000,0.55000000,8.16341226,3,0.55000000
2079411,0.55000000,0.00000000,0.55000000,8.71341226,3,0.55000000
2079413,0.55000000,0.00000000,0.55000000,9.26341226,3,0.55000000
2079415,0.55000000,0.00000000,0.55000000,9.81341226,3,0.55000000
2079629,0.55000000,0.00000000,0.55000000,10.36341226,3,0.55000000
2079655,0.55000000,0.00000000,0.55000000,10.91341226,3,0.55000000
2079723,0.55000000,0.00000000,0.55000000,11.46341226,3,0.55000000
2082722,0.21800000,0.00754133,0.21045867,11.67387093,4,0.21800000
2082789,0.22400000,0.00754133,0.21645867,11.89032961,5,0.22400000
2082794,0.00000000,0.23593995,-0.23593995,11.65438965,5,0.23593995
2082806,0.20800000,0.00754133,0.20045867,11.85484833,5,0.20800000
2082810,0.00000000,0.00100229,-0.00100229,11.85384603,5,0.00100229
2082826,1.00000000,0.00000000,1.00000000,12.85384603,6,1.00000000
2082849,0.22000000,0.00754133,0.21245867,13.06630471,6,0.22000000
2082852,0.21400000,0.00754133,0.20645867,13.27276338,6,0.21400000
2082853,0.00000000,0.23157995,-0.23157995,13.04118343,6,0.23157995
2082864,0.00000000,0.22503995,-0.22503995,12.81614347,6,0.22503995
2089108,0.20000000,0.00000000,0.20000000,13.01614347,6,0.20000000
2089231,0.21200000,0.00757875,0.20442125,13.22056472,7,0.21200000
2089234,0.00000000,0.22281916,-0.22281916,12.99774556,7,0.22281916
2089289,0.20000000,0.00000000,0.20000000,13.19774556,8,0.20000000
2089385,0.22400000,0.00757875,0.21642125,13.41416680,8,0.22400000
2089389,0.00000000,0.23589916,-0.23589916,13.17826765,8,0.23589916
2089496,0.22200000,0.00757875,0.21442125,13.39268889,8,0.22200000
2089504,0.00000000,0.23371916,-0.23371916,13.15896973,8,0.23371916
2089505,0.21000000,0.00757875,0.20242125,13.36139098,9,0.21000000
2089510,0.00000000,0.22063916,-0.22063916,13.14075182,9,0.22063916
2089517,0.22000000,0.00757875,0.21242125,13.35317307,9,0.22000000
2089522,0.00000000,0.23153916,-0.23153916,13.12163391,9,0.23153916
2089533,0.20000000,0.00000000,0.20000000,13.32163391,9,0.20000000
2089633,0.22400000,0.00757875,0.21642125,13.53805516,9,0.22400000
2089638,0.00000000,0.23589916,-0.23589916,13.30215600,9,0.23589916
2089691,0.21600000,0.00759982,0.20840018,13.51055618,9,0.21600000
2089694,0.00000000,0.00104200,-0.00104200,13.50951418,9,0.00104200
2089708,0.22000000,0.00759982,0.21240018,13.72191437,9,0.22000000
2089712,0.00000000,0.23151620,-0.23151620,13.49039816,9,0.23151620
2089764,0.22600000,0.00759982,0.21840018,13.70879835,9,0.22600000
2089768,0.00000000,0.23805620,-0.23805620,13.47074215,9,0.23805620
2089776,0.22200000,0.00759982,0.21440018,13.68514233,9,0.22200000
2089778,0.00000000,0.23369620,-0.23369620,13.45144613,9,0.23369620
2089796,0.20400000,0.00000000,0.20400000,13.65544613,9,0.20400000
2089851,0.22000000,0.00759982,0.21240018,13.86784632,9,0.22000000
2089855,0.00000000,0.23151620,-0.23151620,13.63633012,9,0.23151620
2089865,0.21200000,0.00759982,0.20440018,13.84073030,9,0.21200000
2089871,0.00000000,0.22279620,-0.22279620,13.61793410,9,0.22279620
2089946,0.20800000,0.00762535,0.20037465,13.81830875,9,0.20800000
2089954,0.00000000,0.21840837,-0.21840837,13.59990038,9,0.21840837
2089966,0.22400000,0.00762535,0.21637465,13.81627503,9,0.22400000
2089971,0.00000000,0.23584837,-0.23584837,13.58042666,9,0.23584837
2090024,0.22800000,0.00762535,0.22037465,13.80080131,9,0.22800000
2090030,0.00000000,0.00110187,-0.00110187,13.79969944,9,0.00110187
2090032,0.22400000,0.00762535,0.21637465,14.01607409,9,0.22400000
2090035,0.00000000,0.00108187,-0.00108187,14.01499222,9,0.00108187
2090144,0.21400000,0.00762535,0.20637465,14.22136687,9,0.21400000
2090148,0.00000000,0.22494837,-0.22494837,13.99641850,9,0.22494837
2090195,0.21000000,0.00765549,0.20234451,14.19876301,9,0.21000000
2090201,0.00000000,0.22055551,-0.22055551,13.97820750,9,0.22055551
2090327,0.22600000,0.00765549,0.21834451,14.19655200,9,0.22600000
2090333,0.00000000,0.23799551,-0.23799551,13.95855649,9,0.23799551
2090342,0.20000000,0.00000000,0.20000000,14.15855649,9,0.20000000
2090361,0.20800000,0.00765549,0.20034451,14.35890100,9,0.20800000
2090368,0.00000000,0.21837551,-0.21837551,14.14052549,9,0.21837551
2090554,0.21800000,0.00764684,0.21035316,14.35087864,9,0.21800000
2090560,0.00000000,0.00105177,-0.00105177,14.34982688,9,0.00105177
