block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1421532,0.10000000,0.00000000,0.10000000,0.10000000,1,0.10000000
1426648,0.11000000,0.01000000,0.10000000,0.20000000,2,0.11000000
1426783,0.10000000,0.00000000,0.10000000,0.30000000,3,0.10000000
1426793,0.10000000,0.00000000,0.10000000,0.40000000,4,0.10000000
1426819,0.10000000,0.00000000,0.10000000,0.50000000,5,0.10000000
1427898,0.10000000,0.00000000,0.10000000,0.60000000,5,0.10000000
1427993,1.00000000,0.90000000,0.10000000,0.70000000,5,1.00000000
1427999,0.10000000,0.00000000,0.10000000,0.80000000,5,0.10000000
1431127,0.10000000,0.00000000,0.10000000,0.90000000,5,0.10000000
1433952,0.10000000,0.00000000,0.10000000,1.00000000,5,0.10000000
1433956,0.10000000,0.00000000,0.10000000,1.10000000,5,0.10000000
1449795,0.10000000,0.00000000,0.10000000,1.20000000,6,0.10000000
1449807,0.10000000,0.00000000,0.10000000,1.30000000,7,0.10000000
1449831,0.10000000,0.00000000,0.10000000,1.40000000,7,0.10000000
1449839,0.10000000,0.00000000,0.10000000,1.50000000,7,0.10000000
1449845,0.10000000,0.00000000,0.10000000,1.60000000,7,0.10000000
1449850,0.10000000,1.60000000,-1.50000000,0.10000000,7,0.20000000
1450095,0.10000000,0.00000000,0.10000000,0.20000000,7,0.10000000
1470275,0.10000000,0.00000000,0.10000000,0.30000000,7,0.10000000
1472802,0.10000000,0.00000000,0.10000000,0.40000000,7,0.10000000
1472806,0.10000000,0.00000000,0.10000000,0.50000000,7,0.10000000
1473047,0.10000000,0.00000000,0.10000000,0.60000000,8,0.10000000
1473299,0.10000000,0.00000000,0.10000000,0.70000000,8,0.10000000
1473505,0.11000000,0.01000000,0.10000000,0.80000000,9,0.11000000
1473865,0.11000000,0.01000000,0.10000000,0.90000000,9,0.11000000
1474588,0.10000000,0.00000000,0.10000000,1.00000000,10,0.10000000
1480178,0.10000000,0.00000000,0.10000000,1.10000000,10,0.10000000
1480244,0.11000000,0.01000000,0.10000000,1.20000000,10,0.11000000
1480277,0.10000000,0.00000000,0.10000000,1.30000000,10,0.10000000
1480515,0.10000000,0.00000000,0.10000000,1.40000000,11,0.10000000
1481850,0.10000000,0.00000000,0.10000000,1.50000000,11,0.10000000
1481928,0.10000000,0.00000000,0.10000000,1.60000000,12,0.10000000
1481935,0.10000000,0.00000000,0.10000000,1.70000000,12,0.10000000
1481939,0.10000000,0.00000000,0.10000000,1.80000000,12,0.10000000
1482004,0.10000000,1.80000000,-1.70000000,0.10000000,12,0.20000000
1482581,0.10000000,0.00000000,0.10000000,0.20000000,12,0.10000000
1482602,0.10000000,0.00000000,0.10000000,0.30000000,13,0.10000000
1482647,0.10000000,0.00000000,0.10000000,0.40000000,14,0.10000000
1484972,0.10000000,0.00000000,0.10000000,0.50000000,14,0.10000000
1484974,0.10000000,0.00000000,0.10000000,0.60000000,14,0.10000000
1485634,0.10000000,0.00000000,0.10000000,0.70000000,14,0.10000000
1485684,0.10000000,0.20000000,-0.10000000,0.60000000,14,0.20000000
1485698,0.10000000,0.60000000,-0.50000000,0.10000000,14,0.20000000
1485757,0.10000000,0.00000000,0.10000000,0.20000000,14,0.10000000
1486757,0.11000000,0.01000000,0.10000000,0.30000000,15,0.11000000
1486841,0.10000000,0.00000000,0.10000000,0.40000000,15,0.10000000
1486881,0.10000000,0.00000000,0.10000000,0.50000000,15,0.10000000
1487638,0.11000000,0.01000000,0.10000000,0.60000000,16,0.11000000
1487657,0.10000000,0.60000000,-0.50000000,0.10000000,17,0.20000000
1487676,0.11000000,0.01000000,0.10000000,0.20000000,17,0.11000000
1487680,0.10000000,0.00000000,0.10000000,0.30000000,17,0.10000000
1487693,0.10000000,0.00000000,0.10000000,0.40000000,17,0.10000000
1487707,0.10000000,0.00000000,0.10000000,0.50000000,17,0.10000000
1487714,0.10000000,0.00000000,0.10000000,0.60000000,17,0.10000000
1487720,0.10000000,0.00000000,0.10000000,0.70000000,17,0.10000000
1487758,0.10000000,0.00000000,0.10000000,0.80000000,18,0.10000000
1487766,0.10000000,0.00000000,0.10000000,0.90000000,18,0.10000000
1487770,0.10000000,0.00000000,0.10000000,1.00000000,18,0.10000000
1487776,0.10000000,1.00000000,-0.90000000,0.10000000,18,0.19900000
1487784,0.10000000,0.00000000,0.10000000,0.20000000,18,0.10000000
1487797,0.10000000,0.00000000,0.10000000,0.30000000,18,0.10000000
1487885,0.10000000,0.00000000,0.10000000,0.40000000,18,0.10000000
1487920,0.11000000,0.01000000,0.10000000,0.50000000,18,0.11000000
1487929,0.10000000,0.00000000,0.10000000,0.60000000,18,0.10000000
1487937,0.10000000,0.00000000,0.10000000,0.70000000,18,0.10000000
1487949,0.20000000,0.00000000,0.20000000,0.90000000,18,0.10000000
1487956,0.10000000,0.00000000,0.10000000,1.00000000,18,0.10000000
1487967,0.10000000,0.39950000,-0.29950000,0.70050000,18,0.20000000
1487973,0.10000000,1.00000000,-0.90000000,-0.19950000,18,0.20000000
1487983,0.10000000,0.00000000,0.10000000,-0.09950000,18,0.10000000
1487997,0.10000000,0.00000000,0.10000000,0.00050000,18,0.10000000
1488002,0.10000000,0.00000000,0.10000000,0.10050000,18,0.10000000
1488009,0.10000000,0.00000000,0.10000000,0.20050000,18,0.10000000
1488012,0.10000000,0.00000000,0.10000000,0.30050000,18,0.10000000
1488014,0.10000000,0.00000000,0.10000000,0.40050000,18,0.10000000
1488018,0.10000000,0.00000000,0.10000000,0.50050000,18,0.10000000
1488022,0.10000000,0.80000000,-0.70000000,-0.19950000,18,0.20000000
1488025,0.20000000,0.00000000,0.20000000,0.00050000,18,0.10000000
1488028,0.10000000,0.00000000,0.10000000,0.10050000,18,0.10000000
1488029,0.11000000,0.01000000,0.10000000,0.20050000,18,0.11000000
1488034,0.10000000,0.00000000,0.10000000,0.30050000,18,0.10000000
1488038,0.10000000,0.60000000,-0.50000000,-0.19950000,18,0.20000000
1488041,0.10000000,0.00000000,0.10000000,-0.09950000,18,0.10000000
1488042,0.11000000,0.01000000,0.10000000,0.00050000,18,0.11000000
1488069,0.10000000,0.00000000,0.10000000,0.10050000,19,0.10000000
1488083,0.10000000,0.00000000,0.10000000,0.20050000,19,0.10000000
1488084,0.10000000,0.00000000,0.10000000,0.30050000,19,0.10000000
1488106,0.10000000,0.60000000,-0.50000000,-0.19950000,19,0.20000000
1488114,0.10000000,0.00000000,0.10000000,-0.09950000,19,0.10000000
1488123,0.10000000,0.00000000,0.10000000,0.00050000,19,0.10000000
1488132,0.10000000,0.00000000,0.10000000,0.10050000,19,0.10000000
1488137,0.10000000,0.00000000,0.10000000,0.20050000,19,0.10000000
