block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
3729293,0.10000000,0.00000000,0.10000000,0.10000000,1,0.10000000
3729297,0.00000000,0.10000000,-0.10000000,0.00000000,2,0.10000000
3729537,0.10000000,0.00000000,0.10000000,0.10000000,2,0.10000000
3729540,0.05000000,0.10000000,-0.05000000,0.05000000,3,0.10000000
3729578,0.07000000,0.12000000,-0.05000000,0.00000000,3,0.12000000
3729617,0.00100000,0.00100000,0.00000000,0.00000000,3,0.00100000
3731227,0.05000000,0.00000000,0.05000000,0.05000000,3,0.05000000
3731233,299.95000000,0.00000000,299.95000000,300.00000000,3,299.95000000
3740722,0.01000000,0.02000000,-0.01000000,299.99000000,4,0.02000000
3743659,0.01000000,0.02000000,-0.01000000,299.98000000,4,0.02000000
3743664,0.00700000,0.01400000,-0.00700000,299.97300000,4,0.01400000
3743668,0.00700000,0.01400000,-0.00700000,299.96600000,4,0.01400000
3743670,0.00700000,0.01400000,-0.00700000,299.95900000,4,0.01400000
3743671,0.00700000,0.01400000,-0.00700000,299.95200000,4,0.01400000
3743674,0.00700000,0.01400000,-0.00700000,299.94500000,4,0.01400000
3743678,0.00700000,0.01400000,-0.00700000,299.93800000,4,0.01400000
3743700,0.00700000,0.01400000,-0.00700000,299.93100000,4,0.01400000
3743855,0.07000000,0.14000000,-0.07000000,299.86100000,4,0.14000000
3755639,0.00100000,0.00200000,-0.00100000,299.86000000,4,0.00200000
3755990,0.00100000,0.00200000,-0.00100000,299.85900000,4,0.00200000
9020176,0.00000000,299.86600000,-299.86600000,-0.00700000,4,299.86600000
