block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
4070999,10.00000000,0.00000000,10.00000000,10.00000000,1,10.00000000
4071003,10.00000000,0.00000000,10.00000000,20.00000000,1,10.00000000
4071101,10.00000000,10.00000000,0.00000000,20.00000000,3,10.00000000
4072911,10.00000000,10.00000000,0.00000000,20.00000000,4,10.00000000
4075390,10.00000000,10.00000000,0.00000000,20.00000000,5,10.00000000
4076394,30.00000000,30.00000000,0.00000000,20.00000000,6,30.00000000
4077748,10.00000000,10.00000000,0.00000000,20.00000000,7,10.00000000
4099920,10.00000000,10.00000000,0.00000000,20.00000000,8,10.00000000
4102232,36.00000000,36.00000000,0.00000000,20.00000000,9,36.00000000
4103010,10.00000000,10.00000000,0.00000000,20.00000000,10,10.00000000
4126268,15.00000000,15.00000000,0.00000000,20.00000000,11,15.00000000
4126581,10.00000000,0.00000000,10.00000000,30.00000000,12,10.00000000
4127520,25.00000000,25.00000000,0.00000000,30.00000000,13,25.00000000
4132242,10.00000000,10.00000000,0.00000000,30.00000000,14,10.00000000
4144995,20.00000000,20.00000000,0.00000000,30.00000000,15,20.00000000
4149035,26.00000000,26.00000000,0.00000000,30.00000000,16,26.00000000
4152079,10.00000000,10.00000000,0.00000000,30.00000000,17,10.00000000
4152331,10.00000000,10.00000000,0.00000000,30.00000000,18,10.00000000
4154569,10.00000000,10.00000000,0.00000000,30.00000000,19,10.00000000
4156765,15.80000000,15.80000000,0.00000000,30.00000000,20,15.80000000
4159209,13.00000000,0.00000000,13.00000000,43.00000000,21,13.00000000
4163997,10.00000000,10.00000000,0.00000000,43.00000000,22,10.00000000
4165376,11.00000000,11.00000000,0.00000000,43.00000000,23,11.00000000
4165901,15.00000000,15.00000000,0.00000000,43.00000000,24,15.00000000
4166812,10.10000000,10.10000000,0.00000000,43.00000000,25,10.10000000
4166976,1.48000000,0.00000000,1.48000000,44.48000000,26,1.48000000
4168014,28.00000000,28.00000000,0.00000000,44.48000000,27,28.00000000
4169284,19.80000000,19.80000000,0.00000000,44.48000000,28,19.80000000
4169805,12.00000000,12.00000000,0.00000000,44.48000000,29,12.00000000
4170650,22.50000000,22.50000000,0.00000000,44.48000000,30,22.50000000
4170679,48.65000000,48.65000000,0.00000000,44.48000000,30,48.65000000
4170737,25.00000000,25.00000000,0.00000000,44.48000000,31,25.00000000
4172051,10.00000000,10.00000000,0.00000000,44.48000000,32,10.00000000
4172222,2.00000000,0.00000000,2.00000000,46.48000000,33,2.00000000
4173085,184.13000000,184.13000000,0.00000000,46.48000000,33,184.13000000
4173634,10.00000000,0.00000000,10.00000000,56.48000000,34,10.00000000
4173650,10.00000000,10.00000000,0.00000000,56.48000000,34,10.00000000
4173671,9.99800000,0.00000000,9.99800000,66.47800000,35,9.99800000
4173689,12.00000000,0.00000000,12.00000000,78.47800000,35,12.00000000
4173711,12.44000000,12.44000000,0.00000000,78.47800000,35,12.44000000
4173719,10.20000000,10.20000000,0.00000000,78.47800000,36,10.20000000
4177084,10.00000000,0.00000000,10.00000000,88.47800000,37,10.00000000
4177107,10.50000000,10.50000000,0.00000000,88.47800000,38,10.50000000
4177140,10.00000000,10.00000000,0.00000000,88.47800000,38,10.00000000
4177308,12.00000000,12.00000000,0.00000000,88.47800000,39,12.00000000
4177596,10.10000000,10.10000000,0.00000000,88.47800000,40,10.10000000
4178133,11.00000000,11.00000000,0.00000000,88.47800000,41,11.00000000
4179049,1.00000000,0.00000000,1.00000000,89.47800000,42,1.00000000
4179435,10.00000000,10.00000000,0.00000000,89.47800000,43,10.00000000
4179758,9.00000000,0.00000000,9.00000000,98.47800000,43,9.00000000
4179786,10.10000000,10.10000000,0.00000000,98.47800000,43,10.10000000
4179981,100.00000000,100.00000000,0.00000000,98.47800000,44,100.00000000
4181969,30.00000000,30.00000000,0.00000000,98.47800000,45,30.00000000
4186347,30.59679137,30.59679137,0.00000000,98.47800000,46,30.59679137
4186366,8.98000000,0.00000000,8.98000000,107.45800000,46,8.98000000
4186435,11.00000000,11.00000000,0.00000000,107.45800000,47,11.00000000
4186730,15.09731800,15.09731800,0.00000000,107.45800000,48,15.09731800
4186808,10.00000000,10.00000000,0.00000000,107.45800000,49,10.00000000
4186973,10.00000000,10.00000000,0.00000000,107.45800000,50,10.00000000
4187125,12.27000000,12.27000000,0.00000000,107.45800000,51,12.27000000
4188046,10.00000000,10.00000000,0.00000000,107.45800000,52,10.00000000
4188148,10.00000000,10.00000000,0.00000000,107.45800000,53,10.00000000
4188429,10.00000000,10.00000000,0.00000000,107.45800000,54,10.00000000
4188539,10.00000000,10.00000000,0.00000000,107.45800000,55,10.00000000
4189049,1.00000000,0.00000000,1.00000000,108.45800000,56,1.00000000
4190376,10.00000000,10.00000000,0.00000000,108.45800000,57,10.00000000
4191322,0.05000000,0.00000000,0.05000000,108.50800000,58,0.05000000
4191642,0.05000000,0.00000000,0.05000000,108.55800000,58,0.05000000
4191732,10.00000000,10.00000000,0.00000000,108.55800000,59,10.00000000
4192423,0.35000000,0.00000000,0.35000000,108.90800000,60,0.35000000
4192539,10.00000000,10.00000000,0.00000000,108.90800000,61,10.00000000
4192630,0.90000000,0.00000000,0.90000000,109.80800000,62,0.90000000
4193052,10.10000000,10.10000000,0.00000000,109.80800000,63,10.10000000
4193381,10.00000000,10.00000000,0.00000000,109.80800000,64,10.00000000
4193417,0.01000000,0.00000000,0.01000000,109.81800000,65,0.01000000
4194914,10.00000000,10.00000000,0.00000000,109.81800000,66,10.00000000
4195064,10.01000000,10.01000000,0.00000000,109.81800000,67,10.01000000
4195115,10.00000000,10.00000000,0.00000000,109.81800000,68,10.00000000
4195268,110.00000000,110.00000000,0.00000000,109.81800000,69,110.00000000
4197027,10.00000000,10.00000000,0.00000000,109.81800000,70,10.00000000
4197218,10.00000000,10.00000000,0.00000000,109.81800000,71,10.00000000
4197764,11.07411000,11.07411000,0.00000000,109.81800000,72,11.07411000
4198094,10.00000000,10.00000000,0.00000000,109.81800000,73,10.00000000
4198321,36.00000000,36.00000000,0.00000000,109.81800000,74,36.00000000
4198419,15.00000000,15.00000000,0.00000000,109.81800000,75,15.00000000
4198577,20.00000000,20.00000000,0.00000000,109.81800000,76,20.00000000
4198733,16.99800000,16.99800000,0.00000000,109.81800000,77,16.99800000
4198754,20.00000000,20.00000000,0.00000000,109.81800000,77,20.00000000
4198755,10.00000000,10.00000000,0.00000000,109.81800000,77,10.00000000
4198962,20.00000000,20.00000000,0.00000000,109.81800000,78,20.00000000
